CellId,label,birth_length,AverageLength,AverageVelocity,LifeHistory,GrowthRate,AverageOrientation
1.0,1.0,26.693280283425533,27.797524591538323,0.207,3.0,0.134,-2.9261385409225285
2.0,2.0,26.37552446785763,31.668869306922037,-0.248,7.0,0.394,-2.919646042954494
3.0,3.0,20.455811434224778,21.24273983489329,0.177,3.0,0.107,-2.8754785071490976
4.0,4.0,17.27817144504539,18.53167581116054,0.279,3.0,0.159,-0.0767833071057798
5.0,3.0,29.213262962482283,38.63688926833911,0.162,10.0,0.388,-2.904355835084094
6.0,5.0,22.943679018720523,26.103992954453897,0.124,27.0,0.029,-2.5087923154676512
7.0,3.0,20.859967209391435,36.25318142009093,0.152,11.0,0.653,-0.2122987578216402
8.0,2.0,20.175477799861348,30.450662891495096,-0.027,8.0,0.573,-2.6077367767483635
9.0,2.0,19.95133238388274,28.474984221399218,0.412,7.0,0.544,-2.6273830860360947
10.0,3.0,26.21026095230795,33.09307781630355,-0.109,7.0,0.423,-0.5299141340561795
11.0,3.0,25.88249447234308,34.954219174297485,0.294,6.0,0.529,-2.8596678706423497
12.0,2.0,21.211294192018133,33.51432346029302,0.11,7.0,0.85,-2.3463705279632703
13.0,2.0,21.2829253203298,41.484266767443245,-0.204,11.0,0.842,-2.36930993639628
14.0,3.0,31.61606823497196,43.07434529109882,0.157,4.0,1.005,-0.11601012619208824
15.0,3.0,31.8076394360064,46.15832448132655,-0.547,5.0,1.028,-2.756172153212062
16.0,2.0,30.141485359842843,38.587195506956405,-0.058,6.0,0.88,-0.2096383849475162
17.0,2.0,25.146518075126917,33.34018999842142,0.5,6.0,0.83,-2.6122835788140653
18.0,3.0,26.740169664516188,27.440690368275998,0.135,2.0,0.14,-0.17265432526865845
19.0,3.0,25.417764596342085,39.41574740769658,0.296,7.0,0.811,-2.0946853425032814
20.0,3.0,32.17813409784548,37.952035193554906,-0.149,2.0,1.155,-2.6346003050773397
21.0,3.0,21.41028703758328,33.47400938449159,0.525,6.0,0.715,-2.4281224446273537
22,3,23.738043978240476,,,1,NaN,-0.07817230753346689
23.0,3.0,30.240337272832257,40.410243266089715,0.82,3.0,1.188,-2.698695451082564
24.0,3.0,25.156658637395257,30.42776704837248,0.008,5.0,0.428,-3.1083412324630353
25.0,3.0,25.340170753292664,30.983291408984403,-0.081,9.0,0.312,-2.237804562945858
26.0,3.0,32.03846161718888,35.12638628632343,0.306,3.0,0.42,-0.6614750333601177
27.0,3.0,36.1461644500612,39.72462181273307,0.347,3.0,0.452,-0.6981758074507786
28.0,2.0,30.70632069317435,35.552426731654194,-0.188,4.0,0.516,-2.3369071208280547
29.0,2.0,28.826258144146504,34.29394283558269,-0.061,4.0,0.579,-2.2909358592974183
30.0,2.0,31.156590956429508,42.1359781055137,-0.41,6.0,0.85,-2.930703480950303
31.0,2.0,29.89722270237739,43.32303740042931,0.107,7.0,0.916,-1.3333637258224351
32.0,3.0,25.811262140162334,32.532253101991806,-0.788,5.0,0.755,-2.544648278965242
33.0,2.0,24.730233276869328,39.23193779830309,0.145,7.0,0.97,-2.257810576749121
34.0,2.0,25.42228713085336,32.107727833573044,0.171,9.0,0.079,-2.1847064951075894
35.0,3.0,23.576375175299717,32.62150302305599,-0.191,6.0,0.795,-2.5923428636376804
36.0,3.0,25.422399562921804,38.071939561649,0.217,7.0,0.746,-2.89783379957814
37.0,3.0,26.858464586383583,40.69798840174858,0.509,6.0,1.015,-2.3018549337923004
38.0,3.0,41.096673051003,43.171268391595696,0.293,2.0,0.415,-0.9554957049291763
39.0,3.0,46.133101305786056,47.926420073103635,0.305,2.0,0.359,-0.9669530813251118
40.0,2.0,26.761419559472003,31.639485824263225,0.034,5.0,0.363,-2.527085693047311
41.0,2.0,41.55710386890263,48.97529603897955,-0.181,4.0,0.733,-2.6161231382491934
42.0,2.0,29.34214741195736,31.344890026126457,-0.939,5.0,0.308,-2.6796074586000174
43.0,2.0,27.92172113206756,29.150075392658206,0.057,4.0,0.117,-2.6426854393674724
44.0,2.0,43.54401341929825,48.074060126323396,0.245,4.0,0.532,-2.0784959101809544
45.0,2.0,25.79893523429485,27.291911307054807,0.069,5.0,0.248,-2.5594315989594074
46.0,3.0,30.617458942267906,36.04911295472243,0.062,5.0,0.443,-1.423132590121451
47.0,3.0,23.046689905895374,27.92110015804035,-0.113,5.0,0.413,-2.768542157627481
48.0,3.0,21.48530466026176,23.981784178195028,-0.459,4.0,0.335,-2.8882423526430325
49.0,3.0,22.715045923579105,24.969635496661684,0.49,4.0,0.232,-2.0700713248860794
50.0,3.0,28.195990127641416,33.01078124898112,0.199,5.0,0.381,-1.4617206575201918
51.0,3.0,32.83014433468845,40.375502758557694,-0.105,5.0,0.636,-2.1183948030680986
52.0,3.0,21.00369218885385,25.353699791849294,0.68,5.0,0.314,-2.177920354799993
53.0,3.0,27.08845977531912,30.05702556361074,0.247,3.0,0.385,-0.9649300281342529
54.0,3.0,22.86887865649968,26.29609457386633,0.288,3.0,0.427,-0.9373191634236067
55.0,3.0,37.19231168076921,42.4386801274991,0.404,4.0,0.526,-2.226836948021292
56.0,3.0,25.997947109581425,27.556234274892304,-0.042,3.0,0.221,-2.7338851305047167
57.0,3.0,22.63142764840628,26.26130220897426,-0.097,4.0,0.373,-1.6960558113331525
58.0,2.0,33.04628927613987,34.788162765700704,-0.046,2.0,0.348,-2.9126369995921633
59.0,2.0,30.4967577181277,33.865195841393266,0.956,3.0,0.51,-1.0372278739864826
60.0,3.0,26.728355103581304,28.159847044921854,0.071,2.0,0.286,-2.2334485886725974
61.0,3.0,25.061630786687545,27.583715391436147,0.419,3.0,0.355,-2.630467263277536
62,2,31.05883467623525,,,1,NaN,-2.0531288455470973
63.0,2.0,33.795314267755955,31.861983726111966,1.31,2.0,-0.387,-2.961986183105831
64.0,2.0,35.08064841022763,36.686342499603455,0.348,2.0,0.321,-2.5725415681437607
65.0,2.0,31.316731368596688,33.3716299084551,-1.022,2.0,0.411,-1.889550797110646
66.0,3.0,36.72910775046948,35.18707204890287,-0.879,2.0,-0.308,-1.5652764144423112
67.0,3.0,31.731795140993245,33.53560127126406,-0.027,2.0,0.361,-2.5825896376078017
68,3,31.540669975416005,,,1,NaN,-1.2382602635057014
69,3,30.26820360775121,,,1,NaN,-2.2840480025068763
70,2,61.60023161341699,,,1,NaN,-2.585533941974948
71,2,38.63471419587529,,,1,NaN,-2.5807434965704235
72,2,37.96972836636974,,,1,NaN,-2.9394331540497913
73,2,31.91916962243645,,,1,NaN,-2.563156087175888
74,2,58.54064125703592,,,1,NaN,-1.9844659337967414
75,2,30.912096136330486,,,1,NaN,-2.8613677486930094
76,3,42.14863735711659,,,1,NaN,-2.2405685826184776
77,2,33.3765067078211,,,1,NaN,-1.9955341907475477
78,3,32.250682162581754,,,1,NaN,-2.2403247251766634
79,3,28.190691359517988,,,1,NaN,-2.706025191666824
80,3,28.781888077180827,,,1,NaN,-2.6630352184861894
81,3,39.408067588928624,,,1,NaN,-1.3898964119127024
82,3,34.86854654929309,,,1,NaN,-1.2901680169285095
