ImageNumber,ObjectNumber,Children_FilterObjects_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,1,148.90731707317073,89.65365853658537,0,1
1,2,1,147.96,98.3,0,2
1,3,1,148.18,106.404,0,3
2,1,1,150.9377990430622,90.3157894736842,0,1
2,2,1,150.29333333333332,98.98666666666666,0,2
2,3,1,151.09469696969697,106.95454545454545,0,3
3,1,1,151.54,88.164,0,1
3,2,1,151.62576687116564,96.83435582822086,0,2
3,3,1,153.38244514106583,104.6332288401254,0,3
4,1,1,150.5503597122302,87.15467625899281,0,1
4,2,1,151.83125,95.6375,0,2
4,3,1,152.74486803519062,103.32844574780059,0,3
5,1,1,151.9141914191419,87.44554455445545,0,1
5,2,1,154.76047904191617,95.9940119760479,0,2
5,3,1,142.86363636363637,102.78977272727273,0,3
5,4,1,165.51098901098902,103.5989010989011,0,4
6,1,1,143.79881656804733,88.12426035502959,0,1
6,2,1,161.63503649635035,87.0948905109489,0,2
6,3,1,156.60122699386503,95.5521472392638,0,3
6,4,1,142.41538461538462,100.97948717948718,0,4
6,5,1,166.41414141414143,103.4040404040404,0,5
7,1,1,164.0,87.73376623376623,0,1
7,2,1,144.33157894736843,88.92105263157895,0,2
7,3,1,158.69565217391303,96.3416149068323,0,3
7,4,1,143.32178217821783,100.9009900990099,0,4
7,5,1,168.75,103.75462962962963,0,5
8,1,1,162.13966480446928,86.03351955307262,0,1
8,2,1,137.94222222222223,85.68,0,2
8,3,1,155.5095541401274,93.59235668789809,0,3
8,4,1,141.1201550387597,97.80232558139535,0,4
8,5,1,165.70503597122303,102.1726618705036,0,5
9,1,1,163.6524064171123,86.53475935828877,0,1
9,2,1,138.09053497942386,86.19341563786008,0,2
9,3,1,156.64150943396226,94.0880503144654,0,3
9,4,1,166.64026402640263,103.12541254125412,0,4
9,5,1,141.70609318996415,98.29749103942652,0,5
10,1,1,165.0721153846154,86.98076923076923,0,1
10,2,1,137.8548387096774,86.89112903225806,0,2
10,3,1,158.02439024390245,94.42073170731707,0,3
10,4,1,168.11180124223603,103.58695652173913,0,4
10,5,1,142.2796052631579,98.78618421052632,0,5
11,1,1,167.57272727272726,86.17272727272727,0,1
11,2,1,137.61992619926198,86.69003690036901,0,2
11,3,1,168.97101449275362,103.3391304347826,0,3
11,4,1,160.08860759493672,93.89240506329114,0,4
11,5,1,142.040625,98.278125,0,5
12,1,1,168.98260869565217,85.4695652173913,0,1
12,2,1,137.12413793103448,86.4,0,2
12,3,1,170.03191489361703,103.07180851063829,0,3
12,4,1,160.64670658682635,93.1556886227545,0,4
12,5,1,142.3409090909091,98.07102272727273,0,5
13,1,1,168.74789915966386,82.8109243697479,0,1
13,2,1,132.57309941520467,85.53801169590643,0,2
13,3,1,155.89171974522293,91.35031847133757,0,3
13,4,1,178.78008298755188,96.34024896265561,0,4
13,5,1,161.55251141552512,97.32420091324201,0,5
13,6,1,131.80555555555554,95.85648148148148,0,6
13,7,1,149.56846473029046,107.7883817427386,0,7
14,1,1,170.19672131147541,80.68442622950819,0,1
14,2,1,148.98765432098764,84.3641975308642,0,2
14,3,1,125.69587628865979,85.09278350515464,0,3
14,4,1,160.04635761589404,90.39735099337749,0,4
14,5,1,177.93103448275863,97.71264367816092,0,5
14,6,1,163.8859649122807,96.71491228070175,0,6
14,7,1,133.03813559322035,93.72881355932203,0,7
14,8,1,146.94252873563218,106.12260536398468,0,8
15,1,1,171.1203007518797,79.59022556390977,0,1
15,2,1,151.38333333333333,83.97222222222223,0,2
15,3,1,125.77450980392157,85.30392156862744,0,3
15,4,1,162.65189873417722,90.10126582278481,0,4
15,5,1,178.91752577319588,98.36082474226804,0,5
15,6,1,163.93486590038313,97.31800766283524,0,6
15,7,1,133.46850393700788,93.2992125984252,0,7
15,8,1,145.08219178082192,106.45547945205479,0,8
16,1,1,172.02702702702703,78.88851351351352,0,1
16,2,1,151.805,84.38,0,2
16,3,1,123.75925925925925,84.67592592592592,0,3
16,4,1,164.12582781456953,89.89403973509934,0,4
16,5,1,179.2411575562701,98.95176848874598,0,5
16,6,1,164.10996563573883,97.15463917525773,0,6
16,7,1,132.8892857142857,92.58214285714286,0,7
16,8,1,142.34640522875816,105.15686274509804,0,8
17,1,1,172.5188679245283,78.99371069182389,0,1
17,2,1,151.8577981651376,84.75688073394495,0,2
17,3,1,122.19409282700423,85.43037974683544,0,3
17,4,1,165.21212121212122,90.33333333333333,0,4
17,5,1,178.11078717201167,101.40233236151603,0,5
17,6,1,164.10491803278688,97.70819672131148,0,6
17,7,1,133.05177993527508,93.22653721682848,0,7
