TimeStep,CellLifeId,Orientation,label,Center_X,Center_Y,InstantaneousGrowthRate,InstantaneousVelocity,divideFlag,Major_axis,Minor_axis,parent
1,1,-0.11556344752673896,1,123.89411764705882,111.10588235294118,0.17,-0.53,False,34.14303959634368,9.731088983112253,0
1,2,-0.3955949726695132,2,212.8178137651822,129.06882591093117,0.304,-0.424,False,32.45780335607153,9.893641393128703,0
2,1,-0.12682444315148395,1,123.13636363636364,107.9659090909091,,,False,34.99277628026902,9.95634905153271,0
2,2,-0.3944598168371801,2,212.19615384615383,125.98461538461538,0.427,-0.863,False,33.976361012244304,9.972413075237103,0
3,3,-0.12232465713549066,3,123.1918819188192,98.35424354243544,0.254,-0.496,False,36.60444153242906,9.675808317766638,0
3,2,-0.39540506110143286,2,212.71841155234657,116.36101083032491,0.216,-0.446,False,36.11038854407111,9.993860163163689,0
4,3,-0.13990873359716366,3,122.61971830985917,95.0669014084507,0.469,-0.898,False,37.87512198632472,9.820479000544427,0
4,2,-0.38444152376144725,2,211.92439862542955,113.14089347079036,0.453,-0.735,False,37.189567105981794,10.196921382643382,0
5,3,-0.1479801283911544,3,121.01612903225806,89.7483870967742,0.361,0.004,False,40.22170920536856,10.187131420573673,0
5,2,-0.39559245853048114,2,210.5290322580645,107.88064516129032,0.331,-0.013,False,39.45586421496448,10.24473787758176,0
6,3,-0.14216565374272308,3,120.99079754601227,89.8159509202454,0.635,-0.593,False,42.02845026949118,10.28602081862752,0
6,2,-0.4004540548640385,2,210.29813664596276,108.19254658385093,0.645,-0.462,False,41.11315643257957,10.259543420428027,0
7,3,-0.1397932367567284,3,120.21270718232044,85.84530386740332,0.219,0.008,False,45.20478813237127,10.741327999404024,0
7,2,-0.4112546043967874,2,209.59773371104816,104.46175637393767,0.28,0.025,False,44.33922994265416,10.43953713507586,0
8,3,-0.15130226656568846,3,120.95156695156696,84.87464387464388,0.733,-0.196,False,46.30073742469785,10.20354347250068,0
8,2,-0.4113075028897867,2,210.292349726776,103.3415300546448,0.547,-0.104,False,45.738510596132414,10.49020913415336,0
9,3,-0.15542809406525593,3,120.43846153846154,83.9025641025641,0.347,-0.198,False,49.9636915237804,10.724121461664655,0
9,2,-0.4197811183153125,2,210.12727272727275,102.50129870129872,0.324,-0.076,False,48.472141736874434,10.416772917632358,0
10,3,-0.1428893486713595,3,120.2759493670886,82.39240506329114,0.96,-0.712,False,51.69751361716336,10.60494017184264,0
10,2,-0.42415175003691075,2,210.46616541353384,100.9248120300752,0.879,-0.389,False,50.092846946810376,10.462077205773673,0
11,3,-0.1319734628906003,3,119.20089285714286,77.59151785714286,0.387,-0.423,False,56.49868424001659,11.37875593693845,0
11,2,-0.43155435601017855,2,210.50688073394497,96.2545871559633,0.398,-0.314,False,54.48921210150121,10.635663163342546,0
12,3,-0.11769837120371482,3,117.38616071428572,76.50223214285714,,,True,58.43545213439919,11.257591267418569,0
12,2,-0.43362238370207984,2,209.16778523489933,95.41163310961969,1.106,-0.289,False,56.479577470013126,10.50262945886285,0
13,4,-0.2793018023694646,3,131.34016393442624,72.11475409836065,0.275,0.21,False,30.22988612303188,10.500278059592306,3
13,5,-3.0149547205732046,3,102.62645914396887,75.49416342412451,0.242,0.156,False,33.931472553137105,10.008261170118582,3
13,2,-0.4524283679951588,2,208.5222672064777,93.33603238866397,0.636,0.047,False,62.010291734925005,10.675286085767942,0
14,4,-0.2882223608328987,3,131.59036144578317,73.82329317269077,1.223,0.193,False,31.606484114053227,10.240399284338912,3
14,5,-3.020259508179271,3,102.17883211678831,77.39781021897811,1.191,-0.678,False,35.13958915096461,10.224015623225776,3
14,2,-0.4594380481241126,2,207.80116959064327,95.4990253411306,2.173,-0.112,False,65.18911285799514,10.623470440132362,0
15,4,-0.28336278295679124,3,133.15282392026575,72.99667774086379,0.921,-0.22,False,37.72244445585113,10.48486346176705,3
15,5,-2.9397308662887736,3,98.82461538461538,76.20615384615385,1.273,0.195,False,41.096598734729845,10.59414400645473,3
15,2,-0.4739775972101861,2,207.1499176276771,95.57990115321252,1.919,-0.023,False,76.05373932965043,11.061886579655347,0
16,4,-0.15276940808326295,3,130.5077399380805,75.45510835913312,0.544,-0.506,False,42.32693119757433,10.644909647693568,3
16,5,-2.868303326361284,3,97.4943181818182,79.45170454545455,0.485,-0.161,False,47.46366888342924,9.699040740685628,3
16,2,-0.4796608738659393,2,205.56382978723408,98.67781155015196,,,True,85.64705746484961,10.8175601282401,0
17,4,-0.1196152878191062,3,128.36467236467237,74.1054131054131,1.386,-0.619,False,45.046005971367286,11.155680894656394,3
17,5,-2.8636831292853375,3,97.41952506596306,78.26385224274406,1.431,0.481,False,49.88835227913553,9.963162883349518,3
17,6,-0.44767310893587564,2,222.46902654867256,88.58702064896755,,,False,41.52066875686448,10.858335715901008,2
17,7,-0.5964404802973242,2,187.4945652173913,106.3586956521739,10.466,1.909,False,48.24087047655001,10.046554383677888,2
18,4,-0.06685975278111624,3,124.8062015503876,74.05684754521964,0.593,-0.094,False,51.97850172453187,11.066689461723088,3
18,5,-2.8832161708482755,3,99.70263788968823,79.2589928057554,0.594,0.393,False,57.04417030657796,9.92404153923644,3
18,7,-0.49119976204498345,2,202.23697270471465,98.85980148883375,,,True,100.57307825074152,11.432909977672985,2
19,4,-0.04812486567815527,3,123.6923076923077,74.99751861042184,1.429,-0.858,False,54.94533749365576,10.964468160789844,3
19,5,-2.9015762882555896,3,101.17647058823528,80.56470588235294,,,True,60.01390960769256,10.020014381316209,3
19,8,-0.434252343261466,2,222.96692111959288,88.97709923664122,1.442,-0.687,False,48.62762218734149,11.106251308277132,7
19,9,-0.5759736406583978,2,182.80607476635515,110.08878504672896,1.776,0.02,False,55.5817920049785,10.164631749017316,7
20,4,-0.013283616935472734,3,119.7408256880734,73.2362385321101,0.744,-0.151,False,62.08892836061258,10.639507996371176,3
20,10,-2.7565004478890947,3,87.56108597285068,76.3710407239819,0.448,0.397,False,31.51554131480888,9.040961310968534,5
20,8,-0.34997944837785955,2,219.75519630484987,87.75519630484989,,,True,55.83650573190895,11.92265970361149,7
20,11,-0.006964823155806853,3,116.38367346938776,82.41632653061224,0.469,0.576,False,33.40848706542609,9.632511538873397,5
20,9,-0.46962351528404206,2,183.71247357293868,108.76955602536998,0.515,0.292,False,64.46081906170583,11.32381122303197,7
21,4,-0.001927110581898417,3,117.26170212765958,75.75744680851064,1.483,-0.425,False,65.80830177494498,11.113174031487777,3
21,10,-2.765746326358823,3,87.5,79.42241379310344,0.681,0.434,False,33.75543567962219,9.001442790175968,5
21,12,-0.5242544266396392,2,229.1093117408907,86.71255060728745,0.607,-0.039,False,31.170370914233136,10.3123300189919,8
21,11,-0.048047595789188165,3,118.06172839506172,85.02057613168725,1.052,0.863,False,35.753171837266706,9.00279793347893,5
21,13,-0.036462315213817195,2,205.12745098039213,94.86764705882354,0.855,-0.678,False,29.58014408774825,9.263273299775287,8
21,9,-0.4443107782183346,2,184.14368932038835,110.89708737864078,,,True,67.03827175106119,12.183843676416505,7
22,4,-3.1046843952381318,3,113.64796905222435,77.36557059961315,0.659,-0.569,False,73.22268856926127,12.009488807195307,3
22,10,-2.7821394246384124,3,88.0546875,82.02734375,0.401,-0.245,False,37.1628981795386,9.051059851979856,5
22,12,-0.5109410424652876,2,228.0766423357664,88.86131386861314,0.276,-0.346,False,34.205027012112055,10.394121344018725,8
22,11,-0.10569364745884355,3,122.07067137809187,86.83745583038869,0.319,-0.011,False,41.01378856141879,9.301909353882316,5
22,13,-0.1065527388467795,2,200.0128755364807,97.72961373390558,0.338,-0.699,False,33.856225669995844,9.080464515661795,8
22,14,-0.09001373725474282,2,202.77327935222672,105.49392712550608,0.368,0.138,False,35.049098393555084,9.180203550382464,9
22,15,-0.5808367143535029,2,172.53721682847896,118.07119741100324,0.286,-0.274,False,41.53221134708585,10.111737482186385,9
23,4,-3.090026025584784,3,111.42164179104478,75.58208955223881,1.575,-0.445,False,76.516528536108,12.84813227747707,3
23,10,-2.775808902276416,3,87.63736263736264,80.67765567765568,0.784,-0.342,False,39.16607877799213,9.132863450789836,5
23,12,-0.4945184537019321,2,226.67857142857144,87.68214285714286,0.944,-0.243,False,35.58622655890111,10.265449765616609,8
23,11,-0.13990017705293203,3,123.2046979865772,85.1241610738255,1.155,0.285,False,42.60678986379348,9.29238443784944,5
23,13,-0.21337823635991318,2,196.56326530612245,96.82857142857142,0.938,-0.931,False,35.54780056020881,9.062100864753802,8
23,14,-0.16773647296992644,2,204.5735849056604,103.49811320754716,0.867,0.742,False,36.889644925510574,9.311559501264018,9
23,15,-0.5490716104981608,2,171.9480122324159,116.5045871559633,1.025,0.024,False,42.96343977395038,10.071678708724336,9
24,4,-3.0759796926544243,3,109.2190635451505,74.86454849498328,0.956,-0.323,False,84.3899436660569,15.46098053730639,3
24,10,-2.746335584973085,3,85.80204778156997,80.13993174061433,0.373,-0.479,False,43.08361868825492,9.09307817833531,5
