lable,NumberOfDivision
1.0,NaN
2.0,NaN
3.0,NaN
4.0,8.0
5.0,NaN
6.0,111.0
7.0,NaN
8.0,59.0
9.0,3.0
10.0,3.0
11.0,4.0
12.0,117.0
13.0,NaN
14.0,7.0
15.0,NaN
16.0,NaN
17.0,192.0
19.0,4.0
20.0,3.0
23.0,58.0
24.0,NaN
25.0,108.0
26.0,3.0
27.0,NaN
28.0,4.0
29.0,5.0
30.0,46.0
31.0,78.0
32.0,2.0
33.0,NaN
34.0,NaN
35.0,81.0
37.0,4.0
38.0,2.0
39.0,3.0
40.0,NaN
41.0,14.0
42.0,16.0
43.0,3.0
44.0,10.0
45.0,NaN
47.0,NaN
49.0,5.0
50.0,NaN
51.0,110.0
52.0,NaN
53.0,NaN
54.0,44.0
55.0,98.0
56.0,NaN
57.0,NaN
58.0,2.0
59.0,NaN
60.0,7.0
61.0,57.0
62.0,NaN
63.0,2.0
64.0,NaN
65.0,NaN
67.0,7.0
68.0,NaN
69.0,NaN
70.0,NaN
71.0,NaN
73.0,42.0
74.0,2.0
75.0,NaN
76.0,NaN
77.0,2.0
78.0,5.0
79.0,32.0
80.0,114.0
81.0,92.0
82.0,NaN
83.0,14.0
84.0,8.0
85.0,NaN
86.0,4.0
87.0,89.0
88.0,2.0
89.0,73.0
90.0,NaN
91.0,146.0
92.0,125.0
93.0,NaN
94.0,123.0
95.0,24.0
96.0,NaN
97.0,151.0
98.0,45.0
99.0,NaN
100.0,3.0
101.0,NaN
102.0,31.0
103.0,2.0
104.0,NaN
105.0,NaN
106.0,NaN
107.0,NaN
108.0,NaN
109.0,NaN
110.0,NaN
111.0,NaN
112.0,NaN
113.0,NaN
114.0,NaN
116.0,22.0
117.0,NaN
118.0,NaN
120.0,NaN
121.0,NaN
122.0,4.0
125.0,4.0
127.0,7.0
128.0,8.0
129.0,71.0
130.0,NaN
135.0,NaN
136.0,NaN
138.0,NaN
139.0,69.0
141.0,34.0
142.0,2.0
143.0,137.0
144.0,NaN
145.0,NaN
147.0,88.0
150.0,53.0
153.0,NaN
154.0,21.0
155.0,NaN
156.0,NaN
158.0,NaN
160.0,NaN
161.0,NaN
162.0,6.0
164.0,NaN
165.0,NaN
166.0,6.0
170.0,4.0
171.0,NaN
174.0,NaN
175.0,58.0
176.0,NaN
178.0,NaN
179.0,NaN
180.0,NaN
181.0,12.0
182.0,NaN
183.0,NaN
185.0,44.0
187.0,2.0
188.0,40.0
190.0,3.0
191.0,NaN
192.0,79.0
193.0,2.0
194.0,NaN
199.0,NaN
201.0,NaN
203.0,NaN
205.0,NaN
207.0,NaN
214.0,78.0
215.0,60.0
217.0,NaN
218.0,NaN
221.0,15.0
223.0,70.0
228.0,NaN
232.0,5.0
234.0,19.0
236.0,44.0
237.0,3.0
238.0,2.0
239.0,NaN
241.0,14.0
245.0,7.0
247.0,6.0
251.0,NaN
253.0,81.0
254.0,3.0
256.0,NaN
257.0,NaN
261.0,61.0
263.0,4.0
264.0,30.0
265.0,5.0
266.0,NaN
269.0,26.0
270.0,NaN
271.0,NaN
272.0,NaN
273.0,NaN
274.0,2.0
277.0,NaN
278.0,2.0
280.0,5.0
288.0,42.0
290.0,13.0
291.0,20.0
292.0,36.0
293.0,NaN
295.0,NaN
298.0,NaN
299.0,NaN
300.0,NaN
303.0,NaN
305.0,8.0
306.0,42.0
307.0,NaN
308.0,18.0
310.0,NaN
312.0,109.0
313.0,11.0
314.0,NaN
315.0,NaN
316.0,NaN
318.0,NaN
319.0,NaN
324.0,84.0
325.0,NaN
326.0,4.0
329.0,2.0
330.0,NaN
332.0,44.0
334.0,NaN
335.0,NaN
336.0,13.0
337.0,NaN
338.0,NaN
339.0,NaN
340.0,109.0
341.0,NaN
345.0,3.0
347.0,NaN
348.0,11.0
350.0,19.0
352.0,NaN
355.0,48.0
356.0,NaN
357.0,27.0
358.0,7.0
359.0,NaN
362.0,56.0
363.0,NaN
366.0,58.0
367.0,NaN
368.0,NaN
370.0,NaN
372.0,NaN
373.0,NaN
376.0,NaN
377.0,NaN
378.0,NaN
379.0,31.0
380.0,NaN
381.0,10.0
382.0,30.0
383.0,2.0
384.0,NaN
386.0,NaN
387.0,3.0
389.0,NaN
390.0,40.0
391.0,34.0
392.0,2.0
393.0,25.0
394.0,NaN
396.0,NaN
399.0,NaN
401.0,NaN
402.0,NaN
404.0,NaN
406.0,NaN
408.0,NaN
409.0,NaN
410.0,NaN
411.0,5.0
412.0,3.0
413.0,3.0
414.0,3.0
415.0,NaN
416.0,6.0
417.0,NaN
419.0,NaN
420.0,NaN
421.0,NaN
428.0,NaN
429.0,NaN
430.0,NaN
431.0,9.0
435.0,14.0
438.0,20.0
439.0,NaN
444.0,NaN
447.0,2.0
448.0,68.0
450.0,2.0
451.0,2.0
454.0,NaN
455.0,7.0
456.0,NaN
459.0,NaN
461.0,33.0
463.0,5.0
464.0,3.0
465.0,NaN
466.0,NaN
468.0,2.0
469.0,NaN
470.0,NaN
