TimeStep,NumberOfCells
1,97
2,101
3,106
4,108
5,109
6,110
7,113
8,112
9,111
10,111
11,114
12,116
13,120
14,123
15,120
16,125
17,126
18,127
19,128
20,129
21,129
22,132
23,134
24,136
25,136
26,139
27,140
28,145
29,142
30,145
31,147
32,147
33,155
34,160
35,160
36,165
37,167
38,169
39,166
40,174
41,178
42,186
43,189
44,196
45,199
46,205
47,210
48,212
49,212
50,218
51,226
52,229
53,236
54,237
55,266
56,275
57,274
58,291
59,298
60,298
61,299
62,312
63,315
64,324
65,347
66,368
67,377
68,379
69,388
70,389
71,404
72,416
73,432
74,448
75,457
76,467
77,496
78,509
79,529
80,556
81,569
82,579
83,605
84,624
85,636
86,646
87,653
88,705
89,713
90,746
91,768
92,783
93,808
94,834
95,876
96,917
97,927
98,958
99,1025
100,1075
101,1120
102,1158
103,1179
104,1194
105,1220
106,1230
107,1239
108,1275
109,1286
110,1391
111,1421
112,1478
