CellId,lable,birthLength,AverageLength,AverageVelocity,LifeHistory,GrowthRate
1,1.0,47.29474986106061,NaN,NaN,1,NaN
2.0,2.0,19.714430325480556,21.92542568042178,0.074,12.0,0.015
3.0,3.0,22.3180491082804,24.840230710932072,-0.252,23.0,0.02
4.0,4.0,19.029514467764063,18.067113034390715,0.263,3.0,-0.024
5.0,5.0,22.66792337509535,22.880165126312455,0.094,86.0,0.001
6.0,7.0,23.189105951399256,36.014644970089314,1.356,11.0,0.032
7.0,9.0,20.321087659168672,21.875930696580404,0.292,10.0,0.01
8.0,10.0,32.020874907286704,32.525357849565765,0.154,2.0,0.01
9.0,11.0,26.00701702051656,26.203522385948613,0.075,11.0,-0.003
10.0,12.0,23.14857192184752,32.04054714326608,0.163,29.0,0.014
11.0,13.0,21.8929047040362,23.380867002913874,0.039,11.0,0.01
12.0,14.0,30.487645311769818,30.501054675725737,0.012,12.0,0.021
13.0,15.0,21.750206116949013,23.440041976184762,0.139,11.0,-0.004
14.0,16.0,19.50958927486424,23.732126573739663,0.051,19.0,0.012
15.0,17.0,19.188899363447693,22.249354954540582,0.191,19.0,0.011
16.0,18.0,21.47412444535005,21.948656391019718,0.115,43.0,0.001
17.0,19.0,21.73798049769576,22.282826857768576,0.751,4.0,0.009
18.0,20.0,25.00937643985592,30.05876539941266,-0.671,6.0,0.056
19.0,21.0,22.96068313881064,30.467103007978253,0.131,29.0,0.013
20.0,22.0,23.65479025421676,24.107364151240127,0.162,13.0,0.005
21.0,23.0,26.32990082670777,27.58945388426728,0.058,87.0,0.001
22.0,24.0,28.82628030940019,35.8742306536208,0.608,21.0,0.021
23.0,25.0,12.968457537844616,14.486855299033929,0.145,29.0,0.003
24.0,26.0,18.20631606830534,17.209195198757268,0.065,30.0,0.012
25.0,27.0,32.790981953386485,41.00535478549999,0.184,16.0,0.018
26.0,28.0,27.22518102946153,26.216323725043154,0.165,18.0,-0.011
27.0,29.0,20.422367967965297,19.40482896619889,0.537,9.0,-0.009
28.0,30.0,23.068205160975342,25.493055095499543,-0.109,21.0,0.009
29.0,31.0,38.57376495848764,40.40731381945571,0.63,8.0,0.008
30.0,32.0,18.94617248901651,24.074267381251335,0.15,27.0,-0.0
31.0,33.0,35.014914808573245,38.58718045178305,0.384,10.0,0.014
32.0,34.0,42.96362556042009,47.43752341663817,0.291,10.0,0.013
33.0,35.0,18.9061235226489,17.919904317134318,-0.014,23.0,0.009
34.0,36.0,22.332112080310694,25.013584371589648,0.099,18.0,0.009
35.0,37.0,19.66858348853842,19.71297769101037,0.037,22.0,-0.001
36.0,38.0,23.12961452853907,32.55065440937854,0.364,32.0,0.019
37.0,40.0,18.3908668324323,19.18107952858111,0.616,8.0,0.008
38.0,41.0,19.126893303336796,20.609785143951186,0.493,9.0,0.036
39.0,43.0,18.746645444175325,20.032487772048356,0.144,11.0,0.01
40.0,44.0,20.884102181926607,22.764041012546855,0.254,11.0,0.01
41.0,45.0,19.44783445767299,25.117638297227327,0.151,28.0,0.013
42,46.0,49.14003697321436,NaN,NaN,1,NaN
43.0,47.0,20.199272548926903,26.811730659679156,0.1,32.0,0.014
44.0,48.0,19.602233998316063,19.671746360596178,0.487,9.0,-0.008
45.0,49.0,22.86650334318505,32.03906819791661,0.385,24.0,0.02
46.0,50.0,26.329000123068347,20.960720623793613,0.264,20.0,-0.014
47.0,51.0,22.61868839542549,29.36341890953252,-0.196,13.0,0.031
48.0,53.0,16.80535840672735,17.792932354582877,0.127,43.0,0.0
49.0,54.0,25.457015666552543,25.3837409592276,0.057,55.0,0.005
50.0,55.0,17.839637652095853,17.28069240712704,0.105,43.0,-0.0
51.0,56.0,16.40485630791515,25.656733535854453,-0.021,24.0,0.019
52.0,57.0,19.34536605269502,25.91955669115948,0.179,32.0,0.017
53.0,58.0,18.580386644590167,19.02719182000398,0.203,14.0,-0.006
54.0,59.0,16.40721151266123,21.298182457696342,0.17,30.0,0.007
55.0,60.0,24.412030621350365,29.231103610128915,0.236,17.0,0.015
56.0,61.0,18.312712001812056,19.73506045343521,0.303,10.0,0.01
57.0,62.0,24.16622515255256,22.159100283897633,0.17,17.0,-0.018
58.0,63.0,33.46995046984614,35.33082639876405,0.277,13.0,0.007
59.0,64.0,25.67912430296594,30.43325993752173,0.001,21.0,0.011
60.0,65.0,19.097862494587503,20.3148391056665,0.584,5.0,0.008
61.0,66.0,22.805202155190425,28.440505049869596,0.222,17.0,0.007
62.0,67.0,19.74150509122077,20.17420957598464,0.738,5.0,-0.004
63.0,68.0,25.13082223585312,35.510889708602065,-0.251,16.0,0.033
64.0,69.0,21.500059213977757,28.43461363867361,0.052,22.0,0.018
65.0,70.0,22.993603052276107,25.45301841376513,-0.173,17.0,0.007
66.0,71.0,16.27950836031436,21.373596074111656,-0.071,17.0,0.016
67.0,72.0,21.96215641321801,35.39296821217645,-0.263,34.0,0.017
68.0,73.0,20.66738249020503,25.691487385101386,-0.123,20.0,0.015
69.0,74.0,21.38537712598413,26.348568737321898,-0.003,24.0,0.014
70.0,75.0,26.41684537351579,34.41055622402978,-0.037,24.0,0.018
71.0,76.0,26.48708069061783,21.92654472277875,0.322,17.0,0.01
72.0,77.0,25.82354592361878,26.906257609879987,0.211,10.0,0.008
73.0,78.0,26.601488664639472,24.781729797647703,-0.269,2.0,-0.049
74.0,79.0,28.04752091068327,31.394303114637168,-0.209,16.0,0.011
75.0,80.0,25.74800819994146,25.703670156535612,0.71,6.0,0.004
76.0,81.0,22.339948773785487,19.15726705983767,-0.074,19.0,-0.015
77.0,82.0,26.01679882121117,28.16842214365961,0.336,10.0,0.009
