Channel_OrigGray,Count_FilteredNuclei,Count_IdentifyPrimaryObjects,Count_IdentifySecondaryObjects,ExecutionTime_01Images,ExecutionTime_02Metadata,ExecutionTime_03NamesAndTypes,ExecutionTime_04Groups,ExecutionTime_05CorrectIlluminationCalculate,ExecutionTime_06CorrectIlluminationApply,ExecutionTime_07ImageMath,ExecutionTime_08EnhanceOrSuppressFeatures,ExecutionTime_09IdentifyPrimaryObjects,ExecutionTime_10IdentifySecondaryObjects,ExecutionTime_11TrackObjects,ExecutionTime_12Tile,ExecutionTime_13MeasureObjectSizeShape,ExecutionTime_14SaveImages,FileName_OrigGray,Frame_OrigGray,Group_Index,Group_Number,Height_OrigGray,ImageNumber,ImageSet_ImageSet,MD5Digest_OrigGray,Metadata_FileLocation,Metadata_Frame,Metadata_Series,ModuleError_01Images,ModuleError_02Metadata,ModuleError_03NamesAndTypes,ModuleError_04Groups,ModuleError_05CorrectIlluminationCalculate,ModuleError_06CorrectIlluminationApply,ModuleError_07ImageMath,ModuleError_08EnhanceOrSuppressFeatures,ModuleError_09IdentifyPrimaryObjects,ModuleError_10IdentifySecondaryObjects,ModuleError_11TrackObjects,ModuleError_12Tile,ModuleError_13MeasureObjectSizeShape,ModuleError_14SaveImages,PathName_OrigGray,ProcessingStatus,Scaling_OrigGray,Series_OrigGray,Threshold_FinalThreshold_IdentifyPrimaryObjects,Threshold_FinalThreshold_IdentifySecondaryObjects,Threshold_OrigThreshold_IdentifyPrimaryObjects,Threshold_OrigThreshold_IdentifySecondaryObjects,Threshold_SumOfEntropies_IdentifyPrimaryObjects,Threshold_SumOfEntropies_IdentifySecondaryObjects,Threshold_WeightedVariance_IdentifyPrimaryObjects,Threshold_WeightedVariance_IdentifySecondaryObjects,TrackObjects_LostObjectCount_IdentifySecondaryObjects_50,TrackObjects_MergedObjectCount_IdentifySecondaryObjects_50,TrackObjects_NewObjectCount_IdentifySecondaryObjects_50,TrackObjects_SplitObjectCount_IdentifySecondaryObjects_50,URL_OrigGray,Width_OrigGray
-1,68.0,68.0,68.0,0.0,0.0,3.828125,0.0,0.421875,0.03125,0.0,6.328125,1.6875,1.046875,1.125,0.0625,0.609375,2.453125,kt2440_t000xy1c1.tif,0,1,1,862,1,b'eLvmgF1FG02CgzcJGhgYVFQaJhvqlWSmgUsNmP+AYQdyN6hYcUYpX0AMRBkDDj0gA2wRqLzxdbUDAOK7nbA=',c789b79a535efc63207d58d0cadd58dd,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_agarose/1.%20Raw%20Images/1.%20raw%20images/kt2440_t000xy1c1.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\Pseudomonas_agarose\1. Raw Images\1. raw images,Done,255,0,0.08716922998428345,0.5868757963180542,0.10896154,0.5868758,-11.277366687092872,-10.006673525681641,0.7009893545373908,0.0012029753871002041,0,0,68,0,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_agarose/1.%20Raw%20Images/1.%20raw%20images/kt2440_t000xy1c1.tif,915
-1,72.0,72.0,72.0,0.0,0.0,1.78125,0.0,0.859375,0.015625,0.0,6.25,1.421875,1.265625,1.34375,0.109375,0.4375,2.15625,kt2440_t001xy1c1.tif,0,2,1,862,2,b'eLvmgF1FG02CgzcJGhgYVlQaJhvqlWSmgUsNmP+AYQdyN6hYcUYpX0AMRBkDDj0gA2wRqLzxdbUDAOMNnbE=',b5f8f3ccc13e9cc3f0dcf855fcffff9b,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_agarose/1.%20Raw%20Images/1.%20raw%20images/kt2440_t001xy1c1.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\Pseudomonas_agarose\1. Raw Images\1. raw images,Done,255,0,0.085043203830719,0.5884277820587158,0.106304005,0.5884278,-11.472470173065751,-10.306566560934098,0.7191665898146301,0.0011607154226826789,0,1,2,3,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_agarose/1.%20Raw%20Images/1.%20raw%20images/kt2440_t001xy1c1.tif,915
-1,71.0,71.0,71.0,0.0,0.0,1.1875,0.0,0.59375,0.015625,0.0,6.0625,1.375,1.3125,1.484375,0.140625,0.53125,2.28125,kt2440_t002xy1c1.tif,0,3,1,862,3,b'eLvmgF1FG02CgzcJGhgYVVQaJhvqlWSmgUsNmP+AYQdyN6hYcUYpX0AMRBkDDj0gA2wRqLzxdbUDAONfnbI=',3f9cb91973624d058b6f205bfbd50282,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_agarose/1.%20Raw%20Images/1.%20raw%20images/kt2440_t002xy1c1.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\Pseudomonas_agarose\1. Raw Images\1. raw images,Done,255,0,0.08527612686157227,0.5912930965423584,0.10659516,0.5912931,-11.168764624636767,-10.358908533794107,0.7194091035926563,0.0011263013696615222,1,3,0,3,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_agarose/1.%20Raw%20Images/1.%20raw%20images/kt2440_t002xy1c1.tif,915
-1,71.0,71.0,71.0,0.0,0.0,1.171875,0.0,1.265625,0.015625,0.015625,6.1875,1.546875,1.4375,1.40625,0.125,0.546875,2.359375,kt2440_t003xy1c1.tif,0,4,1,862,4,b'eLvmgF1FG02CgzcJGhgYV1QaJhvqlWSmgUsNmP+AYQdyN6hYcUYpX0AMRBkDDj0gA2wRqLzxdbUDAOOxnbM=',73fe639840b1c9d0cc28b544672665a7,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_agarose/1.%20Raw%20Images/1.%20raw%20images/kt2440_t003xy1c1.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\Pseudomonas_agarose\1. Raw Images\1. raw images,Done,255,0,0.08222457766532898,0.5947240591049194,0.10278072,0.59472406,-11.511791802841781,-10.322546724971637,0.7266347749255494,0.0010836311422493096,2,3,3,3,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_agarose/1.%20Raw%20Images/1.%20raw%20images/kt2440_t003xy1c1.tif,915
-1,78.0,78.0,78.0,0.0,0.0,0.8125,0.0,0.8125,0.03125,0.015625,6.453125,1.59375,1.359375,1.484375,0.0625,0.515625,2.265625,kt2440_t004xy1c1.tif,0,5,1,862,5,b'eLvmgF1FG02CgzcJGhiYVFQaJhvqlWSmgUsNmP+AYQdyN6hYcUYpX0AMRBkDDj0gA2wRqLzxdbUDAOQDnbQ=',7615fe47d7f5c5a41ea87d6598e4328c,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_agarose/1.%20Raw%20Images/1.%20raw%20images/kt2440_t004xy1c1.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\Pseudomonas_agarose\1. Raw Images\1. raw images,Done,255,0,0.08332031965255737,0.5971183180809021,0.1041504,0.5971183,-11.481335018299033,-10.328563614234259,0.7231500914354285,0.0010640245031387908,1,2,3,9,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_agarose/1.%20Raw%20Images/1.%20raw%20images/kt2440_t004xy1c1.tif,915
-1,77.0,77.0,77.0,0.0,0.0,1.234375,0.0,0.453125,0.015625,0.0,6.46875,1.53125,1.40625,1.359375,0.09375,0.625,2.265625,kt2440_t005xy1c1.tif,0,6,1,862,6,b'eLvmgF1FG02CgzcJGhiYVlQaJhvqlWSmgUsNmP+AYQdyN6hYcUYpX0AMRBkDDj0gA2wRqLzxdbUDAORVnbU=',83d27ee0d36ea66248dc864dcb276b76,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_agarose/1.%20Raw%20Images/1.%20raw%20images/kt2440_t005xy1c1.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\Pseudomonas_agarose\1. Raw Images\1. raw images,Done,255,0,0.08246326446533203,0.5980255603790283,0.10307908,0.59802556,-11.379910884658266,-10.409320149036223,0.7208488661343707,0.001032284129315787,0,6,1,10,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_agarose/1.%20Raw%20Images/1.%20raw%20images/kt2440_t005xy1c1.tif,915
-1,74.0,74.0,74.0,0.0,0.0,0.328125,0.0,0.421875,0.015625,0.015625,6.0625,0.96875,0.921875,1.078125,0.046875,0.390625,2.0625,kt2440_t006xy1c1.tif,0,7,1,862,7,b'eLvmgF1FG02CgzcJGhiYVVQaJhvqlWSmgUsNmP+AYQdyN6hYcUYpX0AMRBkDDj0gA2wRqLzxdbUDAOSnnbY=',1bed0123719405b359064f7a7b743a59,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_agarose/1.%20Raw%20Images/1.%20raw%20images/kt2440_t006xy1c1.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\Pseudomonas_agarose\1. Raw Images\1. raw images,Done,255,0,0.08107446432113648,0.6004519462585449,0.10134308,0.60045195,-11.417991636891802,-10.107878267914016,0.7170519526628126,0.0010061132817782493,1,4,0,8,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_agarose/1.%20Raw%20Images/1.%20raw%20images/kt2440_t006xy1c1.tif,915
-1,77.0,77.0,77.0,0.0,0.0,0.453125,0.0,0.34375,0.0,0.0,5.953125,0.96875,0.90625,1.046875,0.0625,0.453125,1.96875,kt2440_t007xy1c1.tif,0,8,1,862,8,b'eLvmgF1FG02CgzcJGhiYV1QaJhvqlWSmgUsNmP+AYQdyN6hYcUYpX0AMRBkDDj0gA2wRqLzxdbUDAOT5nbc=',0d28e9b4e4c16af771d4e7359bb858de,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_agarose/1.%20Raw%20Images/1.%20raw%20images/kt2440_t007xy1c1.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\Pseudomonas_agarose\1. Raw Images\1. raw images,Done,255,0,0.08013412356376648,0.601660430431366,0.100167654,0.60166043,-11.46754198446829,-10.150421261347969,0.7170252743088946,0.0009708626224710299,0,2,0,11,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_agarose/1.%20Raw%20Images/1.%20raw%20images/kt2440_t007xy1c1.tif,915
-1,75.0,75.0,75.0,0.0,0.0,0.203125,0.0,0.265625,0.0,0.015625,5.84375,0.96875,0.984375,0.953125,0.046875,0.390625,1.875,kt2440_t008xy1c1.tif,0,9,1,862,9,b'eLvmgF1FG02CgzcJGhhYVFQaJhvqlWSmgUsNmP+AYQdyN6hYcUYpX0AMRBkDDj0gA2wRqLzxdbUDAOVLnbg=',5884dca4f9dc5cd2b72d8b812e7531a6,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_agarose/1.%20Raw%20Images/1.%20raw%20images/kt2440_t008xy1c1.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\Pseudomonas_agarose\1. Raw Images\1. raw images,Done,255,0,0.0797776460647583,0.6018288135528564,0.09972206,0.6018288,-11.40161159451664,-10.363477579350791,0.7177021358447018,0.000979351588863581,2,2,0,11,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_agarose/1.%20Raw%20Images/1.%20raw%20images/kt2440_t008xy1c1.tif,915
-1,77.0,77.0,77.0,0.0,0.0,0.265625,0.0,0.28125,0.0,0.0,5.875,0.96875,0.921875,0.9375,0.046875,0.359375,1.9375,kt2440_t009xy1c1.tif,0,10,1,862,10,b'eLvmgF1FG02CgzcJGhhYVlQaJhvqlWSmgUsNmP+AYQdyN6hYcUYpX0AMRBkDDj0gA2wRqLzxdbUDAOWdnbk=',4575de45af6184220dc82e3821728b25,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_agarose/1.%20Raw%20Images/1.%20raw%20images/kt2440_t009xy1c1.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\Pseudomonas_agarose\1. Raw Images\1. raw images,Done,255,0,0.07868250012397766,0.6035727262496948,0.098353125,0.6035727,-11.384620117425133,-10.357168021650168,0.7158958007544538,0.0009683505705156685,0,4,2,12,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_agarose/1.%20Raw%20Images/1.%20raw%20images/kt2440_t009xy1c1.tif,915
