CellId,lable,birthLength,AverageLength,AverageVelocity,LifeHistory,GrowthRate
1.0,3.0,14.06662025,22.916908630666665,-0.083,75.0,0.01
2.0,4.0,20.86489272,21.07852787744186,-0.154,43.0,0.001
3.0,5.0,10.23110302,11.228566767599998,-0.123,25.0,0.001
4.0,6.0,18.33622422,16.997302396612902,-0.083,62.0,-0.006
5.0,7.0,13.66503261,18.452516797222227,-0.058,36.0,0.011
6.0,9.0,14.33580292,18.67853151521739,-0.112,46.0,0.009
7.0,15.0,19.24977829,22.74273086111111,-0.101,27.0,0.01
8.0,17.0,21.47185584,25.710085913103452,-0.053,29.0,0.009
9.0,18.0,28.71533395,28.593062045,-0.329,4.0,0.004
10.0,21.0,16.27585923,32.561876794444444,-0.653,9.0,0.056
11.0,22.0,18.69216137,22.50539678708334,0.115,24.0,0.01
12.0,24.0,18.22255691,22.955729550512817,0.141,39.0,0.008
13.0,25.0,25.09859868,28.172855195833336,0.067,24.0,0.007
14.0,26.0,41.12311019,41.89877384714286,-0.204,7.0,0.004
15.0,27.0,20.52962436,22.894594032500002,0.206,20.0,0.007
16,28,37.51300991,37.51300991,0.0,1,NaN
17.0,29.0,29.11964786,28.41490727,-0.003,176.0,-0.0
18.0,30.0,35.23803929,36.74630170923077,-0.011,13.0,0.005
19.0,31.0,17.77658573,19.018755035852273,-0.002,176.0,0.0
20.0,32.0,32.47851113,32.217582531999994,0.009,10.0,-0.001
21.0,33.0,19.77686262,23.444630430294115,0.543,34.0,0.008
22.0,34.0,19.78627507,20.334009456666667,0.804,3.0,0.017
23,35,35.40946948,35.40946948,0.0,1,NaN
24.0,36.0,14.70640463,15.504724404285714,0.601,7.0,0.01
25.0,38.0,31.37778923,34.08444591892857,0.139,28.0,0.002
26.0,39.0,19.21524809,25.022864444375003,-0.021,32.0,0.012
27,41,36.75419389,36.75419389,0.0,1,NaN
28,42,25.23842572,25.23842572,0.0,1,NaN
29.0,43.0,29.4153445,33.25011492212121,0.07,33.0,0.003
30,44,36.62394076,36.62394076,0.0,1,NaN
31.0,45.0,26.40235606,28.230180992727277,-0.024,11.0,0.007
32.0,46.0,29.11276041,33.547974944545444,0.047,22.0,0.008
33.0,47.0,14.17772996,20.512958841000003,0.168,50.0,0.011
34.0,48.0,13.27278778,19.471553596600003,0.304,50.0,0.012
35.0,49.0,16.07384526,21.955343462156865,0.155,51.0,0.009
36.0,50.0,14.57325126,20.852887186666667,0.265,48.0,0.011
37.0,51.0,15.2400132,28.162523926666665,1.345,3.0,0.184
38.0,52.0,19.61192586,27.416589411132083,0.271,53.0,0.009
39.0,54.0,20.74409289,25.132957950384615,-0.008,26.0,0.009
40.0,55.0,15.32046978,20.7165660215,0.161,40.0,0.01
41.0,56.0,29.63305419,32.41364819176471,0.439,17.0,0.007
42.0,57.0,31.31393129,34.493068715999996,0.055,20.0,0.008
43.0,58.0,28.40544689,31.194455589166665,0.093,12.0,0.01
44.0,61.0,27.76204727,28.06999661,0.161,2.0,0.007
45.0,62.0,11.03562353,12.414919749999997,0.208,11.0,0.009
46,65,22.58025276,22.58025276,0.0,1,NaN
47.0,66.0,12.12528549,17.126839855789473,0.143,57.0,0.009
48.0,70.0,10.74691343,17.131090267592597,0.328,54.0,0.012
