TimeStep,NumberOfCells
1,65
2,66
3,69
4,66
5,69
6,66
7,69
8,68
9,65
10,65
11,66
12,68
13,71
14,69
15,68
16,71
17,70
18,70
19,72
20,73
21,75
22,74
23,77
24,76
25,75
26,75
27,79
28,85
29,84
30,84
31,87
32,88
33,88
34,87
35,94
36,96
37,93
38,93
39,96
40,94
41,97
42,96
43,97
44,97
45,98
46,99
47,100
48,102
49,96
50,95
51,94
52,95
53,97
54,99
55,103
56,104
57,103
58,104
59,109
60,108
61,113
62,116
63,121
64,120
65,118
66,120
67,117
68,117
69,121
70,118
71,125
72,126
73,126
74,128
75,124
76,123
77,125
78,127
79,126
80,126
81,129
82,128
83,129
84,125
85,123
86,122
87,128
88,129
89,134
90,135
91,136
92,129
93,131
94,129
95,130
96,130
97,132
98,136
99,134
100,140
101,143
102,145
103,147
104,152
105,149
106,158
107,156
108,155
109,162
110,165
111,164
112,165
113,172
114,175
115,178
116,180
117,189
118,189
119,187
120,195
121,195
122,191
123,185
124,194
125,187
126,192
127,192
128,196
129,175
130,186
131,188
132,177
133,189
134,194
135,188
136,200
137,186
138,194
139,201
140,194
141,186
142,179
143,196
144,181
145,185
146,193
147,188
148,192
149,206
150,192
151,195
152,202
153,217
154,213
155,212
156,205
157,205
158,193
159,200
160,198
161,208
162,194
163,188
164,191
165,196
166,191
167,200
168,192
169,191
170,195
171,186
172,186
173,191
174,181
175,195
176,201
