lable,NumberOfDivision
1.0,21.0
2.0,21.0
3.0,NaN
4.0,NaN
5.0,22.0
6.0,NaN
7.0,46.0
8.0,NaN
9.0,12.0
10.0,19.0
11.0,11.0
12.0,98.0
13.0,4.0
14.0,36.0
15.0,25.0
16.0,48.0
17.0,NaN
18.0,94.0
19.0,53.0
21.0,5.0
22.0,11.0
23.0,NaN
24.0,58.0
26.0,127.0
27.0,76.0
28.0,NaN
29.0,64.0
30.0,13.0
31.0,9.0
32.0,NaN
33.0,42.0
34.0,47.0
35.0,20.0
36.0,58.0
38.0,7.0
39.0,NaN
40.0,46.0
41.0,NaN
42.0,NaN
43.0,56.0
44.0,111.0
45.0,26.0
46.0,NaN
47.0,93.0
48.0,NaN
49.0,27.0
50.0,37.0
51.0,37.0
53.0,9.0
54.0,20.0
55.0,54.0
56.0,36.0
57.0,67.0
58.0,39.0
59.0,22.0
60.0,16.0
61.0,19.0
62.0,NaN
63.0,13.0
64.0,NaN
65.0,16.0
66.0,3.0
67.0,36.0
68.0,NaN
69.0,NaN
70.0,NaN
71.0,NaN
72.0,NaN
76.0,NaN
77.0,NaN
79.0,NaN
81.0,NaN
83.0,NaN
85.0,NaN
87.0,NaN
91.0,NaN
95.0,NaN
100.0,NaN
101.0,NaN
102.0,NaN
104.0,NaN
108.0,NaN
110.0,NaN
111.0,NaN
113.0,NaN
114.0,NaN
115.0,NaN
116.0,NaN
117.0,NaN
118.0,NaN
119.0,NaN
123.0,NaN
131.0,NaN
141.0,NaN
148.0,NaN
151.0,NaN
153.0,NaN
155.0,NaN
158.0,NaN
159.0,NaN
163.0,NaN
166.0,NaN
168.0,NaN
170.0,NaN
172.0,NaN
173.0,NaN
176.0,2.0
182.0,NaN
185.0,NaN
187.0,NaN
188.0,NaN
189.0,NaN
191.0,NaN
194.0,NaN
198.0,NaN
201.0,NaN
202.0,NaN
203.0,NaN
208.0,NaN
211.0,NaN
223.0,NaN
225.0,NaN
235.0,NaN
238.0,NaN
239.0,NaN
240.0,NaN
241.0,NaN
244.0,NaN
245.0,NaN
246.0,7.0
249.0,NaN
250.0,NaN
254.0,NaN
255.0,NaN
258.0,NaN
263.0,NaN
264.0,NaN
266.0,6.0
268.0,NaN
269.0,NaN
271.0,NaN
273.0,4.0
274.0,NaN
275.0,NaN
276.0,NaN
277.0,NaN
282.0,NaN
283.0,NaN
289.0,NaN
290.0,NaN
296.0,NaN
301.0,NaN
302.0,NaN
304.0,NaN
305.0,NaN
311.0,NaN
314.0,NaN
315.0,NaN
318.0,NaN
319.0,NaN
321.0,3.0
322.0,NaN
325.0,4.0
326.0,NaN
329.0,NaN
331.0,NaN
333.0,NaN
335.0,NaN
339.0,NaN
341.0,2.0
342.0,NaN
343.0,NaN
344.0,NaN
348.0,NaN
355.0,NaN
356.0,NaN
358.0,NaN
360.0,NaN
367.0,NaN
373.0,NaN
375.0,NaN
378.0,NaN
380.0,NaN
382.0,NaN
384.0,NaN
385.0,NaN
391.0,NaN
392.0,NaN
393.0,NaN
398.0,NaN
399.0,NaN
407.0,NaN
408.0,NaN
411.0,NaN
412.0,NaN
414.0,NaN
415.0,NaN
417.0,NaN
421.0,2.0
422.0,NaN
423.0,2.0
424.0,NaN
426.0,NaN
434.0,NaN
435.0,NaN
436.0,NaN
437.0,NaN
439.0,NaN
440.0,NaN
441.0,NaN
442.0,2.0
443.0,NaN
444.0,2.0
446.0,NaN
450.0,NaN
452.0,NaN
454.0,NaN
457.0,NaN
459.0,NaN
463.0,NaN
464.0,NaN
467.0,NaN
469.0,NaN
470.0,NaN
472.0,NaN
474.0,NaN
480.0,NaN
481.0,NaN
482.0,NaN
483.0,NaN
