CellId,lable,birthLength,AverageLength,AverageVelocity,LifeHistory,GrowthRate
1.0,1.0,11.267967742361478,11.214849822362417,0.192,8.0,-0.001
2.0,2.0,31.450713931090068,19.5398703721396,-1.587,4.0,-0.095
3.0,4.0,20.32020736741788,20.30569809713453,0.147,2.0,-0.0
4.0,5.0,30.98698426324284,32.607641751849705,0.115,3.0,0.023
5.0,6.0,21.23200073742049,21.84695651224848,-0.437,6.0,0.091
6.0,7.0,11.443752483277857,15.254348436668234,-1.01,2.0,0.17
7,4.0,20.291188826851187,NaN,NaN,1,NaN
8,4.0,34.58219813440324,NaN,NaN,1,NaN
9,4.0,13.64925129438483,NaN,NaN,1,NaN
10.0,7.0,21.653683631967606,20.819038012191527,0.718,3.0,-0.039
11.0,7.0,31.890482111049984,33.4904399288952,0.044,3.0,0.026
12.0,4.0,16.02315792658646,20.47186398461043,-0.112,7.0,0.037
13.0,4.0,21.12665199515758,22.601997759302783,-0.044,2.0,0.044
14.0,8.0,16.459140135106804,28.230667127567475,0.041,16.0,0.039
15.0,9.0,20.0492205469111,26.907044930616866,0.011,12.0,0.034
16.0,4.0,21.18798342256474,22.167378399565816,-0.167,2.0,0.029
17,4.0,21.084880362910635,NaN,NaN,1,NaN
18.0,7.0,18.807335451482043,22.92496365179919,0.505,2.0,0.121
19.0,7.0,18.35928100479355,24.121102355062725,0.354,14.0,0.031
20.0,6.0,22.483994438820144,26.00511947659874,-1.053,7.0,0.02
21.0,6.0,20.45173136599233,20.833156547984725,-0.578,2.0,0.012
22,6.0,22.342812867387657,NaN,NaN,1,NaN
23.0,6.0,21.212157527435927,21.782365631527554,-0.262,2.0,0.017
24.0,4.0,22.87398489678652,29.014904345029052,0.162,11.0,0.029
25.0,4.0,24.459489068181508,23.40036340704021,0.274,10.0,-0.021
26.0,6.0,15.409854663431656,23.331447220937186,-0.392,4.0,0.095
27,6.0,11.999559126415546,NaN,NaN,1,NaN
28.0,7.0,28.133111202011253,27.927031254668567,-0.188,12.0,0.01
29.0,7.0,21.53252689068032,24.179437459579237,-0.19,6.0,0.029
30.0,10.0,21.60009095750919,24.62780232793824,0.449,5.0,0.037
31.0,11.0,22.673098116665138,28.821765495852013,-0.125,8.0,0.04
32.0,6.0,12.900445454475124,28.646549215782642,-2.172,7.0,0.115
33.0,6.0,26.16558799915496,25.370353319916138,-0.974,6.0,-0.017
34.0,6.0,25.813581280424764,27.723322274670043,-0.308,4.0,0.021
35.0,6.0,19.318310370799257,17.155759663160087,-2.033,2.0,-0.084
36.0,6.0,13.0359063822199,15.000014326496306,-1.629,2.0,0.088
37,7.0,11.709294442869329,NaN,NaN,1,NaN
38.0,7.0,18.9462212534752,28.844724135093667,-0.841,5.0,0.083
39,7.0,19.76452763779187,NaN,NaN,1,NaN
40,10.0,15.785651195104952,NaN,NaN,1,NaN
41.0,10.0,15.852622203289007,31.19458002705587,-0.677,4.0,0.151
42.0,7.0,22.75438490196456,22.760998424947964,-0.258,7.0,0.007
43.0,7.0,14.523799747525056,28.163143295852457,0.696,16.0,0.042
44,6.0,11.58625924078376,NaN,NaN,1,NaN
45.0,6.0,22.71177184668837,28.866751821611825,-2.342,2.0,0.144
46.0,6.0,13.431383179283785,13.79212739644548,-0.439,4.0,0.022
47.0,12.0,17.79465943440571,32.671940085670144,0.012,3.0,0.182
48.0,9.0,19.30624949473504,27.77715878792963,-0.814,14.0,0.038
49.0,9.0,18.24232056520577,20.280693341476702,-0.062,7.0,0.013
50.0,6.0,29.030462216976623,29.829764310019666,0.337,2.0,0.018
51.0,6.0,23.990348567312108,26.080453100524608,0.857,5.0,0.012
52,11.0,14.920719173372335,NaN,NaN,1,NaN
53.0,6.0,15.245697112464692,20.550836345528904,-0.492,4.0,0.071
54,6.0,16.977862500993655,NaN,NaN,1,NaN
55.0,11.0,23.3953267826948,22.52626182647685,0.45,3.0,-0.009
56.0,4.0,18.83546463846399,19.92354631444771,-0.517,3.0,0.03
57.0,4.0,19.20925548392209,22.73790399584936,-0.369,6.0,0.035
58.0,6.0,18.177604631872526,29.328597969261292,1.228,4.0,0.182
59.0,6.0,24.152474997711455,25.720367951194618,-0.658,3.0,0.027
60.0,6.0,23.81728202644791,22.797275305127854,0.087,2.0,-0.03
61.0,10.0,19.79575261585496,20.63996912266522,-0.523,2.0,0.027
62,6.0,25.86198304874997,NaN,NaN,1,NaN
63.0,10.0,19.061790009133983,20.90799686488383,0.316,3.0,0.024
64,7.0,19.936830167051795,NaN,NaN,1,NaN
65.0,7.0,19.363557064518297,27.1192798749221,0.71,13.0,0.032
66,13.0,42.03150484657989,NaN,NaN,1,NaN
67,12.0,23.842831897410317,NaN,NaN,1,NaN
68,12.0,19.991407004149004,NaN,NaN,1,NaN
69.0,6.0,20.664474365541384,25.44847759808222,-0.771,2.0,0.127
70.0,6.0,22.299131182230383,21.211937835882622,-0.032,2.0,-0.034
71.0,7.0,18.956038195501787,29.32121118909628,-0.522,2.0,0.246
72,7.0,17.869280112013076,NaN,NaN,1,NaN
73.0,13.0,23.10685371457463,24.203512698396064,-0.266,5.0,0.015
74.0,13.0,21.44681347400235,28.162385571378437,-0.64,9.0,0.038
75.0,12.0,22.057146466739404,24.915042564456133,0.117,6.0,0.027
76.0,12.0,21.35904887263018,22.320362390946414,0.302,2.0,0.029
77.0,8.0,19.36967884575352,26.865597398735314,-0.069,10.0,0.04
78.0,8.0,22.917994444184497,24.94992545236471,-0.127,5.0,0.022
79,6.0,23.495658221242326,NaN,NaN,1,NaN
80,6.0,29.079276897665743,NaN,NaN,1,NaN
81.0,11.0,22.16435597936515,25.01668845025929,0.377,6.0,0.025
82.0,11.0,38.64241693598135,40.22829906259195,-0.469,2.0,0.026
83.0,14.0,20.736307981039065,25.08662097304942,0.356,8.0,0.027
84.0,4.0,22.46348173559978,25.874425230741707,-0.41,9.0,0.02
85.0,4.0,22.833973414235555,28.727821664893725,-0.428,9.0,0.029
86,6.0,23.235293244268927,NaN,NaN,1,NaN
87.0,6.0,23.254219435928896,29.700193502454898,-0.875,3.0,0.08
88.0,6.0,26.70747685208204,28.31960520865266,0.004,3.0,0.034
89.0,6.0,22.02415268493469,24.819768097466735,-0.451,5.0,0.029
90.0,6.0,24.46177092191906,24.34351874314227,-0.794,6.0,-0.055
91.0,6.0,23.88703663479426,25.444883942984063,0.359,6.0,0.022
92,7.0,17.783459769430973,NaN,NaN,1,NaN
93.0,7.0,25.06361950937932,28.674472203937604,0.37,5.0,0.033
94,7.0,12.074980789798335,NaN,NaN,1,NaN
95.0,7.0,21.40699719235258,34.548566341259914,-2.999,2.0,0.267
96.0,12.0,12.829959806353756,12.827356036105932,0.137,3.0,-0.007
97.0,12.0,13.663922342523554,14.705353331819149,0.157,3.0,0.041
98,6.0,25.672991787634476,NaN,NaN,1,NaN
99,16.0,27.11211548665718,NaN,NaN,1,NaN
100.0,6.0,24.962603571959363,25.738545368774602,-0.887,2.0,0.02
101,6.0,14.640570972061417,NaN,NaN,1,NaN
102,6.0,21.24805077888349,NaN,NaN,1,NaN
103.0,11.0,21.70980341985512,22.647270796963074,-0.271,14.0,0.006
104.0,11.0,21.98143635999276,22.565072853640476,0.509,3.0,0.01
105.0,19.0,23.487778534032703,23.652854253257072,-0.2,3.0,-0.001
106.0,20.0,23.40724427582198,22.8047709683123,0.483,3.0,-0.007
107.0,16.0,18.19661058229477,27.724602263026313,0.003,12.0,0.03
108.0,16.0,13.135467697205163,20.490024607265138,-1.762,3.0,0.212
109.0,6.0,34.26818847102447,35.32852560589262,0.094,2.0,0.02
110.0,6.0,33.87874267328774,34.65846979699282,0.216,2.0,0.015
111.0,7.0,22.730565616765844,29.08621657068554,0.614,8.0,0.033
112.0,7.0,22.174331869114425,27.933522937005296,-0.148,8.0,0.03
113.0,9.0,27.4334099024751,29.48583890800199,-0.095,3.0,0.032
114.0,9.0,26.37112970796021,28.376046221443108,-1.107,3.0,0.037
115.0,21.0,27.211081673749963,36.190685844644086,-0.043,8.0,0.043
116.0,6.0,30.39267895702628,30.67475092561935,-0.757,3.0,0.013
117.0,6.0,27.478982678234683,28.801387305904182,-0.592,2.0,0.031
118.0,6.0,15.12482530390922,23.43651960028546,0.011,15.0,0.036
119.0,6.0,26.53585811541498,27.444902436359712,-0.57,2.0,0.022
120.0,6.0,21.388972452062905,24.448041362208087,0.57,10.0,0.019
121,6.0,45.75630417228327,NaN,NaN,1,NaN
122.0,22.0,27.170738387692325,28.24346344155138,0.061,2.0,0.025
123.0,23.0,27.910265911139145,36.833964855000055,-0.394,6.0,0.056
124.0,6.0,26.76769926417813,29.10400487913779,1.973,2.0,0.054
125,6.0,14.151634200959062,NaN,NaN,1,NaN
126,6.0,18.03461703015141,NaN,NaN,1,NaN
127,6.0,23.23591832801161,NaN,NaN,1,NaN
128.0,6.0,15.55097338093098,20.633806923688695,0.023,7.0,0.052
129.0,6.0,25.05659112444894,28.787883210430646,-0.611,5.0,0.003
130.0,6.0,13.77713892508896,20.85216349207974,-0.31,8.0,0.058
131,11.0,15.182446113297235,NaN,NaN,1,NaN
132,11.0,13.681167870177076,NaN,NaN,1,NaN
133.0,12.0,28.048272883458665,20.977649578354427,0.939,4.0,-0.068
134.0,12.0,28.995679082940534,31.96810840981322,0.267,4.0,0.025
135.0,24.0,29.637907126257826,36.92429413750779,-0.029,5.0,0.047
136,16.0,15.720256013789072,NaN,NaN,1,NaN
137.0,6.0,19.93123872769645,26.484581331453445,0.719,3.0,0.149
138.0,16.0,24.66137236442124,35.164932366038755,-3.075,2.0,0.205
139.0,6.0,14.145836704078576,15.009439126263523,-0.404,2.0,0.038
140.0,6.0,22.48573418151973,31.463277155306837,0.567,3.0,0.112
141.0,6.0,18.88963169454122,21.492156050661723,-0.74,12.0,0.016
142,6.0,12.569975346276278,NaN,NaN,1,NaN
143.0,22.0,33.1947421392097,35.76611625481527,-0.153,3.0,0.034
144,6.0,30.221870410088343,NaN,NaN,1,NaN
145.0,6.0,12.00328406722114,19.761285381798185,-0.342,15.0,0.021
146.0,6.0,16.082507360861424,15.448640159381153,-0.673,2.0,-0.027
147.0,6.0,14.251403278660844,16.718898951025338,0.163,5.0,0.05
148.0,6.0,12.98245885781637,18.31209464835004,-1.965,3.0,0.173
149.0,22.0,34.907477183485305,36.546194557611024,0.547,3.0,0.03
150.0,11.0,28.7806652848873,29.324530111097125,0.371,2.0,0.012
151.0,11.0,28.38551535547709,35.44161796500165,1.648,8.0,0.038
152,9.0,36.20139462122885,NaN,NaN,1,NaN
153,9.0,23.91304314796892,NaN,NaN,1,NaN
154,6.0,15.8449355128283,NaN,NaN,1,NaN
155.0,6.0,18.627194550475014,32.23792092568652,-1.868,3.0,0.163
156.0,6.0,16.807939812033204,12.98163197709576,-0.89,3.0,-0.085
157.0,6.0,14.545237488580735,19.989141554465615,-0.48,3.0,0.103
158.0,9.0,17.38017858341951,19.23587639728884,-0.352,4.0,0.042
159,9.0,12.849315081198148,NaN,NaN,1,NaN
160.0,9.0,23.50765435703543,33.97711148710649,-0.199,3.0,0.121
161.0,16.0,19.63597723191644,21.575381283846237,-0.375,3.0,0.021
162.0,16.0,21.18268933780076,36.09532283864794,-3.333,2.0,0.293
163.0,28.0,38.52285065975964,39.583355100986225,0.481,2.0,0.018
164.0,11.0,13.19517175489042,20.463414449295144,0.044,10.0,0.048
165.0,11.0,20.283118743186005,20.060564661073883,0.237,2.0,-0.007
166.0,14.0,24.49414119091905,22.583483427441994,1.079,11.0,0.005
167.0,14.0,11.89533770820108,16.673808655145482,-0.167,3.0,0.102
168.0,29.0,20.73564946619277,23.508478211460982,-1.187,5.0,0.062
169.0,13.0,23.323929841747084,32.40152730748812,0.845,2.0,0.192
170,13.0,15.051803420397558,NaN,NaN,1,NaN
171,6.0,43.00974955906681,NaN,NaN,1,NaN
172,6.0,40.80690230788522,NaN,NaN,1,NaN
173.0,6.0,20.428688283383615,21.626247960890957,-1.271,4.0,0.021
174.0,6.0,18.72620685012355,24.228240859103774,-0.814,9.0,0.03
175.0,22.0,20.02791951334284,21.95423971502571,-3.472,3.0,0.041
176.0,6.0,24.74679596529288,25.389352600100644,0.058,2.0,0.017
177.0,22.0,21.578933317771444,25.34675646048497,0.288,9.0,0.029
178.0,6.0,25.474286366546497,26.088554556900128,0.05,4.0,0.01
179,22.0,19.156968608226524,NaN,NaN,1,NaN
180.0,22.0,20.641873923938896,20.896145756786026,0.529,4.0,0.008
181.0,30.0,26.37308110927361,31.849744219844162,1.095,8.0,0.028
182.0,4.0,20.375184237989725,21.448115400027735,-0.143,4.0,0.007
183.0,4.0,21.861272807289225,23.944247347834345,-0.088,3.0,0.013
184.0,4.0,17.01004553980499,16.63610698072428,0.655,3.0,0.046
185.0,4.0,20.935237545227334,26.269413698711833,0.119,12.0,0.029
186.0,12.0,26.145236857479144,22.85199196203554,1.232,5.0,-0.021
187.0,12.0,13.99531395656023,20.891956250627743,0.065,6.0,0.071
188,8.0,25.533990613708497,NaN,NaN,1,NaN
189.0,8.0,14.621482821723005,27.98670254448598,0.671,2.0,0.347
190.0,16.0,22.89325937169898,30.438371339057046,-1.566,10.0,0.031
191.0,6.0,19.495854628734406,20.309689042086823,-1.541,2.0,0.027
192.0,16.0,21.26319894352892,27.18787043064488,-0.955,6.0,0.046
193.0,28.0,19.14418459183209,20.1696114043941,-1.53,3.0,0.024
194,6.0,30.701566200667852,NaN,NaN,1,NaN
195.0,28.0,19.234129604255735,19.764184495560727,-0.767,2.0,0.018
196.0,6.0,16.722919907325053,18.99059802952258,0.398,4.0,0.034
197.0,22.0,21.433712513605474,22.465726220909662,-0.809,6.0,0.018
198.0,6.0,18.84822815738586,22.915756521980278,-0.24,10.0,0.042
199.0,6.0,26.67371686129533,30.646295707710262,0.012,6.0,0.024
200.0,22.0,20.138400299655427,25.340139578812206,0.996,5.0,0.07
201.0,6.0,23.624512319348085,25.404815612223736,-0.374,4.0,0.026
202.0,7.0,40.970926725010514,42.523205407291854,-0.409,2.0,0.024
203.0,7.0,26.43157932139822,30.965092601894906,0.188,5.0,0.042
204.0,9.0,20.231075199052466,20.442268467676534,-0.204,2.0,0.007
205,9.0,20.79282064268121,NaN,NaN,1,NaN
206,9.0,22.16779177620325,NaN,NaN,1,NaN
207.0,13.0,19.55273550333436,26.246240640811706,-0.878,11.0,0.035
208.0,9.0,21.17892985024396,35.01342449105245,-0.202,2.0,0.279
209.0,13.0,22.48246674243799,28.052261647272193,-0.24,11.0,0.032
210.0,23.0,21.81209239831248,26.003484453788925,-0.463,8.0,0.032
211.0,23.0,21.53698754102395,29.640763184577008,0.142,11.0,0.041
212,16.0,12.339196443630026,NaN,NaN,1,NaN
213.0,16.0,14.2335210827581,26.979499414032198,-2.02,5.0,0.107
214,6.0,49.00100064406653,NaN,NaN,1,NaN
215.0,6.0,22.99013220881101,23.35393482240559,-0.202,2.0,0.01
216.0,6.0,26.92748092567964,29.190310327130526,-0.402,4.0,0.03
217.0,6.0,27.3828666404856,28.631514616921763,0.199,3.0,0.021
218.0,14.0,26.172074893086045,28.76596813682019,0.549,7.0,0.018
219.0,14.0,22.93864204082937,28.413355568451642,-0.248,8.0,0.034
220.0,7.0,23.80910708678203,25.939509567443316,0.594,11.0,0.02
221.0,14.0,21.1455841111836,24.742388049545234,0.122,8.0,0.024
222.0,7.0,16.943195921672533,25.034053930996183,0.326,11.0,0.038
223.0,7.0,25.77801723870001,26.383345287209075,0.48,10.0,0.013
224.0,7.0,20.245671331960764,26.833069570824488,0.02,11.0,0.033
225.0,7.0,13.16332624967374,25.86560431057749,0.728,14.0,0.046
226.0,7.0,20.673431929406163,28.444983544340612,0.807,12.0,0.034
227.0,9.0,22.481888172327043,25.31107942032377,-0.498,5.0,0.023
228.0,9.0,20.31596106947473,25.18867212749098,-0.656,7.0,0.031
229.0,8.0,22.24127359403886,21.927697151574154,-0.103,6.0,0.013
230.0,21.0,22.025967462835887,22.718136233990148,-0.392,2.0,0.02
231.0,8.0,22.02982105992121,26.93729061798351,0.358,9.0,0.037
232.0,21.0,25.123422265377968,25.796035970193458,0.985,4.0,0.012
233,21.0,21.70829627924742,NaN,NaN,1,NaN
234.0,6.0,22.518060565718518,25.12543558456711,0.191,5.0,0.025
235.0,6.0,23.138328886487216,25.911446872618267,-0.282,7.0,-0.002
236.0,22.0,25.83880106746544,29.15385397001889,-2.12,2.0,0.076
237,28.0,20.45664494424782,NaN,NaN,1,NaN
238.0,28.0,23.24657547443998,17.201961196014828,0.596,2.0,-0.245
239.0,22.0,22.984458466604124,24.36346006073416,-0.662,5.0,0.012
240.0,22.0,23.69364270071241,25.67542282444144,-1.004,2.0,0.052
241.0,6.0,11.530177191093674,11.407682439199975,0.346,2.0,-0.007
242.0,6.0,17.4144332707735,26.11644854944527,-0.212,6.0,0.066
243.0,7.0,18.38663670657057,24.80115219245133,0.197,4.0,0.062
244.0,7.0,25.87480857231081,25.35689933537462,1.112,4.0,0.017
245,9.0,22.904163822949368,NaN,NaN,1,NaN
246.0,9.0,23.53933863928677,28.200342893711788,0.03,8.0,0.035
247.0,6.0,24.07551083526376,27.98165280423505,-0.685,5.0,0.033
248,6.0,13.10032591389112,NaN,NaN,1,NaN
249.0,6.0,25.24609651456487,25.53509370001037,-1.33,2.0,0.008
250.0,6.0,13.447177960781325,25.99620595309849,-1.18,5.0,0.113
251.0,28.0,14.166328741348392,19.51568229635855,1.416,2.0,0.188
252,28.0,21.441591060516,NaN,NaN,1,NaN
253.0,6.0,25.15069367292517,25.66653840864677,-0.233,2.0,0.013
254.0,6.0,27.301212665865613,28.484241313898753,0.127,3.0,0.021
