ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Children_FilterObjects_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Neighbors_AngleBetweenNeighbors_Expanded,Neighbors_FirstClosestDistance_Expanded,Neighbors_FirstClosestObjectNumber_Expanded,Neighbors_NumberOfNeighbors_Expanded,Neighbors_PercentTouching_Expanded,Neighbors_SecondClosestDistance_Expanded,Neighbors_SecondClosestObjectNumber_Expanded,Number_Object_Number,Parent_FilteredNuclei,Parent_Watershed,TrackObjects_Displacement_50,TrackObjects_DistanceTraveled_50,TrackObjects_FinalAge_50,TrackObjects_IntegratedDistance_50,TrackObjects_Label_50,TrackObjects_Lifetime_50,TrackObjects_Linearity_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,TrackObjects_TrajectoryX_50,TrackObjects_TrajectoryY_50
1,1,763,1260,267,220,239,175,250.2267365661861,195.1913499344692,3.3579005632458494,1003,0.6862631863696655,31.1686023528956,1,0.6055555555555555,0.29780512590086033,43.001232281934904,44.181444068749045,6.708203932499369,2.9480740853940106,3.0,27.0,31.277088677673287,-10.758829187920394,179.43250352560273,0.7607178464606181,1,250.2267365661861,195.1913499344692,0,24.274704228593166,31.846341030094237,3,3.0,40.51910598413843,40.5724927199795,2,1,1,1,0.0,0.0,nan,0.0,1.0,1,nan,0.0,0,0.0,0.0
1,2,521,754,268,264,255,206,261.95201535508636,234.03262955854126,3.0580866774643822,632,0.9863747892639317,25.75573339679963,1,0.6909814323607427,0.3270018496758737,66.8398257476433,57.21887800367987,5.0990195135927845,2.555594430722802,2.23606797749979,10.981739358431698,10.996070619849448,2.2623257095173748,141.49747468305833,0.8243670886075949,1,261.95201535508636,234.03262955854126,0,42.84231043088053,17.45352485284237,3,4.0,82.28571428571429,33.85702190710146,4,2,2,2,0.0,0.0,nan,0.0,2.0,1,nan,0.0,0,0.0,0.0
1,3,133,180,251,237,241,219,246.08270676691728,226.7669172932331,1.5335927107755192,150,0.86789360320678,13.013103375051497,1,0.7388888888888889,0.6520636104838502,19.06228568572343,17.46424919657298,4.123105625617661,2.0571231733001443,2.0,9.0,9.469192928124615,4.61748021613787,50.62741699796952,0.8866666666666667,1,246.08270676691728,226.7669172932331,0,107.7543467694855,17.45352485284237,2,4.0,100.0,24.17351765867357,4,3,3,3,0.0,0.0,1.0,0.0,nan,1,nan,0.0,0,0.0,0.0
1,4,344,600,238,266,223,226,229.79651162790697,244.63081395348837,2.094272266636432,397,0.9645174169396665,20.928315827817965,1,0.5733333333333334,0.4774928341127677,41.6664586597847,39.20459156782532,5.0990195135927845,2.5525259596537513,2.23606797749979,10.028338225626795,11.000746222520052,-7.863123001501787,95.14823227814082,0.8664987405541562,1,229.79651162790697,244.63081395348837,0,49.31360457825883,18.350819313530106,6,5.0,92.5,21.860166727057692,5,4,4,4,0.0,0.0,nan,0.0,4.0,1,nan,0.0,0,0.0,0.0
1,5,269,561,251,279,234,246,242.46468401486987,262.4460966542751,2.1657296242315613,322,0.9648589345179169,18.5067943613625,1,0.47950089126559714,0.4617381545744971,36.93366949837188,33.83784863137726,5.0,2.2861485534471018,2.0,9.593655015712706,9.705001552418219,-16.29774317829566,85.56244584051392,0.8354037267080745,1,242.46468401486987,262.4460966542751,0,54.57841145433669,17.075795205912765,6,5.0,100.0,21.860166727057692,4,5,5,5,0.0,0.0,nan,0.0,5.0,1,nan,0.0,0,0.0,0.0
1,6,18,25,228,266,223,261,225.38888888888889,262.44444444444446,0.8709144698358936,19,0.7448792232688547,4.787307364817192,1,0.72,1.1482183780784236,6.009907304266151,5.656854249492381,2.0,1.2126903958192328,1.0,3.5355339059327378,4.009806112310906,52.497539564587996,14.035533905932738,0.9473684210526315,0,225.38888888888889,262.44444444444446,0,76.10798396740448,17.075795205912765,5,2.0,100.0,18.350819313530106,4,6,6,6,0.0,0.0,1.0,0.0,nan,1,nan,0.0,0,0.0,0.0
1,7,436,714,261,309,244,267,252.55504587155963,288.13761467889907,1.945917538310931,488,0.9638774314558439,23.56124872549269,1,0.6106442577030813,0.5138963909375144,46.45363034864913,42.20189569201838,6.082762530298219,2.8777628954727925,2.8284271247461903,12.494323035207154,12.372747821517578,-10.130274249308146,103.25483399593904,0.8934426229508197,1,252.55504587155963,288.13761467889907,0,67.03877966041932,23.18626819771956,8,3.0,56.53742110009017,27.6019836390162,5,7,7,7,0.0,0.0,nan,0.0,nan,1,nan,0.0,0,0.0,0.0
1,8,390,864,242,306,218,270,229.37692307692308,287.5230769230769,1.965823150974607,445,0.959892154307945,22.283703068536735,1,0.4513888888888889,0.5086927577916786,42.6824846904981,39.11521443121589,5.830951894845301,2.7318295741007055,2.8284271247461903,12.074767078498866,11.96686655406137,27.62504939064278,98.1543289325507,0.8764044943820225,1,229.37692307692308,287.5230769230769,0,100.55435441690472,23.18626819771956,7,4.0,54.53752181500872,25.39374379021827,6,8,8,8,0.0,0.0,nan,0.0,8.0,1,nan,0.0,0,0.0,0.0
2,1,248,308,267,199,253,177,259.60483870967744,187.94354838709677,1.2488080786530287,267,0.823227889921619,17.769732893161912,1,0.8051948051948052,0.8007635577426802,23.76816657034058,22.47220505424423,6.324555320336759,2.905368827052224,2.8284271247461903,13.0,13.493450904117086,3.2556526731565767,62.38477631085023,0.9288389513108615,1,259.60483870967744,187.94354838709677,0,72.20248158294713,16.356410546442795,2,2.0,50.259605399792314,22.65979279770198,3,1,1,1,11.852401743269208,11.852401743269208,nan,11.852401743269208,1.0,2,1.0,1.0,1,9.378102143491333,-7.247801547372433
2,2,258,312,251,206,238,182,244.31007751937983,193.74031007751938,1.3762908430188134,281,0.8612642803861142,18.12445316531431,1,0.8269230769230769,0.7265906076992843,25.839818343312157,24.041630560342615,6.082762530298219,2.8417642426115686,2.8284271247461903,12.0,13.130692265580178,1.1106603861872157,66.79898987322333,0.9181494661921709,1,244.31007751937983,193.74031007751938,0,66.39038502574459,16.356410546442795,1,4.0,61.41304347826087,23.546283902505152,3,2,2,2,6.091992362323796,6.091992362323796,nan,6.091992362323796,1.0,2,1.0,1.0,1,-5.916659046806274,-1.4510398569498193
