Channel_img,Count_FilteredNuclei,Count_IdentifySecondaryObjects,Count_Watershed,ExecutionTime_01Images,ExecutionTime_02Metadata,ExecutionTime_03NamesAndTypes,ExecutionTime_04Groups,ExecutionTime_05ColorToGray,ExecutionTime_06CorrectIlluminationCalculate,ExecutionTime_07CorrectIlluminationApply,ExecutionTime_08Threshold,ExecutionTime_09ImageMath,ExecutionTime_10Watershed,ExecutionTime_11IdentifySecondaryObjects,ExecutionTime_12TrackObjects,ExecutionTime_13MeasureObjectSizeShape,ExecutionTime_14MeasureObjectNeighbors,ExecutionTime_15SaveImages,FileName_img,Frame_img,Group_Index,Group_Number,Height_img,ImageNumber,ImageSet_ImageSet,MD5Digest_img,Metadata_FileLocation,Metadata_Frame,Metadata_Series,ModuleError_01Images,ModuleError_02Metadata,ModuleError_03NamesAndTypes,ModuleError_04Groups,ModuleError_05ColorToGray,ModuleError_06CorrectIlluminationCalculate,ModuleError_07CorrectIlluminationApply,ModuleError_08Threshold,ModuleError_09ImageMath,ModuleError_10Watershed,ModuleError_11IdentifySecondaryObjects,ModuleError_12TrackObjects,ModuleError_13MeasureObjectSizeShape,ModuleError_14MeasureObjectNeighbors,ModuleError_15SaveImages,PathName_img,ProcessingStatus,Scaling_img,Series_img,Threshold_FinalThreshold_IdentifySecondaryObjects,Threshold_FinalThreshold_Threshold,Threshold_OrigThreshold_IdentifySecondaryObjects,Threshold_OrigThreshold_Threshold,Threshold_SumOfEntropies_IdentifySecondaryObjects,Threshold_SumOfEntropies_Threshold,Threshold_WeightedVariance_IdentifySecondaryObjects,Threshold_WeightedVariance_Threshold,TrackObjects_LostObjectCount_IdentifySecondaryObjects_50,TrackObjects_MergedObjectCount_IdentifySecondaryObjects_50,TrackObjects_NewObjectCount_IdentifySecondaryObjects_50,TrackObjects_SplitObjectCount_IdentifySecondaryObjects_50,URL_img,Width_img
-2,5.0,5.0,5.0,0.0,0.0,1.109375,0.0,0.125,0.03125,0.0,0.078125,0.0,0.109375,0.203125,0.21875,0.078125,0.09375,0.046875,TestSchnitz-01-p-001.tif,0,1,1,538,1,b'eLtreVRJG03JQzklGxjqlWSmgWs7mN+BgQvyE2Y1CmKAPW9ng6iKglLTqFQbgtwAthlEgyMPyAB7BWclSJNaWQEUc8UFicmp5JoGDCDkKh1qto0+sqANpKLXNbLRh1b5+qi+AQrg8DUoa9gBAI7AJdM=',643c17527d53d5424c2b2d48426dd2ae,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-001.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Administrator\Documents\GitHub\article\CellProfiler\Schnitzcells sample images set\1. Raw Images\1. raw images,Done,65535,0,0.9911707043647766,0.008807019330561161,0.9911707,0.008807019,-13.950035785714661,-13.525744022549743,2.762613798605483e-08,0.00046004067523039573,0,0,5,0,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-001.tif,472
-2,8.0,8.0,8.0,0.0,0.0,0.453125,0.0,0.046875,0.0,0.0,0.15625,0.0,0.296875,0.1875,0.1875,0.078125,0.09375,0.03125,TestSchnitz-01-p-002.tif,0,2,1,538,2,b'eLtreVRJG03JQzklGxjplWSmgWs7mN+BgQvyE2Y1CmKAPW9ng6iKglLTqFQbgtwAthlEgyMPyAB7BWclSJNaWQEUc8UFicmp5JoGDCDkKh1qto0+sqANpKLXNbLRh1b5+qi+AQrg8DUoa9gBAJB4JdQ=',f9b6e3a51986da5faa99172fd4c5a302,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-002.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Administrator\Documents\GitHub\article\CellProfiler\Schnitzcells sample images set\1. Raw Images\1. raw images,Done,65535,0,0.9910888671875,0.008889006450772285,0.99108887,0.008889006,-13.95915934666915,-13.7519394258457,2.844006555872894e-08,0.00046509068142279984,5,0,8,0,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-002.tif,472
-2,11.0,11.0,11.0,0.0,0.0,0.21875,0.0,0.046875,0.0,0.03125,0.125,0.0,0.25,0.203125,0.171875,0.078125,0.109375,0.03125,TestSchnitz-01-p-003.tif,0,3,1,538,3,b'eLtreVRJG03JQzklGxjrlWSmgWs7mN+BgQvyE2Y1CmKAPW9ng6iKglLTqFQbgtwAthlEgyMPyAB7BWclSJNaWQEUc8UFicmp5JoGDCDkKh1qto0+sqANpKLXNbLRh1b5+qi+AQrg8DUoa9gBAJIwJdU=',f35162a3046a88c2f46b571d6529ab68,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-003.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Administrator\Documents\GitHub\article\CellProfiler\Schnitzcells sample images set\1. Raw Images\1. raw images,Done,65535,0,0.9911442995071411,0.00883425958454609,0.9911443,0.00883426,-13.973451484672987,-13.461936892703736,2.9719914783729146e-08,0.00048412157818271005,0,1,0,3,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-003.tif,472
-2,7.0,7.0,7.0,0.0,0.0,0.21875,0.0,0.046875,0.03125,0.0,0.1875,0.0,0.25,0.203125,0.171875,0.0625,0.125,0.03125,TestSchnitz-01-p-004.tif,0,4,1,538,4,b'eLtreVRJG03JQzklG5jolWSmgWs7mN+BgQvyE2Y1CmKAPW9ng6iKglLTqFQbgtwAthlEgyMPyAB7BWclSJNaWQEUc8UFicmp5JoGDCDkKh1qto0+sqANpKLXNbLRh1b5+qi+AQrg8DUoa9gBAJPoJdY=',f86bcd77a012c1af020b4af5b37dd93a,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-004.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Administrator\Documents\GitHub\article\CellProfiler\Schnitzcells sample images set\1. Raw Images\1. raw images,Done,65535,0,0.9911195039749146,0.008859055116772652,0.9911195,0.008859055,-13.991367097971608,-13.215378015800347,3.1212856310019455e-08,0.0005135284375753427,1,3,0,2,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-004.tif,472
-2,9.0,9.0,9.0,0.0,0.0,0.1875,0.0,0.015625,0.015625,0.0,0.078125,0.0,0.125,0.1875,0.1875,0.0625,0.09375,0.03125,TestSchnitz-01-p-005.tif,0,5,1,538,5,b'eLtreVRJG03JQzklG5jqlWSmgWs7mN+BgQvyE2Y1CmKAPW9ng6iKglLTqFQbgtwAthlEgyMPyAB7BWclSJNaWQEUc8UFicmp5JoGDCDkKh1qto0+sqANpKLXNbLRh1b5+qi+AQrg8DUoa9gBAJWgJdc=',e91c7585c6fbaabb08829d363bc73c98,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-005.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Administrator\Documents\GitHub\article\CellProfiler\Schnitzcells sample images set\1. Raw Images\1. raw images,Done,65535,0,0.9911838173866272,0.008794383145868778,0.9911838,0.008794383,-13.997853421108474,-13.54782732439147,3.156304227975823e-08,0.0005281794315689307,0,0,0,3,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-005.tif,472
-2,9.0,9.0,9.0,0.0,0.0,0.234375,0.0,0.03125,0.015625,0.0,0.0625,0.0,0.125,0.1875,0.203125,0.09375,0.125,0.015625,TestSchnitz-01-p-006.tif,0,6,1,538,6,b'eLtreVRJG03JQzklG5jplWSmgWs7mN+BgQvyE2Y1CmKAPW9ng6iKglLTqFQbgtwAthlEgyMPyAB7BWclSJNaWQEUc8UFicmp5JoGDCDkKh1qto0+sqANpKLXNbLRh1b5+qi+AQrg8DUoa9gBAJdYJdg=',6f74c0755ceb67d30298438c1fe77104,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-006.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Administrator\Documents\GitHub\article\CellProfiler\Schnitzcells sample images set\1. Raw Images\1. raw images,Done,65535,0,0.9913650751113892,0.008615059778094292,0.9913651,0.00861506,-14.028262911090353,-13.670502111676178,2.8692184012906425e-08,0.000492583104678858,0,2,0,3,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-006.tif,472
-2,13.0,13.0,13.0,0.0,0.0,0.171875,0.0,0.015625,0.015625,0.0,0.0625,0.0,0.140625,0.1875,0.203125,0.078125,0.109375,0.046875,TestSchnitz-01-p-007.tif,0,7,1,538,7,b'eLtreVRJG03JQzklG5jrlWSmgWs7mN+BgQvyE2Y1CmKAPW9ng6iKglLTqFQbgtwAthlEgyMPyAB7BWclSJNaWQEUc8UFicmp5JoGDCDkKh1qto0+sqANpKLXNbLRh1b5+qi+AQrg8DUoa9gBAJkQJdk=',9377253d32c2ceb6b84a6dd01eeb5091,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-007.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Administrator\Documents\GitHub\article\CellProfiler\Schnitzcells sample images set\1. Raw Images\1. raw images,Done,65535,0,0.9915508031845093,0.008431087248027325,0.9915508,0.008431087,-14.03607616713783,-13.58616847046177,2.62952467047031e-08,0.0004629236669988068,0,0,1,4,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-007.tif,472
-2,32.0,32.0,32.0,0.0,0.0,0.21875,0.0,0.015625,0.015625,0.0,0.078125,0.0,0.109375,0.1875,0.203125,0.125,0.109375,0.03125,TestSchnitz-01-p-008.tif,0,8,1,538,8,b'eLtreVRJG03JQzklG1jolWSmgWs7mN+BgQvyE2Y1CmKAPW9ng6iKglLTqFQbgtwAthlEgyMPyAB7BWclSJNaWQEUc8UFicmp5JoGDCDkKh1qto0+sqANpKLXNbLRh1b5+qi+AQrg8DUoa9gBAJrIJdo=',6d5fe57dfcc946e89e49e63155f8cab3,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-008.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Administrator\Documents\GitHub\article\CellProfiler\Schnitzcells sample images set\1. Raw Images\1. raw images,Done,65535,0,0.9917621612548828,0.008221842348575592,0.99176216,0.008221842,-14.090338219094482,-13.65395360731636,1.9675783429555958e-08,0.00034802728357960863,2,0,14,5,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-008.tif,472
-2,46.0,46.0,46.0,0.0,0.0,0.171875,0.0,0.015625,0.015625,0.0,0.0625,0.0,0.125,0.1875,0.21875,0.140625,0.109375,0.03125,TestSchnitz-01-p-009.tif,0,9,1,538,9,b'eLtreVRJG03JQzklG1jqlWSmgWs7mN+BgQvyE2Y1CmKAPW9ng6iKglLTqFQbgtwAthlEgyMPyAB7BWclSJNaWQEUc8UFicmp5JoGDCDkKh1qto0+sqANpKLXNbLRh1b5+qi+AQrg8DUoa9gBAJyAJds=',8d8d5928ce4e52f07f220c8d1e2cba6a,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-009.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Administrator\Documents\GitHub\article\CellProfiler\Schnitzcells sample images set\1. Raw Images\1. raw images,Done,65535,0,0.9922623634338379,0.007723568938672543,0.99226236,0.007723569,-14.092097439830635,-13.867461380516115,1.390239468005335e-08,0.00026762082537568917,27,1,37,2,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-009.tif,472
-2,48.0,48.0,48.0,0.0,0.0,0.109375,0.0,0.015625,0.015625,0.0,0.0625,0.0,0.15625,0.203125,0.234375,0.140625,0.109375,0.015625,TestSchnitz-01-p-010.tif,0,10,1,538,10,b'eLtreVRJG03JQzolG+iVZKaBazuY34GBC/ITZjUKYoA9b2eDqIqCUtOoVBuC3AC2GUSDIw/IAHsFZyVIk1pZARRzxQWJyankmgYMIOQqHWq2jT6yoA2kotc1stGHVvn6qL4BCuDwNShr2AEAjsEl0w==',ddc680c229acda27de301e94a8909d7d,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-010.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Administrator\Documents\GitHub\article\CellProfiler\Schnitzcells sample images set\1. Raw Images\1. raw images,Done,65535,0,0.9924260973930359,0.007546480745077133,0.9924261,0.0075464807,-14.039930239915233,-13.78636844113794,1.2962117029652095e-08,0.0002646942679452925,44,0,46,0,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-010.tif,472
