ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_IdentifySecondaryObjects
1,1,129.86124401913875,52.483253588516746,0,1,1
1,2,195.44444444444446,58.953216374269005,0,2,2
1,3,329.0967741935484,84.01612903225806,0,3,3
1,4,239.6078431372549,110.86274509803921,0,4,4
1,5,44.38709677419355,136.80645161290323,0,5,5
1,6,46.94488188976378,167.82677165354332,0,6,6
1,7,116.49324324324324,171.77702702702703,0,7,7
1,8,231.7890625,193.3515625,0,8,8
1,9,280.8904109589041,223.65068493150685,0,9,9
1,10,267.39166666666665,253.98333333333332,0,10,10
1,11,283.30172413793105,263.13793103448273,0,11,11
1,12,147.21428571428572,283.0,0,12,12
1,13,123.47368421052632,288.2105263157895,0,13,13
1,14,149.05405405405406,298.1081081081081,0,14,14
1,15,128.27777777777777,297.9166666666667,0,15,15
2,1,126.58974358974359,51.17307692307692,0,1,1
2,2,141.02083333333334,58.145833333333336,0,2,2
2,3,195.22413793103448,59.132183908045974,0,3,3
2,4,328.9476439790576,84.15183246073299,0,4,4
2,5,239.5960591133005,110.94581280788178,0,5,5
2,6,44.193548387096776,136.46774193548387,0,6,6
2,7,46.77165354330709,167.748031496063,0,7,7
2,8,116.29931972789116,172.14285714285714,0,8,8
2,9,231.8203125,193.546875,0,9,9
2,10,280.73825503355704,223.6778523489933,0,10,10
2,11,275.0245901639344,258.5081967213115,0,11,11
2,12,131.51677852348993,286.7046979865772,0,12,12
2,13,148.85294117647058,298.1617647058824,0,13,13
2,14,126.48148148148148,298.25925925925924,0,14,14
3,1,129.73658536585367,52.79024390243902,0,1,1
3,2,195.54597701149424,59.235632183908045,0,2,2
3,3,328.65945945945947,84.41621621621621,0,3,3
3,4,239.54228855721394,111.12437810945273,0,4,4
3,5,44.2520325203252,136.52845528455285,0,5,5
3,6,46.723076923076924,167.93076923076924,0,6,6
3,7,116.13986013986013,172.5944055944056,0,7,7
3,8,231.8780487804878,193.65853658536585,0,8,8
3,9,280.7054794520548,223.62328767123287,0,9,9
3,10,275.07563025210084,258.52941176470586,0,10,10
3,11,131.9857142857143,286.6642857142857,0,11,11
3,12,149.11940298507463,298.1641791044776,0,12,12
4,1,130.19402985074626,53.233830845771145,0,1,1
4,2,195.3216374269006,59.68421052631579,0,2,2
4,3,328.8804347826087,84.625,0,3,3
4,4,239.5929648241206,111.41708542713567,0,4,4
4,5,44.21875,136.578125,0,5,5
4,6,47.06106870229008,168.25954198473283,0,6,6
4,7,116.26618705035972,172.71223021582733,0,7,7
4,8,232.032,193.992,0,8,8
4,9,281.0326797385621,223.9607843137255,0,9,9
4,10,275.17903930131007,258.92576419213975,0,10,10
4,11,146.6909090909091,284.0181818181818,0,11,11
4,12,119.38709677419355,289.4516129032258,0,12,13
4,13,149.03030303030303,298.3484848484849,0,13,14
