CellId,lable,birthLength,AverageLength,AverageVelocity,LifeHistory,GrowthRate
1,3,10.01135877,10.01135877,0.0,1,NaN
2.0,4.0,24.80823326,25.5198658216,0.037,25.0,0.001
3.0,6.0,31.69842963,31.790428273333333,-0.508,3.0,0.004
4.0,8.0,23.33738486,27.68632443714286,0.012,42.0,0.006
5.0,9.0,24.73484847,25.608657805333337,-0.844,15.0,0.003
6.0,10.0,32.94651625,34.80471560411765,0.035,51.0,0.002
7.0,11.0,34.69989876,35.25377099035353,0.007,198.0,-0.0
8.0,12.0,25.58399787,26.450879179199998,-0.113,25.0,0.001
9.0,13.0,20.44687639,21.1222490828,-0.395,25.0,0.001
10.0,14.0,24.86174638,25.444451798846153,-0.576,26.0,0.001
11.0,15.0,35.34143771,36.76215769565217,-0.504,23.0,0.002
12.0,16.0,21.83730524,22.533756428846157,-0.513,26.0,0.009
13.0,17.0,22.38443987,22.89575300807692,-0.049,26.0,-0.0
14.0,18.0,26.44357452,26.84784994111111,-1.096,9.0,0.002
15.0,19.0,17.19481685,17.659682264,-0.412,25.0,0.001
16.0,20.0,40.6773387,40.811859376,-1.277,5.0,0.001
17.0,21.0,21.76850052,22.8725067136,-0.402,25.0,0.002
18.0,22.0,16.32043053,16.0821741672,-0.412,25.0,-0.001
19.0,23.0,27.01658976,27.49095389705882,-0.638,17.0,0.002
20.0,25.0,21.87819945,26.972601260000005,-1.301,4.0,0.114
21,26,30.71041445,30.71041445,0.0,1,NaN
22.0,27.0,23.72161012,23.66486662786232,0.059,276.0,-0.0
23.0,28.0,27.60764649,27.43306735,-0.081,2.0,-0.004
24.0,29.0,16.04574732,18.809430269,-0.53,10.0,0.061
25.0,30.0,16.68974114,17.410972542399996,-0.346,25.0,0.002
26.0,31.0,18.06878964,18.109875651111114,-1.161,9.0,-0.0
27.0,32.0,15.07635006,15.3099717944,-0.338,25.0,-0.002
28.0,33.0,16.86913147,16.8469188,-0.336,25.0,0.001
29.0,34.0,16.50204082,15.263439853548388,-0.423,62.0,-0.001
30.0,35.0,29.11647025,29.642560112,-1.459,5.0,0.004
31.0,37.0,13.91718876,13.304586927599999,-0.467,25.0,-0.004
32,40,29.6850797,29.6850797,0.0,1,NaN
33.0,41.0,30.14675128,29.610544543333333,-0.455,3.0,0.002
34.0,42.0,34.1678469,34.89280573333333,-1.017,6.0,0.003
35.0,11.0,34.32670104,35.25658252451777,0.009,197.0,0.0
36.0,17.0,21.4743582,22.9162055336,-0.051,25.0,0.001
37,26,21.41368988,21.41368988,0.0,1,NaN
38,26,12.77080816,12.77080816,0.0,1,NaN
39.0,27.0,22.32716555,23.664660287890907,0.06,275.0,-0.0
40.0,31.0,17.64327618,18.115011402500002,-1.229,8.0,0.002
41.0,40.0,15.65194774,27.303954343999997,-0.949,5.0,0.086
42,40,13.80332753,13.80332753,0.0,1,NaN
43.0,11.0,34.85914151,35.26132681780612,0.01,196.0,-0.0
44,26,15.49992389,15.49992389,0.0,1,NaN
45,26,31.56066534,31.56066534,0.0,1,NaN
46.0,27.0,23.16980867,23.669541655547444,0.061,274.0,-0.0
47.0,28.0,14.03205214,28.49903908434783,-0.198,23.0,0.022
48,28,12.94517744,12.94517744,0.0,1,NaN
49.0,48.0,10.9236363,10.830022305,0.344,2.0,-0.006
50.0,6.0,15.87057198,31.404639070666665,-0.295,15.0,0.032
51,6,15.67947918,15.67947918,0.0,1,NaN
52.0,11.0,35.49556971,35.2633893065641,0.02,195.0,-0.0
53.0,27.0,24.34958101,23.67137217930403,0.065,273.0,-0.0
54.0,41.0,28.35258526,28.212046500000003,-0.531,7.0,-0.001
55.0,41.0,27.51425466,27.07554134333333,-0.994,6.0,-0.002
56.0,11.0,35.53798211,35.262192500360825,0.024,194.0,-0.0
57,25,45.02115781,45.02115781,0.0,1,NaN
58.0,25.0,16.52970013,16.355062505,-0.863,2.0,-0.007
59.0,27.0,24.67152102,23.6688787644853,0.067,272.0,-0.0
60.0,11.0,34.62969674,35.26076353865285,0.029,193.0,-0.0
61,20,17.97809487,17.97809487,0.0,1,NaN
62.0,20.0,17.72531642,32.94059200333333,-2.531,3.0,0.185
63,25,21.7001156,21.7001156,0.0,1,NaN
64.0,25.0,31.85045475,39.436171523333336,-1.3,3.0,0.068
65.0,27.0,23.28728615,23.665178977564572,0.069,271.0,-0.0
66.0,35.0,15.09814257,25.35686574,-0.537,3.0,0.157
67,35,12.96440885,12.96440885,0.0,1,NaN
68.0,48.0,10.3872583,10.482252975,0.114,2.0,0.006
69.0,11.0,35.61929084,35.26405034489583,0.034,192.0,-0.0
70.0,27.0,24.05737632,23.666578580629626,0.071,270.0,-0.0
71.0,40.0,16.14961416,23.16066515,1.703,2.0,0.208
72,40,13.76133789,13.76133789,0.0,1,NaN
73,42,14.90608517,14.90608517,0.0,1,NaN
74.0,42.0,16.63908877,35.01720600421053,-0.347,19.0,0.027
75.0,11.0,35.47203419,35.26219044701571,0.034,191.0,-0.0
76.0,27.0,24.53089188,23.665125800929367,0.071,269.0,-0.0
77.0,11.0,35.18177637,35.261086006263156,0.035,190.0,-0.0
78.0,20.0,18.1629237,17.98363063,-0.125,2.0,-0.007
79.0,20.0,18.06372111,25.40398307,-2.134,3.0,0.181
80.0,25.0,22.25866256,21.354742245,-0.204,2.0,-0.028
81.0,25.0,32.48008095,34.74597223,-0.866,3.0,0.064
82.0,27.0,23.50563301,23.661895330485073,0.071,268.0,-0.0
83.0,35.0,15.09028161,29.8429486225,-0.039,12.0,0.042
84,35,13.07325547,13.07325547,0.0,1,NaN
85.0,40.0,14.46978279,14.01680913,-0.166,2.0,-0.022
86.0,40.0,15.11002863,27.971860814999996,-0.531,10.0,0.049
87.0,11.0,34.84085357,35.261505633968255,0.036,189.0,-0.0
88,18,12.04569478,12.04569478,0.0,1,NaN
89.0,18.0,14.08358829,26.42541677352941,-0.29,17.0,0.016
90.0,27.0,22.85159189,23.662480582621722,0.073,267.0,-0.0
91,35,16.59058384,16.59058384,0.0,1,NaN
92.0,48.0,10.16294008,10.18232771,-0.203,2.0,0.001
93.0,11.0,36.07194164,35.26374314494681,0.039,188.0,-0.0
94.0,27.0,24.22223999,23.66552903635338,0.074,266.0,-0.0
95.0,29.0,16.94787312,16.78542207833333,0.03,6.0,-0.0
96.0,29.0,18.7853213,21.93247517857143,-0.818,7.0,0.076
97.0,41.0,30.00311951,30.340068789999997,0.459,5.0,0.008
98.0,41.0,27.46131952,27.36590893,-0.07,2.0,-0.002
99.0,11.0,35.68576425,35.25942122786096,0.04,187.0,-0.0
100.0,20.0,18.40006686,18.25099993666667,0.009,3.0,0.001
101.0,20.0,18.02402071,35.645064115714284,-0.389,14.0,0.04
102.0,25.0,28.9422219,38.12749354333334,0.08,3.0,0.087
103,25,21.13171896,21.13171896,0.0,1,NaN
104.0,27.0,24.19229119,23.663428240301887,0.074,265.0,-0.0
105.0,29.0,16.15321453,16.752931869999998,-0.002,5.0,0.006
