lable,NumberOfDivision
12289,0
28673,0
3,0
4,0
2053,2
6,3
6149,0
8,72
9,56
10,46
11,8
12,0
13,0
14,0
15,29
16,0
17,0
18,1
19,0
20,3
21,0
22,0
23,2
26642,0
25,38
26,2
27,0
28,1
29,68
30,0
31,0
32,0
33,0
34,0
35,3
6178,0
37,49
6182,0
26663,0
40,76
41,5
42,1
26667,0
26671,0
48,0
6198,9
8246,0
6200,3
8249,2
12347,0
43067,0
20544,0
36928,0
20546,0
38976,0
26694,0
26696,0
26698,0
30799,0
26705,0
26706,0
36946,0
30805,0
12375,1
20572,0
8285,0
51296,0
26728,0
22633,0
26729,0
10347,0
32876,0
26734,0
12401,0
24690,3
12403,0
26739,0
22645,0
26743,0
26745,4
26746,0
26748,0
26758,0
30856,0
26765,0
16527,0
26773,0
30869,0
26776,0
28825,0
51353,0
26784,0
26794,0
26795,0
49329,0
12468,0
30901,0
26806,0
35000,0
26816,0
43200,0
10435,0
43209,0
51402,0
26829,0
26830,0
24786,0
26834,0
26837,1
30937,0
26843,0
26845,2
26846,0
12511,0
37086,0
26849,1
26850,0
43235,0
51429,1
26855,0
32999,0
51432,0
35052,0
26861,0
33005,0
49390,0
45296,0
26865,0
47349,0
26870,4
24823,0
26872,0
33020,0
47356,0
6399,0
39169,0
28930,0
33034,0
37130,0
51466,0
26898,0
51474,0
41236,0
26909,0
22816,0
37153,0
51488,1
51491,0
51493,1
26918,0
31014,0
26925,0
12590,0
10543,0
26927,0
42801,0
8499,0
51509,0
45368,0
20794,0
8511,0
26948,0
51525,0
26950,0
10567,0
51524,0
2377,27
51536,0
10578,0
10579,0
29010,0
10581,0
35154,0
31058,0
10589,0
10590,0
20831,0
26973,0
32227,0
10598,0
39270,0
51559,0
10604,0
10606,0
43376,0
10610,0
26995,0
51571,0
10614,0
10615,0
51580,0
14717,0
41342,0
39293,0
34270,0
27015,0
51593,0
2442,83
24975,0
29073,0
12693,0
6550,0
18838,0
14745,0
51609,0
39323,0
20896,0
14753,0
47523,0
51626,0
43435,0
25004,0
37296,0
43441,0
10674,0
33206,0
51640,1
43450,0
6590,5
51647,0
8641,0
25033,0
51657,0
47566,0
6609,0
29140,0
45526,0
6615,0
18906,0
8669,0
27104,0
8675,0
12780,0
23028,0
10744,0
39418,0
45569,0
10754,0
18948,0
33285,0
14350,0
49673,0
38367,0
35340,0
23059,0
8731,0
543,16
33320,0
35372,0
18989,0
14895,0
45617,0
8755,1
16950,0
37430,0
14904,0
19001,0
35386,0
37437,0
33342,0
41535,0
41536,0
37441,0
49726,0
19013,0
37447,0
47697,0
37458,0
37461,0
19032,0
37466,1
37468,0
37469,0
37472,0
19041,0
19046,0
35430,0
14952,0
37484,0
19055,0
8816,0
33397,0
47739,0
35453,0
2686,1
51838,0
27269,0
12934,0
37519,0
10899,0
8857,0
37529,0
21150,0
27294,0
21152,0
41642,0
8876,0
2733,2
25263,0
17075,0
41651,0
37557,2
37560,0
37564,0
704,22
8897,0
37577,0
37580,1
41677,0
25294,0
8912,0
33488,0
43732,0
29397,0
51929,1
35546,0
2779,45
8923,0
8925,0
13023,0
41699,0
41700,0
31469,0
37613,0
35570,0
19190,0
41719,0
43766,0
35581,0
37629,1
19200,0
37633,0
21251,0
37638,0
2823,2
37639,0
47881,0
37643,0
17164,0
17165,0
37645,0
43788,0
37648,0
33553,0
37657,0
8986,0
37658,0
33564,0
33573,0
37669,0
41769,0
9005,0
37680,0
33584,0
37684,0
37692,0
31549,0
19262,0
37695,0
19265,0
37703,0
33608,0
37706,0
35660,0
15183,0
31569,0
33618,0
37714,0
39763,0
19286,0
9047,0
13146,0
37727,0
25441,0
19303,0
19306,0
29546,0
37740,0
37742,0
2927,25
9072,0
35696,0
37746,0
15219,0
15220,0
29557,0
9078,0
47995,0
45949,0
13184,0
15232,0
29573,2
26638,0
33671,0
50059,0
11148,4
15244,0
7055,0
50068,0
33685,0
13207,0
39833,0
41882,0
45977,0
37788,0
41886,0
37792,0
39841,0
41888,0
52130,0
37796,0
23462,0
37799,0
37803,0
29612,0
41904,0
15284,0
41908,0
17334,0
41910,0
3002,13
23482,0
39866,0
37821,0
29630,0
39871,0
9152,0
52161,0
17346,0
17351,0
26651,0
29644,0
15309,0
13262,0
19406,0
35792,0
37836,0
37840,0
9173,0
26654,0
39896,0
37850,0
23517,0
29661,0
31711,0
37854,0
33761,0
52189,0
48101,0
35814,0
37862,0
7145,2
37871,1
19441,0
5107,44
25591,0
46071,0
37882,0
52222,0
29696,0
37889,0
35842,0
37890,0
35844,0
9223,0
46088,0
33802,0
35858,0
29717,0
44053,0
46101,0
37914,0
15387,0
48156,0
33821,0
44067,0
15401,0
15403,0
7213,0
29743,0
35887,0
37938,0
27699,0
19513,0
31803,0
15421,0
21565,0
42048,0
37953,0
7238,0
9287,0
50248,0
7243,0
15438,0
15441,0
9301,0
44118,0
35929,0
9308,0
15457,0
37989,0
29798,0
46182,0
31850,0
15468,0
9329,0
9330,0
15475,0
38001,0
29817,3
15483,0
3197,42
19582,0
19584,0
9346,0
9349,0
42118,0
38023,2
9352,0
40071,0
29836,1
17556,0
31892,0
44181,0
38039,0
17560,0
40088,0
27802,0
38043,0
13468,0
19612,0
29856,0
44199,0
21672,0
29865,1
33961,0
52392,0
25773,0
38061,0
23728,0
38065,0
9399,0
13496,1
13502,0
13505,0
17602,0
33986,0
40132,0
38085,0
9415,0
13512,0
21704,0
13514,5
9419,0
38089,0
38094,0
13520,0
31952,0
13522,0
13525,0
34005,0
38101,0
13528,0
38107,0
9441,0
44257,0
11493,0
13541,0
38119,0
52461,0
38131,0
31988,0
46327,0
52472,0
46329,0
13564,0
38140,0
38143,0
7424,0
11521,0
13570,0
21762,0
11524,0
11525,0
38144,0
11527,0
15624,0
13577,0
11530,0
11531,0
13578,0
9485,0
38150,0
13583,0
13589,0
13590,3
13591,0
38166,0
38168,0
38170,0
29983,0
23840,0
11553,0
52513,0
25892,0
13605,0
36132,0
13607,0
38189,0
29999,0
38191,0
11571,0
13620,0
15667,0
11574,1
13622,0
11576,0
38935,0
9530,0
13626,0
34106,0
38205,0
11582,0
13630,0
11584,0
25918,2
32064,0
34114,0
38211,0
38937,0
30023,0
13641,0
13647,0
50515,0
13652,1
40276,0
52564,0
30041,0
32091,0
38237,0
15710,0
30046,0
38238,0
13667,0
32100,0
3429,15
38246,0
11623,0
11627,0
30061,0
38254,0
38256,0
11634,0
32114,0
40307,0
13688,0
13690,0
32123,0
38266,3
30081,0
13698,0
32129,0
30083,0
34178,0
42372,0
30087,0
11657,0
44428,0
30094,0
13712,0
30097,0
42384,0
13715,0
13718,0
23958,0
38296,0
19867,0
11679,0
13728,0
34207,0
34210,0
13731,0
11684,0
38308,1
13734,0
13735,0
38309,0
11689,0
38316,0
11694,0
11696,0
13744,0
11698,0
13746,0
38324,2
38320,0
11704,0
13753,0
11706,0
11707,0
38328,0
44473,0
13758,0
50616,1
26050,0
11715,0
11716,0
13763,0
13768,0
13776,0
38353,0
42450,0
38355,0
13781,0
44501,0
28119,0
49144,0
38361,0
9693,0
11741,0
13789,0
9696,0
13793,0
13790,0
11747,0
13791,0
11749,0
13795,0
13799,0
13800,0
11753,0
15842,0
21994,0
32234,0
34280,0
38377,0
11759,0
11761,0
32242,0
32243,0
11768,0
11770,0
42493,0
11774,0
50685,0
11780,0
11787,0
11789,0
22031,0
42527,0
22048,0
38433,0
28200,0
46632,0
38442,0
38448,0
7733,0
9781,0
44599,0
38462,0
34369,0
38467,0
11850,0
46669,0
7760,0
3666,0
7762,0
7764,0
18005,0
9821,0
50785,0
3686,1
11881,0
42602,0
7792,0
22130,0
40562,0
15990,0
20093,0
44671,0
16006,0
22150,0
28297,0
32395,0
26254,0
28303,0
44694,0
13979,0
16027,0
26269,0
40604,0
26271,0
48797,0
28324,0
51220,0
26281,0
