CellId,lable,birthLength,AverageLength,AverageVelocity,LifeHistory,GrowthRate
1.0,1.0,23.894664554772326,24.296203007193036,0.036,25.0,0.002
2.0,2.0,30.358011846210257,30.441027482994652,-0.508,26.0,-0.008
3.0,3.0,22.493043600435737,23.96851163679532,-0.02,25.0,0.005
4.0,4.0,28.120533640682613,28.540768651110096,-0.448,26.0,-0.007
5.0,5.0,22.52275084450828,20.15928303733277,-0.017,230.0,-0.001
6.0,6.0,33.584880827176875,34.23685697360548,-0.283,25.0,0.001
7.0,7.0,31.29267832551318,31.801549476797188,0.007,6.0,0.001
8.0,8.0,24.91087249039155,25.549721426210123,-0.11,25.0,0.001
9.0,9.0,20.37497616243192,20.91624664265034,-0.395,25.0,0.002
10.0,10.0,23.67383104456554,24.06772566998204,-0.553,26.0,-0.002
11.0,11.0,33.84564345549509,35.04603613832793,-0.77,15.0,0.003
12.0,12.0,21.06638351246812,21.23188989136132,-0.462,25.0,0.0
13.0,13.0,21.697943598059823,21.902569049617455,-0.154,25.0,0.0
14.0,14.0,26.03398517267569,26.041881675701116,-0.424,25.0,0.001
15.0,15.0,19.36248552524708,18.889913090270117,-0.384,25.0,-0.001
16.0,16.0,17.229420140535183,17.84737237724737,-0.275,22.0,0.025
17.0,17.0,22.73589195579133,23.10867080450115,-0.486,20.0,0.001
18.0,18.0,17.5093152558076,16.53698532167123,-0.548,21.0,-0.001
19.0,19.0,16.982713571208595,16.850167684859997,-0.393,25.0,0.0
20.0,20.0,26.2826494255998,26.74497224680418,-0.615,18.0,0.001
21.0,21.0,16.92882254629209,17.096288142385166,-0.502,26.0,-0.004
22.0,22.0,21.626292670282304,22.275908379766857,-0.498,3.0,0.01
23.0,23.0,28.59860905555703,32.96634281649993,-1.398,4.0,0.07
24.0,24.0,23.074322530858684,22.806812198157704,-0.182,25.0,-0.0
25.0,25.0,27.387710016679417,28.730526885381252,-0.405,19.0,0.002
26.0,26.0,15.901245996989278,15.729155125498728,-0.446,25.0,0.001
27.0,27.0,16.05476334247805,18.191241705164096,-0.257,10.0,0.052
28.0,28.0,16.65669408670956,17.114116283799056,-0.441,25.0,0.001
29.0,29.0,14.238378828626985,13.64079507665078,-0.768,9.0,-0.005
30.0,30.0,17.087508935424626,16.51978188679712,-0.313,25.0,-0.001
31.0,31.0,15.765235081686289,16.573977531625424,-0.765,31.0,-0.001
32.0,33.0,34.34854359142679,32.28357821930231,-1.233,3.0,-0.02
33.0,34.0,9.691107995084728,9.610434230319676,-0.567,3.0,0.004
34.0,35.0,9.715159736229282,9.17420653129654,-0.442,3.0,-0.019
35.0,36.0,26.83616212998945,26.79080138279922,-0.47,3.0,0.004
36.0,37.0,26.76052275233213,26.757928076084482,-0.499,3.0,0.001
37.0,38.0,33.231292250836994,34.01645355807869,-0.986,7.0,0.004
38.0,12.0,20.626166033363475,21.23878599048187,-0.451,24.0,0.001
39.0,13.0,20.17085574544248,21.911095110099023,-0.156,24.0,0.002
40.0,19.0,16.69867462500637,16.844644939595472,-0.402,24.0,0.001
41.0,24.0,21.650775898872062,22.79566593429517,-0.176,24.0,0.002
42.0,33.0,33.30659289359326,33.301731931791984,-0.487,16.0,0.001
43.0,33.0,10.535619170145804,10.961724905758606,-0.408,24.0,0.035
44.0,36.0,28.52803395373717,29.1270875512771,-0.278,16.0,0.004
45.0,36.0,26.897518882918845,26.894699719266256,-0.475,15.0,-0.001
46.0,23.0,22.70851113877549,22.93238210284925,-0.238,21.0,0.002
47.0,23.0,30.12622049744039,31.872731916479633,-0.212,21.0,0.003
48.0,42.0,29.783466365685005,29.61839197631768,-0.446,12.0,0.001
49.0,7.0,14.662053770676604,29.65009866543079,0.673,6.0,0.09
50,7.0,15.663676276349268,15.663676276349268,0.0,1,NaN
51.0,38.0,14.850133208108984,14.670582530843348,-0.033,2.0,-0.008
52.0,38.0,15.03641795965935,20.553770518757513,-1.782,3.0,0.169
53.0,27.0,17.300442989519304,17.061111005059573,-0.032,15.0,0.0
54.0,27.0,13.241927369144989,13.819126728367536,-0.011,15.0,0.005
55,38.0,14.525105352520116,14.525105352520116,0.0,1,NaN
56.0,38.0,15.072775249007403,27.794600559894175,-1.747,3.0,0.181
57.0,27.0,16.960377769205422,17.04401586331245,-0.032,14.0,0.001
58,7.0,13.55212424720389,13.55212424720389,0.0,1,NaN
59.0,7.0,15.1140264179479,27.469190902830462,-1.453,3.0,0.18
60.0,38.0,14.825508577015956,14.500049817754112,-0.088,4.0,-0.004
61.0,38.0,14.754915100457149,27.898399555202023,-0.45,12.0,0.047
62.0,7.0,14.631436053330328,31.815555601689333,0.256,10.0,0.057
63,7.0,15.278410514158256,15.278410514158256,0.0,1,NaN
64.0,11.0,15.545617301456344,15.506193630732223,-0.015,10.0,-0.0
65.0,11.0,15.983484818584072,16.345585706402225,0.014,10.0,0.004
66.0,11.0,15.71271776900391,15.501813222873986,0.009,9.0,-0.001
67.0,42.0,15.990923742206505,28.19370513042727,0.794,5.0,0.091
68,42.0,14.80777659117941,14.80777659117941,0.0,1,NaN
69.0,20.0,15.23550772737138,25.462942939752235,0.486,7.0,0.055
70,20.0,11.836110715916732,11.836110715916732,0.0,1,NaN
71,25.0,14.19545460653814,14.19545460653814,0.0,1,NaN
72.0,25.0,13.826652727746009,26.725716522852874,-0.432,6.0,0.083
73.0,33.0,33.82684417734995,34.028359945731744,0.339,2.0,0.004
74,33.0,15.829712048379562,15.829712048379562,0.0,1,NaN
75.0,36.0,31.39182172099722,31.014971304477523,-0.274,7.0,-0.026
76.0,36.0,26.89813548551661,27.090902257908184,0.118,6.0,0.001
77.0,17.0,13.118891586463889,22.203616773264702,0.737,5.0,0.083
