CellId,lable,birthLength,AverageLength,AverageVelocity,LifeHistory,GrowthRate
1.0,1.0,28.3056352,26.371426901818186,0.175,11.0,-0.003
2.0,2.0,58.80235775,60.65395657,0.114,4.0,0.006
3.0,3.0,21.26333347,24.515375241111112,0.103,9.0,0.01
4.0,5.0,15.43342629,35.19508194375,-0.225,8.0,0.047
5.0,6.0,41.29664671,45.643662244285714,0.034,7.0,0.009
6.0,7.0,38.5696719,39.672801575,0.167,2.0,0.009
7.0,7.0,20.18469259,38.134903272500004,0.499,4.0,0.068
8,7,17.73609279,17.73609279,0.0,1,NaN
9.0,2.0,52.71264036,66.695924338,0.375,5.0,0.022
10,2,12.98246299,12.98246299,0.0,1,NaN
11,7,22.65115032,22.65115032,0.0,1,NaN
12.0,7.0,20.40981357,34.779108965,-0.872,2.0,0.146
13.0,6.0,42.7137955,54.107106555,0.305,4.0,0.029
14,6,10.74183464,10.74183464,0.0,1,NaN
15.0,5.0,20.58511062,20.121578895,0.167,2.0,-0.008
16.0,5.0,21.20838343,25.44763709727273,-0.195,11.0,0.012
17.0,7.0,24.72481735,25.2996263,0.297,2.0,0.008
18.0,7.0,22.74049964,53.810274512,-0.423,10.0,0.037
19.0,2.0,35.56706136,59.1113061825,0.783,4.0,0.067
20.0,2.0,19.23558598,21.157480033333332,-0.549,3.0,0.018
21.0,3.0,14.68915107,22.910419365,0.398,2.0,0.125
22,3,12.92273413,12.92273413,0.0,1,NaN
23,1,10.73732341,10.73732341,0.0,1,NaN
24.0,1.0,15.25338636,25.009426775199998,-0.055,25.0,0.006
25.0,3.0,14.18979432,20.069333926000002,0.339,5.0,0.071
26.0,8.0,22.76137323,29.73960155222222,0.195,9.0,0.035
27.0,3.0,16.33730451,17.527681875,0.013,4.0,0.012
28.0,6.0,47.12659953,57.114142785,0.909,2.0,0.059
29,6,16.17825432,16.17825432,0.0,1,NaN
30,2,63.89475502,63.89475502,0.0,1,NaN
31.0,2.0,23.80071711,29.361980708750004,-0.263,8.0,0.012
32.0,6.0,52.0121532,63.22944212,1.073,2.0,0.06
33,6,17.52314411,17.52314411,0.0,1,NaN
34.0,2.0,22.25295394,34.091474846,0.609,5.0,0.055
35.0,2.0,37.28132848,31.906317469999994,-0.808,3.0,-0.058
36,6,57.33052504,57.33052504,0.0,1,NaN
37.0,6.0,17.44878607,20.71493283888889,0.054,9.0,0.013
38.0,3.0,17.0124406,21.850633547857143,-0.025,14.0,0.012
39.0,3.0,18.68222641,29.044883161578948,-0.016,19.0,0.016
40.0,6.0,18.73550891,24.65854571,0.297,7.0,0.046
41.0,6.0,36.7496821,36.28036565,-0.02,4.0,-0.002
