TimeStep,ObjectNumber,Orientation,lable,Center_X,Center_Y,divideFlag,Major_axis,Minor_axis
1,1,-2.909340792,1,256.7977528,173.2191011,False,28.3056352,8.285491365
1,2,6.444092383,2,269.4285714,482.722372,False,58.80235775,9.880017896
1,3,2.205342094,3,432.1489362,681.7021277,False,21.26333347,8.751716682
1,5,-9.172831378,5,515.3333333,704.625,False,15.43342629,7.965440467
1,6,-0.788022357,6,474.1879699,778.5639098,False,41.29664671,9.516186202
1,7,86.10235596,7,437.6883117,797.3463203,False,38.5696719,8.902920284
2,1,-2.551403116,1,259.6024845,172.8136646,False,27.46112279,7.700636202
2,2,6.417700569,2,272.1298343,482.2651934,False,59.44870054,9.854949822
2,3,2.448963429,3,434.8071429,681.5357143,False,21.96992135,8.316500966
2,5,-8.151651407,5,517.8252427,704.2621359,False,17.08868935,7.772260181
2,6,-1.103228907,6,476.9142857,778.225,False,42.50169091,10.03672565
2,7,85.59173055,7,440.4345992,796.978903,True,40.77593125,9.159566704
3,1,-3.757367229,1,259.3151515,172.5151515,False,27.74159262,8.002217237
3,2,6.149035924,2,271.7582697,482.0661578,False,61.30872351,10.4956715
3,3,2.108354168,3,434.7414966,681.3197279,False,23.06033809,8.335994073
3,4,-2.460034171,5,517.8356808,696.0375587,False,36.75198554,7.875282472
3,5,-0.908140831,6,476.75,777.9520548,False,43.90631759,10.0201784
3,6,72.86287569,7,431.0409836,795.9508197,False,20.18469259,7.766330532
3,7,-80.07915407,7,449.8360656,796.9508197,False,17.73609279,8.750364487
4,1,-2.757781574,1,260.566879,172.7324841,False,26.45081498,7.806836951
4,2,6.171722425,2,272.9825436,482.2917706,True,63.05604448,10.91452707
4,3,1.393147123,3,436.0264901,681.4370861,False,23.09487949,8.632814898
4,4,-2.578856185,5,519.0460829,695.9308756,False,38.39619455,7.835854575
4,5,-1.074024689,6,478.0,777.8039867,False,45.24207446,10.19454088
4,6,86.47481689,7,442.0040323,796.5887097,False,42.77725143,9.128824009
5,1,-3.424912231,1,259.9496855,172.2641509,False,26.94026725,7.924703978
5,2,11.4992394,2,272.1820809,476.3786127,False,52.71264036,10.10286991
5,3,-11.82251543,2,272.5,504.3414634,False,12.98246299,8.32450692
5,4,1.835645422,3,435.3597561,681.1097561,False,24.09189163,8.892318112
5,5,-2.455971359,5,518.3463203,695.2510823,False,39.81052332,8.196964259
5,6,-0.998371649,6,477.4433657,777.5307443,False,47.09356836,10.26729771
5,7,86.54096802,7,441.462406,795.9962406,False,44.051983,9.508284456
6,1,-2.779364431,1,262.5705128,172.0192308,False,26.47812467,7.749465344
6,2,6.251500625,2,274.5829493,481.5645161,False,67.03503797,12.28343429
6,3,1.489068644,3,437.9329268,681.0243902,False,25.40186406,8.567117968
6,4,-2.231182105,5,520.7854077,694.9957082,False,42.58730393,7.77615408
6,5,-0.929191056,6,479.9622642,777.2012579,False,49.06632511,10.31215807
6,6,86.47261223,7,443.9444444,795.6888889,True,45.52568607,9.393801849
7,1,-3.093029524,1,261.2214286,171.5785714,False,26.17804755,7.155277046
7,2,6.532386758,2,273.3052392,481.1845103,False,68.45043824,12.83755225
7,3,1.908158239,3,436.8323353,680.6347305,False,26.15075096,8.444062763
7,4,-1.80353684,5,519.5186722,694.2074689,False,44.14970743,7.908261316
7,5,-1.23712312,6,478.6759259,776.654321,True,50.39901257,10.47520692
7,6,76.15846177,7,432.3538462,794.6846154,False,22.65115032,7.417742509
7,7,-80.40503681,7,453.4962963,795.9111111,False,20.40981357,8.432405548
8,1,-3.470559428,1,262.81875,171.175,False,26.5907636,7.963395397
8,2,6.787999359,2,274.908142,480.9665971,False,71.41748734,14.48169527
8,3,2.243702517,3,438.467033,680.3956044,False,27.47598242,8.813049123
8,4,-2.428431131,5,521.1870229,693.5725191,True,47.34282514,8.292238178
8,5,-6.102226578,6,480.0105263,772.2982456,False,42.7137955,10.10339665
8,6,86.17256548,7,444.8788927,794.7716263,True,49.14840436,8.646967596
8,7,26.6992029,6,481.828125,795.15625,False,10.74183464,7.873989289
