lable,NumberOfDivision
1,3
2,17
3,18
4098,0
5,1
6,23
7,19
8,15
4102,0
45058,0
11,2
12,5
10257,0
43025,0
29,0
14374,0
4136,0
14378,0
8236,0
2098,0
34868,0
8245,0
12343,0
56,0
2105,1
2106,0
60,0
61,0
12349,0
12353,0
69,0
71,0
95,0
8288,1
16484,0
101,0
20590,0
113,0
12410,0
34939,0
10364,0
127,0
14466,1
131,0
12419,0
133,0
139,0
140,0
10380,0
16529,0
12434,0
149,0
153,0
2202,0
12443,0
41116,0
2207,0
165,0
2214,0
167,0
14501,0
2219,0
176,0
12476,0
30919,0
16604,0
2272,0
6376,0
6377,0
6379,0
237,0
6394,0
2319,0
6416,0
20753,0
4370,0
6419,0
277,0
278,0
47382,0
18727,0
4399,0
4407,0
2361,0
4413,0
4415,0
4418,0
2375,1
2377,0
6479,0
2385,0
2389,0
2392,0
2398,0
2400,0
2419,0
2420,0
2431,0
4479,0
12677,0
47494,0
391,4
395,0
396,0
398,0
399,0
14735,0
401,0
404,0
407,0
411,1
8615,0
425,0
427,0
47538,0
435,0
12723,0
440,0
443,0
445,0
4543,0
12735,0
6597,0
2502,0
6598,0
6605,0
465,0
2513,0
2514,1
45522,0
10710,0
14807,3
6617,0
474,0
6618,0
476,0
8665,0
480,0
488,0
489,0
14824,0
31208,0
495,0
2544,0
498,0
499,0
2547,0
502,0
14841,0
2558,0
515,0
2564,0
14852,0
2566,0
8710,0
43527,0
47626,0
2578,0
2580,0
21012,0
2582,0
31254,0
536,0
537,0
2585,0
6682,0
6683,0
2590,1
25119,0
550,0
556,0
2629,0
12874,0
6733,0
12890,0
29274,0
2662,0
8806,0
2667,0
12908,0
10861,0
47734,0
41596,0
2688,0
10886,0
2695,0
649,0
37513,0
21132,0
12942,0
656,0
12947,0
2710,1
663,0
666,0
2715,0
2716,0
2719,1
672,0
6818,0
6819,0
674,0
6821,0
2724,0
678,0
6820,0
6824,0
6826,0
10919,0
12963,1
12971,0
23210,0
6831,0
10930,0
6836,0
8885,0
10932,0
27321,0
2749,0
702,0
703,0
43712,0
707,0
41667,0
45769,0
718,0
2767,0
45774,0
725,0
734,0
738,0
10987,0
748,0
753,0
2804,0
10996,0
2814,0
11006,0
6913,0
13058,0
23302,0
6923,0
6926,0
13070,1
785,0
6930,1
15132,0
801,0
23330,0
11043,0
13091,0
4903,0
6953,0
11051,0
813,0
6958,0
13103,0
823,0
6967,0
6974,0
13120,0
6982,1
6985,0
6990,0
9041,0
860,0
13149,0
4958,0
9058,0
875,1
9074,0
4987,0
893,0
9088,0
4996,0
27530,0
21387,0
912,0
11153,0
19349,0
2966,0
919,2
11159,0
39854,0
15296,0
7107,0
9191,0
13289,0
11250,0
9204,0
9206,0
5113,0
9212,0
25597,0
1027,0
5123,1
31747,0
9227,0
1037,0
3091,0
1047,0
1056,0
7202,0
3111,0
11303,0
1067,0
9259,0
25658,0
11329,0
3141,0
1097,0
9301,0
1117,0
9309,0
27748,0
7274,0
3183,0
9342,0
1155,0
1156,0
7300,0
9347,0
7306,0
5261,0
5266,0
5267,0
40088,0
11419,0
9379,0
3238,0
11438,0
36015,0
7345,1
7346,0
5309,0
3262,0
36030,0
9412,0
5318,0
3271,0
9418,0
7373,0
3278,0
1231,0
3283,0
3286,0
1241,0
7391,0
3298,0
3299,0
11497,0
5358,0
31983,0
5360,0
9457,0
13555,0
9460,0
3318,0
19707,0
38139,0
38141,0
5377,0
13569,0
46349,0
7441,0
38161,0
11539,0
15640,0
7449,0
1307,0
7451,0
9511,0
7471,0
7476,0
38197,0
7480,0
9529,0
17720,0
7484,1
17726,1
34114,0
15685,0
7494,0
1353,0
13644,0
7501,0
34129,0
1367,0
