Cell_lable,NumberOfDivision
1,4
2,4
3,7
4,3
5,6
6,24
7,26
8,33
9,8
10,8
11,NaN
12,NaN
13,15
14,4
15,NaN
16,28
17,13
18,2
19,8
20,NaN
21,9
22,10
23,27
24,9
25,13
26,10
27,4
28,16
29,8
30,20
31,10
32,22
33,16
34,NaN
35,8
36,8
37,8
38,8
39,5
40,NaN
41,7
42,NaN
43,13
44,6
45,NaN
46,2
47,12
48,9
49,19
50,9
51,19
52,NaN
53,12
54,NaN
55,6
56,6
57,15
58,16
59,7
60,8
61,4
62,9
63,9
64,9
65,18
66,13
67,8
68,4
69,NaN
70,5
71,13
72,NaN
73,5
74,7
75,4
76,NaN
77,NaN
78,17
79,21
80,NaN
81,9
82,NaN
83,8
84,5
85,7
86,9
87,6
88,8
89,15
90,10
91,4
92,12
93,4
94,10
95,NaN
96,10
97,9
98,13
99,13
100,17
101,15
102,8
103,4
104,9
105,10
106,13
107,8
108,10
109,4
110,24
111,36
112,2
113,4
114,17
115,22
116,18
117,12
118,5
119,19
120,NaN
121,3
122,11
123,NaN
124,7
125,NaN
126,NaN
127,NaN
128,4
129,NaN
130,NaN
131,NaN
132,NaN
133,NaN
134,5
135,NaN
136,NaN
137,NaN
138,3
139,NaN
140,NaN
141,2
142,NaN
143,NaN
144,NaN
145,NaN
146,NaN
147,NaN
148,NaN
149,6
150,NaN
151,NaN
152,2
153,NaN
154,NaN
155,NaN
156,NaN
157,NaN
158,NaN
159,NaN
160,3
161,NaN
162,NaN
163,NaN
164,NaN
165,NaN
166,NaN
167,NaN
168,NaN
169,NaN
170,NaN
171,NaN
172,NaN
173,NaN
174,2
175,NaN
176,NaN
177,3
178,NaN
179,NaN
180,12
181,2
182,NaN
183,NaN
184,NaN
185,NaN
186,NaN
187,NaN
188,4
189,NaN
190,3
191,NaN
192,NaN
193,NaN
194,NaN
195,NaN
196,3
197,NaN
198,NaN
199,NaN
200,3
201,3
202,NaN
203,6
204,4
205,2
206,NaN
207,NaN
208,NaN
209,5
210,2
211,NaN
212,2
213,2
214,NaN
215,NaN
216,NaN
217,NaN
218,NaN
219,2
220,NaN
221,NaN
222,NaN
223,2
224,2
225,NaN
226,NaN
227,NaN
228,NaN
229,3
230,NaN
231,NaN
232,NaN
233,NaN
234,NaN
235,NaN
236,NaN
237,NaN
238,NaN
239,NaN
240,NaN
241,NaN
242,12
243,3
244,NaN
245,2
246,NaN
247,4
248,NaN
249,NaN
250,NaN
251,NaN
252,2
253,NaN
254,NaN
255,2
256,2
257,3
258,NaN
259,NaN
260,7
261,2
262,NaN
263,NaN
264,NaN
265,NaN
266,NaN
267,NaN
268,NaN
269,2
270,NaN
271,NaN
272,NaN
273,NaN
274,NaN
275,2
276,NaN
277,3
278,4
279,3
280,NaN
281,NaN
282,NaN
283,NaN
284,5
285,NaN
286,NaN
287,NaN
288,NaN
289,NaN
290,NaN
291,NaN
292,NaN
293,5
294,NaN
295,NaN
296,NaN
297,NaN
298,NaN
299,NaN
300,2
301,NaN
302,NaN
303,NaN
304,NaN
305,NaN
306,NaN
307,5
308,NaN
309,NaN
310,NaN
311,NaN
312,NaN
313,NaN
314,NaN
315,NaN
316,NaN
317,2
318,NaN
319,NaN
320,NaN
321,NaN
322,NaN
323,NaN
324,NaN
325,NaN
326,NaN
327,NaN
328,NaN
329,NaN
330,NaN
331,NaN
332,NaN
333,NaN
334,NaN
335,NaN
336,NaN
337,NaN
338,NaN
339,NaN
340,NaN
341,NaN
342,NaN
343,NaN
344,NaN
345,NaN
346,NaN
347,NaN
348,NaN
349,2
350,NaN
351,NaN
352,NaN
353,NaN
354,NaN
355,NaN
356,NaN
357,NaN
358,NaN
359,NaN
360,NaN
361,NaN
362,NaN
363,NaN
364,NaN
365,NaN
366,NaN
367,NaN
368,NaN
369,NaN
370,NaN
371,NaN
372,NaN
373,NaN
374,NaN
375,NaN
