StepNumber,NumberOfCells
1,58
2,61
3,58
4,64
5,64
6,66
7,65
8,59
9,62
10,68
11,67
12,73
13,72
14,72
15,79
16,73
17,78
18,74
19,85
20,83
21,84
22,89
23,97
24,95
25,107
26,104
27,105
28,103
29,108
30,106
31,115
32,114
33,118
34,127
35,133
36,130
37,129
38,134
39,135
40,141
41,151
42,161
43,164
44,179
45,175
46,173
47,184
48,187
49,194
50,191
51,198
52,202
53,208
54,227
55,239
56,239
57,251
58,241
59,253
60,272
61,271
62,281
63,292
64,304
65,308
66,336
67,350
68,355
69,370
70,364
71,389
72,387
73,386
74,408
75,425
76,437
77,460
78,485
79,502
80,495
81,524
82,538
83,563
84,597
85,611
86,620
87,636
88,667
89,677
90,698
91,730
92,740
93,758
94,779
95,799
96,819
97,867
98,880
99,918
100,990
101,1009
102,1058
103,1079
104,1096
105,1097
106,1153
107,1199
108,1207
109,1232
110,1301
111,1276
112,1219
