StepNumber,NumberOfCells
1,83
2,83
3,83
4,84
5,82
6,84
7,83
8,84
9,84
10,84
11,84
12,84
13,84
14,84
15,84
16,85
17,85
18,85
19,86
20,86
21,85
22,87
23,87
24,87
25,87
26,86
27,89
28,89
29,89
30,88
31,88
32,88
33,90
34,91
35,91
36,93
37,96
38,95
39,96
40,96
41,97
42,98
43,99
44,99
45,100
46,100
47,101
48,103
49,103
50,103
51,105
52,106
53,109
54,112
55,113
56,116
57,120
58,120
59,120
60,121
61,123
62,123
63,126
64,125
65,126
66,129
67,130
68,135
69,134
70,135
71,137
72,136
73,136
74,137
75,137
76,139
77,140
78,141
79,141
80,141
81,141
82,144
83,145
84,147
85,147
86,148
87,147
88,151
89,155
90,159
91,161
92,162
93,164
94,167
95,166
96,169
97,170
98,174
99,178
100,184
101,189
102,195
103,201
104,210
105,218
106,223
107,226
108,231
109,235
110,236
111,239
112,244
113,247
114,246
115,248
116,250
117,250
118,255
119,259
120,261
121,261
122,268
123,271
124,271
125,277
126,280
127,283
128,285
129,290
130,295
131,297
132,300
133,308
134,311
135,318
136,329
137,337
138,351
139,361
140,367
141,378
142,390
143,404
144,411
145,419
146,429
147,439
148,445
149,452
150,457
151,461
152,467
153,471
154,478
155,485
156,491
157,494
158,499
159,501
160,504
161,517
162,526
163,530
164,534
165,540
166,555
167,563
168,580
169,597
170,613
171,625
172,646
173,674
174,694
175,703
176,720
