Cell_lable,NumberOfDivision
1,8
2,4
3,3
4,NaN
5,8
6,NaN
7,NaN
8,6
9,6
10,4
11,6
12,4
13,8
14,NaN
15,2
16,9
17,6
18,6
19,6
20,8
21,NaN
22,4
23,6
24,4
25,NaN
26,NaN
27,11
28,8
29,8
30,3
31,6
32,2
33,9
34,5
35,4
36,8
37,4
38,3
39,11
40,4
41,3
42,NaN
43,NaN
44,NaN
45,4
46,NaN
47,6
48,4
49,5
50,2
51,2
52,7
53,8
54,8
55,6
56,4
57,4
58,5
59,7
60,5
61,8
62,5
63,8
64,NaN
65,8
66,4
67,NaN
68,15
69,NaN
70,8
71,20
72,3
73,9
74,3
75,NaN
76,7
77,5
78,6
79,NaN
80,6
81,NaN
82,NaN
83,NaN
84,NaN
85,28
86,NaN
87,NaN
88,NaN
89,NaN
90,NaN
91,3
92,NaN
93,NaN
94,NaN
95,NaN
96,NaN
97,NaN
98,NaN
99,NaN
100,NaN
101,2
102,NaN
103,NaN
104,NaN
105,NaN
106,NaN
107,NaN
108,NaN
109,NaN
110,NaN
111,NaN
112,NaN
113,NaN
114,NaN
115,NaN
116,NaN
117,NaN
118,NaN
119,NaN
120,NaN
121,NaN
122,NaN
123,NaN
124,NaN
125,3
126,NaN
127,NaN
128,NaN
129,NaN
130,NaN
131,NaN
132,NaN
