StepNumber,NumberOfCells
1,9
2,9
3,8
4,10
5,10
6,12
7,14
8,16
9,16
10,17
11,15
12,15
13,13
14,13
15,14
16,15
17,18
18,18
19,18
20,19
21,20
22,19
23,18
24,21
25,21
26,28
27,23
28,26
29,32
30,32
31,32
32,33
33,32
34,31
35,36
36,32
37,30
38,36
39,36
40,42
41,42
42,42
43,39
44,39
45,42
46,40
47,43
48,45
49,56
50,50
51,48
52,50
53,51
54,50
55,56
56,56
57,53
58,61
59,62
60,68
61,66
62,71
63,78
64,73
65,76
66,73
67,72
68,84
69,79
70,78
71,85
72,82
73,87
74,94
75,98
76,96
77,103
78,99
79,105
80,112
81,110
82,116
83,114
84,112
85,116
86,115
87,120
88,120
89,127
90,128
91,130
92,131
93,140
94,133
95,131
96,134
97,144
98,144
99,154
100,162
101,157
102,161
103,170
104,161
105,180
106,187
107,191
108,199
109,196
110,198
111,207
112,210
113,212
114,207
115,213
116,219
117,222
118,225
119,233
120,229
121,233
122,238
123,239
124,242
125,250
126,247
127,249
128,258
129,255
130,261
131,267
132,270
133,282
134,285
135,294
136,304
137,302
138,312
139,322
140,330
141,335
142,342
143,356
144,366
145,371
146,380
147,387
148,400
149,407
150,415
151,419
152,426
153,431
154,436
155,454
156,453
157,466
158,466
159,464
160,478
161,479
162,503
163,515
164,518
165,515
166,526
167,530
168,555
169,567
170,583
171,596
172,616
173,617
174,645
175,658
176,680
