StepNumber,NumberOfCells
1,8
2,9
3,9
4,11
5,13
6,14
7,16
8,18
9,19
10,19
11,19
12,20
13,18
14,19
15,20
16,20
17,20
18,25
19,28
20,32
21,36
22,38
23,42
24,43
25,44
26,43
27,44
28,44
29,46
30,51
31,63
32,73
33,77
34,82
35,87
36,87
37,85
38,86
39,86
40,89
41,96
42,102
43,118
44,134
45,149
46,160
47,167
48,175
49,176
50,178
51,179
52,178
53,186
54,198
55,209
56,223
57,232
58,251
59,273
60,287
61,289
62,292
63,293
64,293
65,314
66,330
67,344
68,345
69,366
70,378
71,403
72,428
73,442
74,460
75,470
76,484
77,502
78,528
79,543
80,559
81,570
82,562
83,581
84,584
85,599
86,601
87,613
88,626
89,633
90,644
91,653
92,667
93,665
94,660
95,653
96,643
97,642
98,629
99,627
100,629
101,651
102,659
103,692
104,696
105,693
106,698
107,687
108,692
109,680
110,665
111,643
112,639
113,636
114,641
115,653
116,682
117,700
118,718
119,716
120,711
121,698
122,691
123,671
124,646
125,643
126,634
127,636
128,656
129,680
130,697
131,719
132,741
133,732
134,719
135,718
136,707
137,693
138,668
139,667
140,662
141,673
142,684
143,698
144,717
145,718
146,739
147,755
148,756
149,758
150,749
151,740
152,728
153,715
154,715
155,712
156,702
