Cell_lable,NumberOfDivision
1,NaN
2,NaN
3,140
4,873
5,451
6,199
7,14
8,9
9,2
10,NaN
11,NaN
12,NaN
13,NaN
14,NaN
15,NaN
16,NaN
17,140
18,NaN
19,NaN
20,NaN
21,48
22,NaN
23,NaN
24,151
25,NaN
26,NaN
27,NaN
28,NaN
29,46
30,3
31,NaN
32,7
33,NaN
34,NaN
35,NaN
36,NaN
37,NaN
38,NaN
39,18
40,5
41,NaN
42,NaN
43,NaN
44,NaN
45,NaN
46,NaN
47,NaN
48,NaN
49,3
50,NaN
51,68
52,NaN
53,101
54,NaN
55,NaN
56,NaN
57,2
58,NaN
59,NaN
60,NaN
61,NaN
62,NaN
63,NaN
64,NaN
65,NaN
66,NaN
67,NaN
68,2
69,NaN
70,NaN
71,NaN
72,NaN
73,NaN
74,NaN
75,2
76,NaN
77,15
78,NaN
79,NaN
80,NaN
81,NaN
82,NaN
83,NaN
84,NaN
85,NaN
86,NaN
87,28
88,6
89,NaN
90,NaN
91,NaN
92,NaN
93,2
94,NaN
95,NaN
96,NaN
97,NaN
98,2
99,NaN
100,NaN
101,NaN
102,NaN
103,NaN
104,2
105,2
106,NaN
107,NaN
108,NaN
109,NaN
110,NaN
111,NaN
112,NaN
113,NaN
114,NaN
115,3
116,NaN
117,NaN
118,3
119,NaN
120,NaN
121,NaN
122,2
123,NaN
124,44
125,NaN
126,NaN
127,11
128,NaN
129,NaN
130,NaN
131,NaN
132,NaN
133,NaN
134,NaN
135,NaN
136,NaN
137,8
138,NaN
139,2
140,NaN
141,3
142,NaN
143,NaN
144,5
145,NaN
146,NaN
147,4
148,NaN
149,NaN
150,NaN
151,NaN
152,NaN
153,NaN
154,NaN
155,2
156,NaN
157,3
158,NaN
159,NaN
160,NaN
161,NaN
162,NaN
163,NaN
164,NaN
165,NaN
166,NaN
167,NaN
168,NaN
169,NaN
170,NaN
171,4
172,NaN
173,NaN
174,NaN
175,NaN
176,NaN
177,NaN
178,NaN
179,NaN
180,NaN
181,NaN
182,2
183,4
184,NaN
185,NaN
186,NaN
187,NaN
188,NaN
189,6
190,5
191,NaN
192,NaN
193,NaN
194,NaN
195,NaN
196,NaN
197,NaN
198,3
199,NaN
200,NaN
201,2
202,NaN
203,NaN
204,20
205,NaN
206,NaN
207,NaN
208,NaN
209,NaN
210,NaN
211,3
212,NaN
213,NaN
214,3
215,4
216,NaN
217,NaN
218,NaN
219,NaN
220,3
221,NaN
222,3
223,NaN
224,NaN
225,NaN
226,NaN
227,NaN
228,NaN
229,NaN
230,NaN
231,NaN
232,NaN
233,NaN
234,NaN
235,NaN
236,NaN
237,13
238,NaN
239,2
240,NaN
241,NaN
242,NaN
243,NaN
244,7
245,NaN
246,2
247,NaN
248,3
249,NaN
250,2
251,NaN
252,NaN
253,NaN
254,NaN
255,13
256,NaN
257,NaN
258,2
259,NaN
260,NaN
261,NaN
262,NaN
263,3
264,NaN
265,NaN
266,NaN
267,NaN
268,6
269,NaN
270,NaN
271,4
272,NaN
273,NaN
274,2
275,NaN
276,NaN
277,2
278,NaN
279,NaN
280,NaN
281,NaN
282,NaN
283,NaN
284,2
285,NaN
286,NaN
287,NaN
288,NaN
289,NaN
290,NaN
291,NaN
292,NaN
293,NaN
294,NaN
295,NaN
296,NaN
297,NaN
298,NaN
299,NaN
300,2
301,NaN
302,NaN
303,3
304,8
305,NaN
306,NaN
307,NaN
308,4
309,2
310,NaN
311,NaN
312,NaN
313,2
314,NaN
315,NaN
316,NaN
317,NaN
318,NaN
319,NaN
320,NaN
321,NaN
322,NaN
323,NaN
324,NaN
325,3
326,NaN
327,NaN
328,2
329,NaN
330,NaN
331,NaN
332,2
333,NaN
334,NaN
335,NaN
336,NaN
337,3
338,3
339,NaN
340,NaN
341,NaN
342,NaN
343,4
344,2
345,NaN
346,2
347,NaN
348,2
349,NaN
350,2
351,NaN
352,NaN
353,NaN
354,5
355,NaN
356,4
357,NaN
358,NaN
359,NaN
360,NaN
361,NaN
362,NaN
363,3
364,2
365,NaN
366,NaN
367,NaN
368,NaN
369,NaN
370,NaN
371,NaN
372,NaN
373,NaN
374,NaN
375,NaN
376,NaN
377,NaN
378,NaN
379,NaN
380,NaN
381,NaN
382,NaN
383,2
384,NaN
385,NaN
386,NaN
387,NaN
388,NaN
389,NaN
390,NaN
391,NaN
392,NaN
393,NaN
394,NaN
395,NaN
396,NaN
397,NaN
398,NaN
399,NaN
400,NaN
401,NaN
402,NaN
403,NaN
404,NaN
405,NaN
406,NaN
407,NaN
408,NaN
409,NaN
410,NaN
411,NaN
412,NaN
413,NaN
414,NaN
415,NaN
416,NaN
417,NaN
418,NaN
419,NaN
420,NaN
421,NaN
