Cell_lable,NumberOfDivision
1,171
2,NaN
3,NaN
4,NaN
5,NaN
6,NaN
7,NaN
8,111
9,9
10,11
11,7
12,10
13,NaN
14,NaN
15,NaN
16,NaN
17,NaN
18,NaN
19,NaN
20,NaN
21,11
22,3
23,NaN
24,NaN
25,NaN
26,382
27,NaN
28,NaN
29,NaN
30,NaN
31,12
32,NaN
33,NaN
34,NaN
35,NaN
36,8
37,115
38,157
39,NaN
40,NaN
41,NaN
42,NaN
43,3
44,100
45,129
46,94
47,28
48,NaN
49,NaN
50,NaN
51,NaN
52,NaN
53,NaN
54,NaN
55,7
56,2
57,NaN
58,3
59,10
60,NaN
61,NaN
62,6
63,2
64,NaN
65,NaN
66,NaN
67,NaN
68,3
69,NaN
70,NaN
71,NaN
72,33
73,NaN
74,NaN
75,NaN
76,NaN
77,NaN
78,NaN
79,5
80,NaN
81,NaN
82,7
83,5
84,NaN
85,22
86,12
87,8
88,NaN
89,NaN
90,NaN
91,NaN
92,NaN
93,NaN
94,3
95,NaN
96,50
97,NaN
98,NaN
99,NaN
100,NaN
101,NaN
102,NaN
103,18
104,9
105,5
106,NaN
107,NaN
108,NaN
109,5
110,NaN
111,NaN
112,NaN
113,NaN
114,NaN
115,NaN
116,NaN
117,17
118,NaN
119,2
120,NaN
121,NaN
122,NaN
123,2
124,NaN
125,NaN
126,NaN
127,NaN
128,NaN
129,NaN
130,NaN
131,NaN
132,NaN
133,NaN
134,NaN
135,NaN
136,NaN
137,NaN
138,NaN
139,6
140,8
141,NaN
142,NaN
143,NaN
144,NaN
145,NaN
146,NaN
147,16
148,2
149,4
150,NaN
151,NaN
152,NaN
153,NaN
154,NaN
155,NaN
156,NaN
157,NaN
158,NaN
159,NaN
160,NaN
161,NaN
162,NaN
163,NaN
164,NaN
165,NaN
166,NaN
167,NaN
168,NaN
169,NaN
170,NaN
171,NaN
172,NaN
173,NaN
174,NaN
175,NaN
176,NaN
177,NaN
178,NaN
179,NaN
180,NaN
181,NaN
