CellNumber,GrowthRate,birthLength,LifeHistory,AverageVelocity,AverageLength
1,-0.0858684778213501,17,2,0.105499267578125,15.6587057113647
2,NaN,16,1,0,16
3,NaN,28.6054229736328,1,0,28.6054229736328
4,-0.371417045593262,33.5201416015625,3,8.82068920135498,25.9532928466797
5,-0.0729750916361809,15,7,3.61461091041565,38.86669921875
6,0.0488648414611816,35.2457656860352,7,-0.749101936817169,42.7842216491699
7,NaN,9,1,0,9
8,-0.528026342391968,23,2,3.67460632324219,15.5
9,-0.335076332092285,30.0578670501709,3,-9.79214477539063,32.211311340332
10,-0.412900567054749,20.3293628692627,2,0.051361083984375,14.6156339645386
11,NaN,11.3274154663086,1,0,11.3274154663086
12,0.0864609107375145,24.1104755401611,3,1.40732824802399,36.6557846069336
13,NaN,13,1,0,13
14,0.0135307908058167,19,4,0.672286987304688,29.3186988830566
15,-0.0850211754441261,44.3823928833008,12,2.19335174560547,36.6105842590332
16,0.307796120643616,19,2,0.475540161132813,27.0821475982666
17,0.0520613193511963,32.3013877868652,2,4.90321350097656,34.0737113952637
18,NaN,23.7170829772949,1,0,23.7170829772949
19,NaN,29.1545925140381,1,0,29.1545925140381
20,0.606207489967346,11,2,4.89913940429688,23.9887619018555
21,0.136862993240356,29.3328323364258,2,-1.52391052246094,33.9506225585938
22,-0.024087080731988,41.0478134155273,13,4.81715488433838,44.1492118835449
23,NaN,8,1,0,8
24,NaN,72.0689468383789,1,0,72.0689468383789
25,NaN,7,1,0,7
26,NaN,32.8876876831055,1,0,32.8876876831055
27,NaN,39.3837127685547,1,0,39.3837127685547
28,NaN,22.0707416534424,1,0,22.0707416534424
29,NaN,54.4160842895508,1,0,54.4160842895508
30,NaN,36.0255165100098,1,0,36.0255165100098
31,NaN,9.53514099121094,1,0,9.53514099121094
32,NaN,34.5271377563477,1,0,34.5271377563477
33,NaN,7,1,0,7
34,NaN,38.1999969482422,1,0,38.1999969482422
35,NaN,46.9574317932129,1,0,46.9574317932129
36,-0.186233624815941,46.5823745727539,7,-6.47913026809692,43.1424369812012
37,-0.225251197814941,79.2811660766602,2,7.55111694335938,64.9038391113281
38,NaN,37.947322845459,1,0,37.947322845459
39,-0.438973665237427,26.465518951416,2,3.28271484375,18.732759475708
40,-0.651745915412903,40.5034484863281,2,-10.8854675292969,25.7517242431641
41,-0.0411725752055645,49.3881225585938,10,5.0382080078125,44.5901565551758
42,0.0170230865478516,29.0491542816162,10,-6.17136383056641,35.1459426879883
43,NaN,7,1,0,7
44,-0.295767694711685,17,3,-1.08564245700836,13.6666669845581
45,-0.0699669122695923,42.0774993896484,6,-0.849019348621368,40.6537971496582
46,0.098360113799572,22.3132743835449,9,-6.78012275695801,40.3252639770508
47,0.0369840860366821,19.5027294158936,2,2.45155334472656,20.2513656616211
48,-0.120446920394897,48.6894607543945,4,-4.38003540039063,40.4357681274414
49,0.0682015419006348,30.8665237426758,8,1.93878555297852,38.3397674560547
50,-0.0483242496848106,15.2797441482544,5,-0.0896240249276161,25.2788047790527
51,-0.00466206669807434,41.7161750793457,8,-6.79396057128906,39.9349670410156
52,0.0718322992324829,26.6800384521484,2,-0.321304321289063,28.7410316467285
