CellId,label,birth_length,AverageLength,AverageVelocity,LifeHistory,GrowthRate,AverageOrientation
0,1,30.927085876464844,30.927085876464844,0.0,1,NaN,1.7429871349736594
1,2,26.19384765625,26.19384765625,0.0,1,NaN,1.3258177307567967
2,3,58.406253814697266,58.406253814697266,0.0,1,NaN,1.4730693669075123
3,4,37.26206588745117,37.26206588745117,0.0,1,NaN,1.7681918907414147
4,5,34.0,34.0,0.0,1,NaN,1.5707963267948966
5,6,39.237945556640625,39.237945556640625,0.0,1,NaN,1.7748143068450872
6,7,36.11982727050781,36.11982727050781,0.0,1,NaN,1.6064954394468662
7,8,43.56019973754883,43.56019973754883,0.0,1,NaN,1.7748143234898441
8,9,40.15297317504883,40.15297317504883,0.0,1,NaN,1.6064954394468662
9,10,45.498939514160156,45.498939514160156,0.0,1,NaN,1.7681918907414147
10.0,11.0,43.076080322265625,43.076080322265625,-0.848,2.0,-1.778,1.6041173239783988
11,12,49.995933532714844,49.995933532714844,0.0,1,NaN,1.7483924864591658
12,13,22.0863094329834,22.0863094329834,0.0,1,NaN,1.4601391871829597
13,12,24.0,24.0,0.0,1,NaN,1.5707963267948966
14.0,14.0,26.465518951416016,26.465518951416016,0.224,5.0,1.845,1.7894652714632377
15.0,15.0,21.0,21.0,0.141,4.0,0.5,1.5707963267948966
16,16,29.09295082092285,29.09295082092285,0.0,1,NaN,1.8925468662621197
17.0,17.0,26.159326553344727,26.159326553344727,-1.395,2.0,0.446,1.4876549675656583
18.0,18.0,26.368486404418945,26.368486404418945,-1.775,2.0,0.71,1.4711276561567357
19.0,19.0,30.332664489746094,30.332664489746094,-1.895,2.0,0.506,1.5042280853453305
20.0,20.0,32.37306594848633,32.37306594848633,-0.386,3.0,3.282,1.4464413512741916
21.0,14.0,36.24178695678711,36.24178695678711,0.243,2.0,0.21,1.6332151385619023
22,20,23.523435592651367,23.523435592651367,0.0,1,NaN,1.7506498317333874
23.0,14.0,19.0,19.0,-0.206,2.0,0.188,1.5707963267948966
24.0,21.0,45.59669494628906,45.59669494628906,-0.078,2.0,0.194,1.8157750060567805
25.0,20.0,28.63211441040039,28.63211441040039,-0.049,4.0,0.435,1.7975951699019501
26,22,26.671794891357422,26.671794891357422,0.0,1,NaN,1.7681918907414147
27.0,23.0,24.733034133911133,24.733034133911133,-0.698,2.0,3.1,1.8370484034233607
28.0,24.0,24.110475540161133,24.110475540161133,-0.099,5.0,0.453,1.92956700252212
29,25,66.97594451904297,66.97594451904297,0.0,1,NaN,1.8259787246810943
30.0,23.0,29.589345932006836,29.589345932006836,0.499,3.0,0.371,1.8157750060567805
31,25,27.820484161376953,27.820484161376953,0.0,1,NaN,1.9890207089880805
32,23,14.512594223022461,14.512594223022461,0.0,1,NaN,1.7681918907414147
33,25,34.01460266113281,34.01460266113281,0.0,1,NaN,1.997423814465121
34,26,41.605552673339844,41.605552673339844,0.0,1,NaN,1.9576720405855124
35,12,25.293720245361328,25.293720245361328,0.0,1,NaN,1.8736811662580528
36.0,14.0,43.62809371948242,29.589345932006836,-0.052,5.0,0.826,1.8157750060567805
37.0,20.0,20.0,77.59319305419922,0.954,2.0,2.511,1.6628431801960621
38.0,20.0,24.29450225830078,81.60063171386719,0.314,5.0,0.438,1.674896264460354
39.0,14.0,23.645538330078125,38.34547805786133,0.093,7.0,0.476,1.6295521518972016
40.0,23.0,30.80522918701172,55.729705810546875,0.009,2.0,0.049,1.779819268705457
41,23,18.012447357177734,30.80522918701172,0.0,1,NaN,1.8063413238169066
42.0,25.0,45.084503173828125,45.084503173828125,0.32,2.0,3.362,1.8076450909733117
43,25,55.53043746948242,78.70759582519531,0.0,1,NaN,1.8490959782731475
