StepNumber,NumberOfCells
1,46
2,46
3,45
4,46
5,48
6,47
7,48
8,48
9,48
10,47
11,49
12,50
13,50
14,50
15,49
16,49
17,50
18,50
19,50
20,50
21,49
22,50
23,50
24,50
25,50
26,16
27,50
28,50
29,50
30,50
31,51
32,53
33,53
34,53
35,53
36,53
37,52
38,52
39,52
40,52
41,52
42,52
43,53
44,54
45,52
46,52
47,52
48,52
49,52
50,52
51,52
52,52
53,52
54,52
55,56
56,55
57,56
58,56
59,56
60,56
61,56
62,56
63,56
64,56
65,56
66,56
67,56
68,55
69,55
70,56
71,56
72,56
73,57
74,57
75,58
76,60
77,60
78,60
79,61
80,63
81,64
82,63
83,64
84,64
85,65
86,66
87,66
88,67
89,67
90,67
91,66
92,65
93,66
94,67
95,69
96,70
97,72
98,71
99,74
100,74
101,73
102,76
103,79
104,79
105,83
106,83
107,82
108,83
109,85
110,87
111,87
112,90
113,92
114,91
115,92
116,91
117,92
118,92
119,92
120,93
121,93
122,93
123,96
124,98
125,100
126,100
127,103
128,108
129,111
130,113
131,114
132,119
133,121
134,122
135,125
136,127
137,129
138,133
139,135
140,135
141,138
142,138
143,141
144,138
145,142
146,144
147,147
148,150
149,152
150,155
151,157
152,161
153,168
154,178
155,182
156,188
157,195
158,198
159,203
160,212
161,213
162,220
163,223
164,230
165,236
166,238
167,240
168,239
169,238
170,238
171,242
172,244
173,245
174,248
175,253
176,266
177,272
178,278
179,289
180,304
181,310
182,319
183,330
184,343
185,351
186,365
187,380
188,383
189,391
190,398
191,400
192,400
193,399
194,411
195,409
196,413
197,411
198,423
199,421
200,431
201,440
202,451
203,464
204,475
205,487
206,509
207,523
208,546
209,573
210,588
211,611
212,625
213,646
214,648
215,662
216,663
217,667
218,686
219,687
220,694
221,696
222,705
223,712
224,715
225,733
226,735
227,731
228,769
229,792
230,800
231,849
232,855
233,886
234,913
235,931
236,962
237,981
238,1019
239,1036
240,1032
241,1034
242,1062
243,1051
244,1062
245,1074
246,1080
247,1095
248,1098
249,1107
250,1137
251,1122
252,1158
253,1152
254,1149
255,1216
256,1128
257,1247
258,1311
259,1349
260,1332
261,1331
262,1383
263,1407
264,1456
265,1497
266,1517
267,1519
268,1546
269,1558
270,1551
271,1553
272,1541
273,1565
274,1570
275,1622
276,1624
277,1601
278,1643
279,1657
