Cell_lable,NumberOfDivision
1,NaN
2,NaN
3,NaN
4,178
5,NaN
6,NaN
7,NaN
8,NaN
9,NaN
10,NaN
11,NaN
12,NaN
13,3
14,NaN
15,NaN
16,NaN
17,NaN
18,324
19,NaN
20,NaN
21,NaN
22,NaN
23,NaN
24,NaN
25,NaN
26,NaN
27,NaN
28,NaN
29,NaN
30,45
31,25
32,NaN
33,NaN
34,NaN
35,NaN
36,NaN
37,NaN
38,NaN
39,NaN
40,NaN
41,26
42,NaN
43,NaN
44,NaN
45,NaN
46,NaN
47,NaN
48,NaN
49,NaN
50,NaN
51,NaN
52,135
53,210
54,NaN
55,NaN
56,NaN
57,NaN
58,NaN
59,NaN
60,9
61,240
62,NaN
63,NaN
64,NaN
65,NaN
66,NaN
67,35
68,NaN
69,41
70,NaN
71,14
72,NaN
73,45
74,81
75,44
76,NaN
77,NaN
78,4
79,105
80,213
81,NaN
82,NaN
83,9
84,23
85,28
86,291
87,NaN
88,NaN
89,NaN
90,NaN
91,NaN
92,NaN
93,NaN
94,NaN
95,NaN
96,NaN
97,NaN
98,NaN
99,NaN
100,NaN
101,NaN
102,NaN
103,NaN
104,NaN
105,NaN
106,NaN
107,NaN
108,NaN
109,NaN
110,2
111,NaN
112,NaN
113,9
114,20
115,NaN
116,NaN
117,NaN
118,NaN
119,NaN
120,NaN
121,NaN
122,18
123,NaN
124,NaN
125,NaN
126,NaN
127,NaN
128,NaN
129,NaN
130,7
131,NaN
132,NaN
133,NaN
134,3
135,NaN
136,NaN
137,2
138,NaN
139,NaN
140,NaN
141,NaN
142,6
143,NaN
144,15
145,5
146,11
147,NaN
148,10
149,NaN
150,10
151,NaN
152,NaN
153,NaN
154,NaN
155,NaN
156,NaN
157,NaN
158,NaN
159,NaN
160,NaN
161,NaN
162,NaN
163,NaN
164,NaN
165,NaN
166,NaN
167,NaN
168,5
169,NaN
170,NaN
171,NaN
172,2
173,NaN
174,NaN
175,NaN
176,4
177,NaN
178,NaN
179,NaN
180,NaN
181,NaN
182,NaN
183,NaN
184,4
185,NaN
186,NaN
187,NaN
188,NaN
189,NaN
190,NaN
191,NaN
192,NaN
193,2
194,NaN
195,NaN
196,NaN
197,NaN
198,15
199,NaN
200,4
201,2
202,NaN
203,2
204,NaN
205,2
206,NaN
207,NaN
208,6
209,NaN
210,NaN
211,3
212,NaN
213,NaN
214,NaN
215,NaN
216,NaN
217,NaN
218,NaN
219,NaN
220,NaN
221,NaN
222,3
223,NaN
224,NaN
225,NaN
226,NaN
227,NaN
228,3
229,NaN
230,NaN
231,NaN
232,NaN
233,NaN
234,NaN
235,NaN
236,NaN
237,NaN
238,3
239,NaN
240,NaN
241,4
242,NaN
243,6
244,NaN
245,NaN
246,NaN
247,NaN
248,2
249,2
250,NaN
251,NaN
252,2
253,6
254,NaN
255,NaN
256,5
257,NaN
258,NaN
259,NaN
260,NaN
261,NaN
262,4
263,NaN
264,NaN
265,NaN
266,NaN
267,NaN
268,NaN
269,16
270,4
271,6
272,NaN
273,NaN
274,NaN
275,3
276,NaN
277,NaN
278,6
279,NaN
280,9
281,NaN
282,NaN
283,18
284,NaN
285,4
286,2
287,NaN
288,NaN
289,NaN
290,NaN
291,NaN
292,NaN
293,2
294,NaN
295,NaN
296,NaN
297,NaN
298,NaN
299,2
300,NaN
301,NaN
302,NaN
303,4
304,4
305,NaN
306,3
307,11
308,9
309,5
310,4
311,6
312,NaN
313,NaN
314,NaN
315,NaN
316,NaN
317,NaN
318,NaN
319,NaN
320,2
321,NaN
322,NaN
323,NaN
324,7
325,3
326,NaN
327,4
328,NaN
329,NaN
330,NaN
331,NaN
332,NaN
333,NaN
334,2
335,NaN
336,NaN
337,NaN
338,NaN
339,NaN
340,NaN
341,NaN
342,NaN
343,NaN
344,NaN
345,NaN
346,NaN
347,NaN
348,NaN
349,NaN
350,NaN
351,NaN
352,6
353,NaN
354,NaN
355,NaN
356,NaN
357,NaN
358,2
359,NaN
360,NaN
361,NaN
362,NaN
363,NaN
364,NaN
365,NaN
366,NaN
367,NaN
368,NaN
369,NaN
370,NaN
371,8
372,NaN
373,NaN
374,NaN
375,NaN
376,NaN
377,8
378,NaN
379,NaN
380,NaN
381,NaN
382,NaN
383,NaN
384,5
385,NaN
386,5
387,NaN
388,23
389,NaN
390,NaN
391,NaN
392,6
393,NaN
394,NaN
395,NaN
396,NaN
397,NaN
398,NaN
399,NaN
400,NaN
401,NaN
402,NaN
403,NaN
404,NaN
405,NaN
406,7
407,NaN
408,NaN
409,NaN
410,NaN
411,NaN
412,NaN
413,2
414,NaN
415,NaN
416,2
417,NaN
418,NaN
419,NaN
420,NaN
421,NaN
422,NaN
423,4
424,NaN
425,NaN
426,NaN
427,2
428,NaN
429,NaN
430,NaN
431,NaN
432,NaN
433,NaN
434,NaN
435,NaN
436,NaN
437,NaN
438,3
439,NaN
440,NaN
441,4
442,NaN
443,NaN
444,NaN
445,NaN
446,NaN
447,NaN
448,NaN
449,2
450,NaN
451,NaN
452,NaN
453,NaN
454,NaN
455,NaN
456,NaN
457,NaN
458,NaN
459,4
460,NaN
461,NaN
462,NaN
463,NaN
464,NaN
465,NaN
466,NaN
467,2
468,NaN
469,NaN
470,NaN
471,2
472,NaN
473,NaN
474,NaN
475,NaN
476,NaN
477,NaN
478,NaN
479,NaN
480,NaN
481,NaN
482,NaN
483,NaN
484,5
485,2
486,NaN
487,NaN
488,NaN
489,NaN
490,NaN
491,NaN
492,12
493,NaN
494,NaN
495,NaN
496,NaN
497,NaN
498,6
499,NaN
500,NaN
501,NaN
502,2
503,NaN
504,NaN
505,NaN
506,2
507,NaN
508,4
509,NaN
510,30
511,NaN
512,NaN
513,NaN
514,NaN
515,2
516,NaN
517,NaN
518,NaN
519,6
520,NaN
521,NaN
522,NaN
523,2
524,4
525,NaN
526,NaN
527,NaN
528,NaN
529,NaN
530,2
531,2
532,NaN
533,3
534,NaN
535,NaN
536,2
537,NaN
538,NaN
539,NaN
540,NaN
541,NaN
542,NaN
543,NaN
544,5
545,NaN
546,NaN
547,NaN
548,17
549,NaN
550,NaN
551,NaN
552,NaN
553,NaN
554,NaN
555,NaN
556,NaN
557,NaN
558,NaN
559,NaN
560,NaN
561,NaN
562,4
563,3
564,NaN
565,NaN
566,NaN
567,NaN
568,14
569,NaN
570,NaN
571,NaN
572,8
573,NaN
574,NaN
575,NaN
576,3
577,NaN
578,3
579,NaN
580,NaN
581,NaN
582,2
583,NaN
584,NaN
585,NaN
586,NaN
587,NaN
588,2
589,NaN
590,4
591,NaN
592,NaN
593,NaN
594,NaN
595,NaN
596,NaN
597,NaN
598,NaN
599,NaN
600,4
601,NaN
602,NaN
603,NaN
604,NaN
605,2
606,NaN
607,NaN
608,4
609,NaN
610,NaN
611,NaN
612,NaN
613,NaN
614,2
615,NaN
616,NaN
617,NaN
618,NaN
619,NaN
620,2
621,2
622,NaN
623,NaN
624,3
625,2
626,NaN
627,NaN
628,2
629,NaN
630,NaN
631,5
632,NaN
633,NaN
634,NaN
635,NaN
636,NaN
637,NaN
638,3
639,NaN
640,NaN
641,NaN
642,NaN
643,NaN
644,NaN
645,NaN
646,NaN
647,NaN
648,3
649,NaN
650,NaN
651,NaN
652,NaN
653,NaN
654,2
655,NaN
656,NaN
657,NaN
658,NaN
659,NaN
660,NaN
661,NaN
662,NaN
663,NaN
664,NaN
665,NaN
666,NaN
667,NaN
668,NaN
669,NaN
670,NaN
671,NaN
672,6
673,NaN
674,NaN
675,NaN
676,NaN
677,NaN
678,NaN
679,2
680,NaN
681,NaN
682,NaN
683,NaN
684,NaN
685,NaN
686,NaN
687,NaN
688,NaN
689,NaN
690,NaN
691,NaN
692,6
693,NaN
694,5
695,NaN
696,NaN
697,NaN
698,NaN
699,NaN
700,NaN
701,2
702,NaN
703,8
704,NaN
705,NaN
706,4
707,NaN
708,NaN
709,3
710,3
711,NaN
712,NaN
713,NaN
714,2
715,NaN
716,NaN
717,NaN
718,NaN
719,NaN
720,NaN
721,NaN
722,NaN
723,15
724,2
725,NaN
726,NaN
727,NaN
728,NaN
729,NaN
730,NaN
731,NaN
732,NaN
733,NaN
734,NaN
735,NaN
736,4
737,NaN
738,NaN
739,NaN
740,NaN
741,NaN
742,NaN
743,NaN
744,NaN
745,NaN
746,NaN
747,NaN
748,NaN
749,NaN
750,NaN
751,NaN
752,NaN
753,NaN
754,NaN
755,NaN
756,NaN
757,NaN
758,3
759,NaN
760,NaN
761,NaN
762,NaN
763,NaN
764,NaN
765,2
766,NaN
767,NaN
768,NaN
769,2
770,2
771,2
772,NaN
773,NaN
774,NaN
775,NaN
776,NaN
777,NaN
778,NaN
779,NaN
780,NaN
781,NaN
782,NaN
783,2
784,NaN
785,NaN
786,NaN
787,NaN
788,NaN
789,NaN
790,NaN
791,NaN
792,NaN
793,NaN
794,NaN
795,NaN
796,2
797,NaN
798,NaN
799,NaN
800,NaN
801,4
802,NaN
803,NaN
804,2
805,NaN
806,NaN
807,NaN
808,NaN
809,NaN
810,4
811,NaN
812,NaN
813,NaN
814,NaN
815,NaN
816,NaN
817,NaN
818,NaN
819,NaN
820,NaN
821,NaN
822,NaN
823,2
824,NaN
825,NaN
826,NaN
827,NaN
828,NaN
829,NaN
830,NaN
831,NaN
832,NaN
833,3
834,NaN
835,NaN
836,NaN
837,NaN
838,NaN
839,NaN
840,3
841,NaN
842,NaN
843,5
844,NaN
845,NaN
846,NaN
847,NaN
848,2
849,NaN
850,NaN
851,NaN
852,NaN
853,3
854,NaN
855,NaN
856,NaN
857,NaN
858,NaN
859,NaN
860,NaN
861,NaN
862,NaN
863,3
864,NaN
865,NaN
866,NaN
867,NaN
868,NaN
869,2
870,NaN
871,NaN
872,NaN
873,NaN
874,NaN
875,NaN
876,NaN
877,3
878,NaN
879,NaN
880,NaN
881,NaN
882,NaN
883,NaN
884,NaN
885,NaN
886,NaN
887,NaN
888,NaN
889,NaN
890,3
891,NaN
892,NaN
893,NaN
894,NaN
895,NaN
896,NaN
897,NaN
898,NaN
899,NaN
900,NaN
901,NaN
902,NaN
903,NaN
904,5
905,NaN
906,NaN
907,NaN
908,NaN
909,NaN
910,NaN
911,NaN
912,NaN
913,NaN
914,NaN
915,NaN
916,NaN
917,NaN
918,NaN
919,NaN
920,NaN
921,NaN
922,NaN
923,NaN
924,NaN
925,NaN
926,NaN
927,NaN
928,NaN
929,NaN
930,NaN
931,NaN
932,NaN
933,NaN
934,NaN
935,NaN
936,NaN
937,NaN
938,NaN
939,NaN
940,NaN
941,NaN
942,NaN
943,NaN
944,NaN
945,2
946,NaN
947,NaN
948,2
949,NaN
950,NaN
951,NaN
952,NaN
953,NaN
954,NaN
955,NaN
956,NaN
957,NaN
958,2
959,NaN
960,NaN
961,NaN
962,NaN
963,NaN
964,NaN
965,NaN
966,NaN
967,NaN
968,NaN
969,NaN
970,NaN
971,NaN
972,NaN
973,NaN
974,NaN
975,NaN
976,NaN
977,NaN
978,NaN
979,NaN
980,NaN
981,NaN
982,NaN
983,NaN
984,NaN
985,NaN
986,NaN
987,NaN
988,NaN
989,NaN
990,2
991,NaN
992,2
993,NaN
994,NaN
995,NaN
996,NaN
997,NaN
998,NaN
999,NaN
1000,2
1001,NaN
1002,NaN
1003,NaN
1004,NaN
1005,NaN
1006,NaN
1007,NaN
1008,NaN
1009,2
1010,NaN
1011,NaN
1012,NaN
1013,NaN
1014,NaN
1015,NaN
1016,NaN
1017,NaN
1018,NaN
1019,NaN
1020,NaN
1021,NaN
1022,2
1023,NaN
1024,NaN
1025,NaN
1026,NaN
1027,NaN
1028,NaN
1029,NaN
1030,NaN
1031,NaN
1032,NaN
1033,NaN
1034,NaN
1035,NaN
1036,NaN
1037,NaN
1038,NaN
1039,NaN
1040,NaN
1041,NaN
1042,NaN
1043,NaN
1044,2
1045,2
1046,NaN
1047,NaN
1048,NaN
1049,NaN
1050,NaN
1051,2
1052,2
1053,2
1054,NaN
1055,NaN
1056,NaN
1057,NaN
1058,NaN
1059,NaN
1060,NaN
1061,NaN
1062,NaN
1063,NaN
1064,NaN
1065,NaN
1066,NaN
1067,NaN
1068,NaN
1069,NaN
1070,NaN
1071,NaN
1072,NaN
1073,NaN
1074,NaN
1075,NaN
1076,NaN
1077,NaN
1078,NaN
1079,NaN
1080,NaN
1081,NaN
1082,NaN
1083,NaN
1084,NaN
1085,NaN
1086,NaN
1087,NaN
1088,NaN
1089,NaN
1090,NaN
1091,NaN
1092,NaN
1093,2
1094,NaN
1095,NaN
1096,NaN
1097,NaN
1098,NaN
1099,NaN
1100,NaN
1101,NaN
1102,NaN
1103,NaN
1104,NaN
1105,NaN
1106,NaN
1107,NaN
1108,NaN
1109,NaN
1110,NaN
1111,NaN
1112,NaN
1113,NaN
1114,NaN
1115,NaN
1116,NaN
1117,NaN
1118,3
1119,NaN
1120,NaN
1121,NaN
1122,NaN
1123,NaN
1124,NaN
1125,NaN
1126,NaN
1127,NaN
1128,NaN
1129,NaN
1130,NaN
1131,NaN
1132,NaN
1133,NaN
1134,NaN
1135,2
1136,NaN
1137,NaN
1138,NaN
1139,NaN
1140,2
1141,NaN
1142,NaN
1143,NaN
1144,NaN
1145,NaN
1146,NaN
1147,NaN
1148,NaN
1149,NaN
1150,NaN
1151,NaN
1152,NaN
1153,NaN
1154,NaN
1155,NaN
1156,NaN
1157,NaN
1158,NaN
1159,NaN
1160,NaN
1161,NaN
1162,NaN
1163,2
1164,NaN
1165,NaN
1166,NaN
1167,NaN
1168,NaN
1169,NaN
1170,NaN
1171,NaN
1172,NaN
1173,NaN
1174,NaN
1175,NaN
1176,NaN
1177,NaN
1178,NaN
1179,NaN
1180,NaN
1181,NaN
1182,NaN
1183,NaN
1184,NaN
1185,NaN
1186,NaN
1187,NaN
1188,NaN
1189,NaN
1190,NaN
1191,NaN
1192,NaN
1193,NaN
1194,NaN
