StepNumber,NumberOfCells
1,12
2,7
3,10
4,12
5,13
6,11
7,13
8,12
9,11
10,5
11,11
12,11
13,9
14,9
15,9
16,11
17,9
18,10
19,8
20,11
21,10
22,10
23,9
24,11
25,7
26,0
27,11
28,4
29,11
30,8
31,8
32,7
33,10
34,9
35,7
36,11
37,8
38,7
39,8
40,11
41,7
42,8
43,9
44,8
45,9
46,12
47,12
48,15
49,18
50,16
51,12
52,11
53,10
54,14
55,19
56,16
57,17
58,21
59,22
60,22
61,25
62,22
63,24
64,25
65,20
66,21
67,22
68,23
69,21
70,22
71,23
72,24
73,26
74,24
75,27
76,23
77,26
78,31
79,26
80,27
81,29
82,31
83,32
84,34
85,33
86,33
87,32
88,36
89,36
90,36
91,37
92,41
93,41
94,39
95,43
96,42
97,43
98,38
99,41
100,44
101,40
102,41
103,46
104,47
105,50
106,46
107,50
108,49
109,53
110,56
111,56
112,56
113,62
114,62
115,64
116,67
117,66
118,61
119,65
120,65
121,65
122,65
123,60
124,68
125,69
126,69
127,69
128,68
129,72
130,73
131,76
132,79
133,83
134,82
135,85
136,90
137,99
138,100
139,84
140,97
141,103
142,105
143,116
144,113
145,110
146,114
147,111
148,116
149,114
150,117
151,115
152,114
153,119
154,129
155,137
156,143
157,137
158,148
159,145
160,156
161,163
162,169
163,178
164,175
165,183
166,180
167,181
168,198
169,187
170,188
171,191
172,196
173,201
174,205
175,205
176,208
177,215
178,227
179,221
180,229
181,223
182,227
183,230
184,243
185,247
186,228
187,248
188,244
189,242
190,261
191,235
192,260
193,252
194,257
195,265
196,274
197,279
198,331
199,316
200,294
201,318
202,289
203,301
204,303
205,301
206,310
207,298
208,320
209,366
210,299
211,298
212,289
213,294
214,309
215,281
216,274
217,293
218,299
219,305
220,410
221,326
222,355
223,364
224,327
225,348
226,320
227,310
228,332
229,334
230,154
231,279
232,165
233,199
234,170
235,172
236,168
237,163
238,156
239,170
240,165
241,175
242,233
243,169
244,165
245,174
246,192
247,189
248,182
249,184
250,207
251,233
252,235
253,259
254,195
255,233
256,138
257,228
258,243
259,244
260,214
261,208
262,217
263,228
264,353
265,274
266,274
267,236
268,255
269,260
270,272
271,258
272,241
273,233
274,238
275,354
276,365
277,397
278,420
279,418
