StepNumber,NumberOfCells
1,9
2,10
3,11
4,10
5,11
6,11
7,11
8,11
9,12
10,12
11,12
12,13
13,15
14,16
15,16
16,16
17,17
18,17
19,18
20,18
21,18
22,18
23,20
24,22
25,22
26,22
27,24
28,26
29,26
30,29
31,29
32,30
33,31
34,33
35,33
36,33
37,33
38,35
39,36
40,41
41,45
42,47
43,47
44,48
45,49
46,50
47,52
48,54
49,58
50,59
51,63
52,63
53,65
54,69
55,75
56,82
57,85
58,87
59,89
60,92
61,94
62,97
63,100
64,103
65,108
66,117
67,124
68,128
69,142
70,150
71,156
72,163
73,167
74,173
75,175
76,177
77,181
78,192
79,201
80,210
81,220
82,227
83,241
84,261
85,277
86,292
87,298
88,315
89,330
90,334
91,336
92,345
93,355
94,368
95,388
96,410
97,428
98,447
99,470
100,494
101,534
102,568
103,587
104,604
105,615
106,624
107,631
108,636
109,652
110,669
111,712
112,744
113,776
114,820
115,856
116,898
117,934
118,968
119,986
120,1005
121,1022
122,1027
123,1039
124,1038
125,1100
126,1112
127,1166
128,1203
129,1258
130,1312
131,1379
132,1415
133,1446
134,1474
135,1484
136,1497
137,1505
138,1510
139,1539
140,1565
141,1618
142,1679
143,1739
144,1804
145,1906
146,1968
147,2038
148,2057
149,2076
150,2073
151,2054
152,2071
153,2074
154,2107
155,2146
156,2182
157,2225
158,2279
159,2349
160,2404
161,2463
162,2494
163,2542
164,2504
165,2478
166,2442
167,2404
168,2382
169,2354
170,2358
171,2375
172,2384
173,2431
174,2463
175,2487
176,2555
177,2604
178,2584
179,2581
180,2571
181,2548
182,2505
183,2481
184,2455
185,2423
186,2414
187,2431
188,2429
189,2474
190,2497
191,2505
192,2535
193,2573
194,2588
195,2602
196,2627
197,2612
198,2603
199,2575
200,2549
201,2505
202,2481
203,2446
