Cell_lable,NumberOfDivision
1,0
2,2915
3,2375
4,729
5,388
6,175
7,25
8,16
9,42
10,82
11,0
12,0
13,183
14,12
15,2
16,165
17,16
18,9
19,16
20,6
21,6
22,1
23,1
24,5
25,8
26,4
27,0
28,1
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,2
37,1
38,23
39,4
40,2
41,12
42,2
43,0
44,1
45,0
46,2
47,0
48,0
49,1
50,0
51,54
52,1
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,51
62,1
63,6
64,0
65,0
66,0
67,1
68,0
69,1
70,0
71,2
72,0
73,0
74,0
75,3
76,0
77,0
78,1
79,0
80,0
81,1
82,4
83,0
84,0
85,0
86,24
87,0
88,1
89,0
90,0
91,1
92,0
93,0
94,4
95,1
96,0
97,2
98,1
99,1
100,0
101,30
102,2
103,9
104,31
105,0
106,71
107,1
108,0
109,2
110,7
111,12
112,0
113,1
114,0
115,1
116,0
117,0
118,9
119,2
120,2
121,1
122,0
123,1
124,1
125,1
126,19
127,1
128,0
129,4
130,1
131,3
132,2
133,0
134,0
135,1
136,2
137,1
138,0
139,1
140,6
141,5
142,0
143,0
144,0
145,1
146,22
147,2
148,0
149,0
150,0
151,2
152,4
153,3
154,0
155,1
156,1
157,1
158,0
159,0
160,5
161,0
162,5
163,1
164,0
165,0
166,0
167,2
168,0
169,0
170,2
171,15
172,93
173,1
174,0
175,0
176,0
177,1
178,2
179,2
180,2
181,0
182,3
183,29
184,0
185,0
186,0
187,0
188,25
189,5
190,1
191,2
192,0
193,1
194,8
195,7
196,5
197,9
198,4
199,0
200,2
201,2
202,0
203,5
204,1
205,0
206,0
207,10
208,1
209,1
210,0
211,0
212,0
213,0
214,0
215,1
216,0
217,0
218,0
219,0
220,1
221,7
222,3
223,0
224,3
225,10
226,1
227,1
228,1
229,6
230,41
231,0
232,12
233,0
234,1
235,1
236,0
237,0
238,0
239,1
240,0
241,5
242,1
243,2
244,2
245,1
246,3
247,3
248,1
249,0
250,1
251,3
252,0
253,0
254,0
255,2
256,0
257,0
258,0
259,0
260,14
261,0
262,7
263,2
264,1
265,0
266,0
267,2
268,2
269,0
270,0
271,0
272,0
273,1
274,0
275,1
276,0
277,3
278,4
279,0
280,0
281,1
282,0
283,0
284,3
285,0
286,0
287,0
288,0
289,1
290,2
291,1
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,2
300,0
301,2
302,0
303,1
304,0
305,4
306,1
307,3
308,24
309,0
310,1
311,1
312,0
313,0
314,1
315,3
316,3
317,17
318,1
319,85
320,11
321,1
322,0
323,14
324,0
325,26
326,1
327,2
328,1
329,0
330,0
331,0
332,9
333,1
334,1
335,0
336,2
337,1
338,0
339,5
340,0
341,0
342,0
343,0
344,2
345,2
346,5
347,3
348,1
349,17
350,34
351,6
352,3
353,2
354,5
355,1
356,1
357,0
358,1
359,0
360,1
361,0
362,0
363,2
364,6
365,3
366,2
367,0
368,2
369,0
370,1
371,1
372,0
373,0
374,5
375,0
376,0
377,0
378,0
379,0
380,1
381,1
382,2
383,0
384,18
385,3
386,13
387,16
388,2
389,0
390,0
391,1
392,0
393,1
394,0
395,1
396,0
397,1
398,9
399,0
400,1
401,2
402,0
403,3
404,2
405,1
406,1
407,4
408,0
409,0
410,6
411,2
412,50
413,0
414,0
415,0
416,2
417,0
418,3
419,0
420,21
421,0
422,13
423,1
424,2
425,6
426,3
427,0
428,1
429,0
430,0
431,0
432,5
433,1
434,4
435,2
436,0
437,1
438,2
439,3
440,3
441,1
442,0
443,1
444,2
445,1
446,6
447,12
448,20
449,1
450,18
451,14
452,0
453,3
454,1
455,2
456,0
457,1
458,0
459,1
460,0
461,0
462,0
463,1
464,0
465,0
466,0
467,3
468,0
469,1
470,1
471,0
472,2
473,0
474,0
475,1
476,1
477,2
478,0
479,0
480,0
481,0
482,12
483,0
484,1
485,0
486,1
487,0
488,3
489,1
490,0
491,0
492,3
493,2
494,0
495,0
496,0
497,1
498,0
499,0
500,0
501,1
502,4
503,0
504,1
505,0
506,5
507,0
508,4
509,0
510,10
511,1
512,2
513,0
514,1
515,0
516,0
517,2
518,8
519,3
520,0
521,6
522,0
523,2
524,0
525,5
526,14
527,1
528,1
