StepNumber,NumberOfCells
1,2
2,1
3,1
4,1
5,2
6,4
7,2
8,4
9,3
10,2
11,6
12,6
13,8
14,7
15,7
16,7
17,7
18,9
19,8
20,12
21,14
22,13
23,11
24,12
25,15
26,14
27,14
28,13
29,15
30,20
31,20
32,21
33,20
34,20
35,20
36,22
37,24
38,26
39,24
40,26
41,26
42,31
43,33
44,34
45,38
46,38
47,41
48,38
49,41
50,45
51,47
52,48
53,42
54,51
55,44
56,44
57,54
58,58
59,56
60,61
61,68
62,78
63,82
64,88
65,84
66,90
67,90
68,78
69,90
70,90
71,106
72,100
73,122
74,139
75,132
76,134
77,140
78,159
79,154
80,162
81,156
82,172
83,176
84,196
85,207
86,213
87,202
88,224
89,247
90,260
91,265
92,264
93,279
94,303
95,300
96,332
97,334
98,346
99,374
100,372
101,390
102,447
103,474
104,474
105,508
106,535
107,544
108,548
109,579
110,604
111,585
112,644
113,676
114,689
115,730
116,751
117,771
118,787
119,837
120,878
121,899
122,895
123,927
124,946
125,764
126,971
127,1003
128,1050
129,1103
130,1141
131,1148
132,1186
133,1236
134,1283
135,1280
136,1332
137,1249
138,1280
139,1364
140,1409
141,1399
142,1419
143,1442
144,1499
145,1517
146,1590
147,1502
148,1599
149,1658
150,1626
151,1700
152,1732
153,1759
154,1697
155,1731
156,1743
157,1812
158,1762
159,1671
160,1789
161,1669
162,1629
163,1475
164,1580
165,1647
166,1666
167,1725
168,1687
169,1691
170,1737
171,1651
172,1726
173,1595
174,1592
175,1581
176,1457
177,1367
178,1485
179,1512
180,1546
181,1511
182,1635
183,1620
184,1644
185,1653
186,1601
187,1529
188,1594
189,1453
190,1565
191,1507
192,1538
193,1551
194,1505
195,1464
196,1466
197,1604
198,1619
199,1624
200,1590
201,1678
202,1724
203,1781
