----------Splitting Operations (Penalty=5)----------
T=15 Label=9
T=24 Label=12
T=25 Label=20
T=27 Label=36
T=27 Label=42
T=28 Label=36
T=29 Label=45
T=30 Label=52
T=30 Label=52
----------False Negative Vertices (Penalty=10)----------
T=13 GT_label=4
T=15 GT_label=6
T=16 GT_label=6
T=20 GT_label=9
T=21 GT_label=13
T=24 GT_label=9
T=28 GT_label=35
T=28 GT_label=41
T=29 GT_label=18
T=29 GT_label=24
T=29 GT_label=32
T=29 GT_label=33
T=29 GT_label=35
T=29 GT_label=45
T=30 GT_label=21
T=30 GT_label=28
T=30 GT_label=33
T=30 GT_label=34
----------False Positive Vertices (Penalty=1)----------
T=10 Label=4
T=11 Label=4
T=13 Label=8
T=13 Label=9
T=15 Label=10
T=15 Label=12
T=16 Label=10
T=16 Label=12
T=20 Label=14
T=20 Label=19
T=21 Label=21
T=21 Label=23
T=24 Label=29
T=24 Label=30
T=27 Label=30
T=28 Label=41
T=29 Label=2
T=29 Label=25
T=29 Label=26
T=29 Label=46
T=29 Label=47
T=29 Label=48
T=29 Label=49
T=30 Label=2
T=30 Label=25
T=30 Label=49
T=30 Label=53
T=30 Label=55
T=30 Label=57
T=30 Label=59
----------Redundant Edges To Be Deleted (Penalty=1)----------
[T=27 Label=25] -> [T=28 Label=25]
----------Edges To Be Added (Penalty=1.5)----------
[T=10 GT_label=2] -> [T=11 GT_label=4]
[T=12 GT_label=4] -> [T=13 GT_label=4]
[T=13 GT_label=4] -> [T=14 GT_label=4]
[T=11 GT_label=3] -> [T=12 GT_label=6]
[T=14 GT_label=6] -> [T=15 GT_label=6]
[T=15 GT_label=6] -> [T=16 GT_label=6]
[T=14 GT_label=4] -> [T=15 GT_label=8]
[T=15 GT_label=8] -> [T=16 GT_label=8]
[T=14 GT_label=4] -> [T=15 GT_label=9]
[T=15 GT_label=9] -> [T=16 GT_label=9]
[T=19 GT_label=9] -> [T=20 GT_label=9]
[T=20 GT_label=9] -> [T=21 GT_label=9]
[T=23 GT_label=9] -> [T=24 GT_label=9]
[T=14 GT_label=7] -> [T=15 GT_label=10]
[T=15 GT_label=5] -> [T=16 GT_label=12]
[T=20 GT_label=13] -> [T=21 GT_label=13]
[T=16 GT_label=6] -> [T=17 GT_label=14]
[T=16 GT_label=6] -> [T=17 GT_label=15]
[T=26 GT_label=17] -> [T=27 GT_label=17]
[T=28 GT_label=18] -> [T=29 GT_label=18]
[T=20 GT_label=10] -> [T=21 GT_label=20]
[T=24 GT_label=20] -> [T=25 GT_label=20]
[T=25 GT_label=20] -> [T=26 GT_label=20]
[T=29 GT_label=21] -> [T=30 GT_label=21]
[T=21 GT_label=13] -> [T=22 GT_label=22]
[T=21 GT_label=13] -> [T=22 GT_label=23]
[T=22 GT_label=14] -> [T=23 GT_label=24]
[T=26 GT_label=24] -> [T=27 GT_label=24]
[T=28 GT_label=24] -> [T=29 GT_label=24]
[T=29 GT_label=24] -> [T=30 GT_label=24]
[T=23 GT_label=15] -> [T=24 GT_label=26]
[T=24 GT_label=26] -> [T=25 GT_label=26]
[T=25 GT_label=26] -> [T=26 GT_label=26]
[T=26 GT_label=26] -> [T=27 GT_label=26]
[T=27 GT_label=26] -> [T=28 GT_label=26]
[T=28 GT_label=26] -> [T=29 GT_label=26]
[T=23 GT_label=15] -> [T=24 GT_label=27]
[T=24 GT_label=27] -> [T=25 GT_label=27]
[T=24 GT_label=9] -> [T=25 GT_label=28]
[T=26 GT_label=28] -> [T=27 GT_label=28]
[T=27 GT_label=28] -> [T=28 GT_label=28]
[T=29 GT_label=28] -> [T=30 GT_label=28]
[T=24 GT_label=9] -> [T=25 GT_label=30]
[T=24 GT_label=16] -> [T=25 GT_label=31]
[T=24 GT_label=11] -> [T=25 GT_label=32]
[T=26 GT_label=32] -> [T=27 GT_label=32]
[T=27 GT_label=32] -> [T=28 GT_label=32]
[T=28 GT_label=32] -> [T=29 GT_label=32]
[T=29 GT_label=32] -> [T=30 GT_label=32]
[T=28 GT_label=33] -> [T=29 GT_label=33]
[T=29 GT_label=33] -> [T=30 GT_label=33]
[T=26 GT_label=30] -> [T=27 GT_label=34]
[T=27 GT_label=34] -> [T=28 GT_label=34]
[T=28 GT_label=34] -> [T=29 GT_label=34]
[T=29 GT_label=34] -> [T=30 GT_label=34]
[T=26 GT_label=30] -> [T=27 GT_label=35]
[T=27 GT_label=35] -> [T=28 GT_label=35]
[T=28 GT_label=35] -> [T=29 GT_label=35]
[T=29 GT_label=35] -> [T=30 GT_label=35]
[T=27 GT_label=19] -> [T=28 GT_label=39]
[T=28 GT_label=39] -> [T=29 GT_label=39]
[T=29 GT_label=39] -> [T=30 GT_label=39]
[T=27 GT_label=22] -> [T=28 GT_label=40]
[T=27 GT_label=19] -> [T=28 GT_label=41]
[T=28 GT_label=41] -> [T=29 GT_label=41]
[T=28 GT_label=29] -> [T=29 GT_label=42]
[T=28 GT_label=17] -> [T=29 GT_label=44]
[T=28 GT_label=17] -> [T=29 GT_label=45]
[T=29 GT_label=45] -> [T=30 GT_label=45]
[T=29 GT_label=18] -> [T=30 GT_label=46]
[T=29 GT_label=18] -> [T=30 GT_label=47]
----------Edges with Wrong Semantics (Penalty=1)----------
[T=11 Label=2] -> [T=12 Label=2]
[T=14 Label=2] -> [T=15 Label=2]
[T=24 Label=2] -> [T=25 Label=2]
[T=28 Label=34] -> [T=29 Label=34]
=================================================================================
TRA measure: 0.874400
