Module,Module Number,Relationship,First Object Name,First Image Number,First Object Number,Second Object Name,Second Image Number,Second Object Number
TrackObjects,8,Parent,IdentifyPrimaryObjects,1,1,IdentifyPrimaryObjects,2,1
TrackObjects,8,Parent,IdentifyPrimaryObjects,1,2,IdentifyPrimaryObjects,2,2
TrackObjects,8,Parent,IdentifyPrimaryObjects,1,3,IdentifyPrimaryObjects,2,4
TrackObjects,8,Parent,IdentifyPrimaryObjects,1,4,IdentifyPrimaryObjects,2,3
TrackObjects,8,Parent,IdentifyPrimaryObjects,1,5,IdentifyPrimaryObjects,2,5
TrackObjects,8,Parent,IdentifyPrimaryObjects,2,1,IdentifyPrimaryObjects,3,1
TrackObjects,8,Parent,IdentifyPrimaryObjects,2,2,IdentifyPrimaryObjects,3,2
TrackObjects,8,Parent,IdentifyPrimaryObjects,2,3,IdentifyPrimaryObjects,3,3
TrackObjects,8,Parent,IdentifyPrimaryObjects,2,4,IdentifyPrimaryObjects,3,4
TrackObjects,8,Parent,IdentifyPrimaryObjects,2,5,IdentifyPrimaryObjects,3,5
TrackObjects,8,Parent,IdentifyPrimaryObjects,3,1,IdentifyPrimaryObjects,4,1
TrackObjects,8,Parent,IdentifyPrimaryObjects,3,2,IdentifyPrimaryObjects,4,2
TrackObjects,8,Parent,IdentifyPrimaryObjects,3,3,IdentifyPrimaryObjects,4,3
TrackObjects,8,Parent,IdentifyPrimaryObjects,3,3,IdentifyPrimaryObjects,4,5
TrackObjects,8,Parent,IdentifyPrimaryObjects,3,4,IdentifyPrimaryObjects,4,4
TrackObjects,8,Parent,IdentifyPrimaryObjects,3,5,IdentifyPrimaryObjects,4,6
TrackObjects,8,Parent,IdentifyPrimaryObjects,4,1,IdentifyPrimaryObjects,5,1
TrackObjects,8,Parent,IdentifyPrimaryObjects,4,2,IdentifyPrimaryObjects,5,2
TrackObjects,8,Parent,IdentifyPrimaryObjects,4,3,IdentifyPrimaryObjects,5,3
TrackObjects,8,Parent,IdentifyPrimaryObjects,4,4,IdentifyPrimaryObjects,5,4
TrackObjects,8,Parent,IdentifyPrimaryObjects,4,5,IdentifyPrimaryObjects,5,5
TrackObjects,8,Parent,IdentifyPrimaryObjects,4,6,IdentifyPrimaryObjects,5,6
TrackObjects,8,Parent,IdentifyPrimaryObjects,5,1,IdentifyPrimaryObjects,6,1
TrackObjects,8,Parent,IdentifyPrimaryObjects,5,2,IdentifyPrimaryObjects,6,2
TrackObjects,8,Parent,IdentifyPrimaryObjects,5,3,IdentifyPrimaryObjects,6,3
TrackObjects,8,Parent,IdentifyPrimaryObjects,5,4,IdentifyPrimaryObjects,6,4
TrackObjects,8,Parent,IdentifyPrimaryObjects,5,5,IdentifyPrimaryObjects,6,5
TrackObjects,8,Parent,IdentifyPrimaryObjects,5,6,IdentifyPrimaryObjects,6,6
TrackObjects,8,Parent,IdentifyPrimaryObjects,6,1,IdentifyPrimaryObjects,7,1
TrackObjects,8,Parent,IdentifyPrimaryObjects,6,2,IdentifyPrimaryObjects,7,2
TrackObjects,8,Parent,IdentifyPrimaryObjects,6,3,IdentifyPrimaryObjects,7,3
TrackObjects,8,Parent,IdentifyPrimaryObjects,6,4,IdentifyPrimaryObjects,7,4
TrackObjects,8,Parent,IdentifyPrimaryObjects,6,5,IdentifyPrimaryObjects,7,5
TrackObjects,8,Parent,IdentifyPrimaryObjects,6,6,IdentifyPrimaryObjects,7,6
TrackObjects,8,Parent,IdentifyPrimaryObjects,7,1,IdentifyPrimaryObjects,8,1
