CellId,birthLength,AverageLength,AverageVelocity,AverageOrientation,LifeHistory,GrowthRate
1.0,24.0922565460205,34.67349682432233,0.334,,33.0,0.015
2.0,24.3394451141357,33.42804807775161,-0.081,,34.0,0.014
3.0,25.6146144866943,35.24393403530121,0.244,,32.0,0.014
4.0,49.762336730957,51.0886478424072,0.163,,4.0,0.008
5.0,24.4299774169922,35.28147099469159,0.071,,37.0,0.014
6.0,25.2682838439941,35.37408782695902,-0.212,,29.0,0.016
7.0,26.7945671081543,38.25119671677098,0.013,,33.0,0.015
8.0,25.1120357513428,34.80723603566488,0.148,,24.0,0.018
9.0,27.0856647491455,35.612590375153914,-0.367,,23.0,0.017
10.0,24.593786239624,34.58490280151367,-0.001,,25.0,0.018
11.0,27.5072898864746,37.151741902033486,-0.476,,24.0,0.019
12.0,23.5398826599121,41.39452332716722,-0.146,,39.0,0.016
13.0,27.5481224060059,36.928068342663,-0.023,,21.0,0.019
14.0,25.144250869751,33.87375632576322,0.245,,23.0,0.018
15.0,25.4920215606689,35.24637285868326,0.096,,24.0,0.018
16.0,28.2871990203857,36.83609464433458,0.09,,18.0,0.02
17.0,28.9827270507812,31.58310667673747,-0.133,,6.0,0.018
18.0,28.148120880127,37.68117523193359,0.126,,23.0,0.017
19.0,24.9265804290771,33.563016959599075,-0.361,,28.0,0.016
20.0,24.4377975463867,23.70337200164795,-0.692,,2.0,-0.021
21.0,3.85888004302979,3.85888004302979,0.0,,1.0,
22.0,14.7698955535889,14.7698955535889,0.0,,1.0,
23.0,,,,,28.0,
24.0,21.8924160003662,30.0081951743678,-0.119,,19.0,0.022
25.0,29.4522361755371,39.27047789724249,-0.109,,19.0,0.02
26.0,27.7235584259033,36.70078510708279,-0.017,,18.0,0.021
27.0,21.0251312255859,27.425356123182503,-0.357,,18.0,0.019
28.0,22.7301158905029,29.61859639485677,0.016,,18.0,0.021
29.0,26.3462085723877,35.35166825188531,-0.134,,18.0,0.022
30.0,23.0341205596924,28.654059129602775,0.29,,17.0,0.018
31.0,25.2524528503418,31.098366344676304,0.472,,17.0,0.017
32.0,24.0111293792725,29.247669577598575,0.542,,16.0,0.015
33.0,30.9939918518066,35.26791751384734,0.202,,16.0,0.014
34.0,23.5312156677246,29.351303577423096,0.076,,16.0,0.017
35.0,24.0240631103516,30.30302429199218,-0.108,,16.0,0.019
36.0,24.1072387695312,23.133115132649703,-0.431,,3.0,-0.036
37.0,25.5058345794678,30.9025447845459,0.094,,15.0,0.018
38.0,24.4367847442627,31.8525193532308,-0.67,,15.0,0.022
39.0,24.4870433807373,30.661486943562842,-0.065,,15.0,0.019
40.0,23.5264720916748,28.745119535006005,0.22,,13.0,0.02
41.0,26.939582824707,33.08798320476825,0.16,,13.0,0.02
42.0,23.2421321868896,29.25719594955444,-0.174,,8.0,0.033
43.0,26.3171577453613,29.829159259796135,-0.769,,8.0,0.02
44.0,25.4523010253906,25.4523010253906,0.0,,1.0,
45.0,40.1139869689941,40.1139869689941,0.0,,1.0,
