CellId,label,birth_length,AverageLength,AverageVelocity,LifeHistory,GrowthRate,AverageOrientation
1.0,1.0,44.30879386703017,57.44800682402989,-0.704,8.0,0.042,-2.734375230677757
2.0,1.0,36.15795858929533,44.73178688617194,0.097,5.0,0.038,-2.97789150823123
3.0,1.0,40.080819645477824,52.19667350550808,-1.002,6.0,0.051,-2.8214829010865476
4.0,1.0,25.52168119197042,36.62678152112858,-0.276,8.0,0.031,-2.936245930922847
5.0,1.0,29.74841220974549,37.690874794252466,0.472,6.0,0.033,-2.8069294269657306
6.0,1.0,31.65684856872265,39.7577670486025,-0.844,5.0,0.036,-2.9109011054029374
7.0,1.0,32.198373700031546,44.82174579836179,-0.706,7.0,0.049,-2.695841220948396
8,1,26.319930533572748,,,1,NaN,-2.7256848559208557
9.0,1.0,23.805921011615013,36.41089741443373,0.358,10.0,0.033,-2.925318036271501
10,1,26.014985387948933,,,1,NaN,-2.664653776724469
11.0,1.0,26.41256904183816,35.25178563339517,1.316,8.0,0.027,-2.767455504244304
12.0,1.0,30.98764647199448,37.96541075270913,-0.37,5.0,0.036,-2.658843424300593
13.0,1.0,28.561496431106928,46.058147189739984,0.354,8.0,0.027,-2.309461760184674
14,1,24.07005481584552,,,1,NaN,-2.5806260869704043
15.0,1.0,30.86953650394033,37.544143550780504,1.039,6.0,0.029,-2.671170707713458
16.0,1.0,60.22272656578161,61.653913582111784,0.836,2.0,0.016,-2.6988382341626145
17,1,31.578832641423872,,,1,NaN,-2.7127075072002818
18.0,1.0,37.82049561132124,57.762298708218964,-4.584,2.0,0.222,-2.8046915581282583
19.0,1.0,75.07412522881519,74.09140964909251,-0.362,2.0,-0.011,-2.6514244847308905
20.0,1.0,42.90054460857595,42.989533051111266,0.851,6.0,-0.019,-2.7642576549549918
21.0,1.0,22.07326228648684,27.577685037435806,-0.818,5.0,0.024,-1.2096561754783726
22.0,1.0,22.749392180595574,25.39623492638009,-0.46,3.0,0.018,-2.465293604243496
23.0,1.0,44.64047102720704,36.61579267493129,-1.535,4.0,-0.046,-2.761409307614805
24.0,1.0,24.876530987041573,42.61642335922157,-2.132,4.0,0.095,-2.638871141320905
25.0,1.0,44.685675327278815,46.52782449257067,-0.732,2.0,0.02,-2.4505371914903944
26.0,1.0,23.19799653573305,33.70069604920169,-0.84,3.0,0.104,-2.426926779025448
27.0,1.0,23.766893662241863,26.036661869822538,0.688,4.0,0.012,-2.8210646348789448
28.0,1.0,26.042440385527478,28.443131756329628,1.355,4.0,0.015,-2.745165767803613
29.0,1.0,27.18780886122769,27.172176727805045,-0.345,2.0,-0.0,-2.5647272322020807
30.0,1.0,27.73093819910422,28.820104907392153,-0.36,2.0,0.012,-0.2447615596805132
31.0,1.0,27.06586089337497,27.414691757601794,-0.095,2.0,0.004,-2.5184872788106785
32.0,1.0,24.09723636099683,24.31026500883347,-0.238,2.0,0.002,-1.5532140109769337
33,1,40.22423674098709,,,1,NaN,-2.6231580343723007
34.0,1.0,31.95159809057789,32.29328383509935,0.136,2.0,0.004,-2.676937450734016
35,1,27.156544594382403,,,1,NaN,-2.5889666523928647
36,1,34.054509401686566,,,1,NaN,-2.1665100982936076
37,1,25.75429264467443,,,1,NaN,-2.1441925186785755
38,1,27.87039815171648,,,1,NaN,-2.502698883528301
39,1,29.02821819781493,,,1,NaN,-2.145899944175446
