TimeStep,CellLifeId,label,Orientation,Center_X,Center_Y,Major_axis,Minor_axis,parent,daughter1,daughter2,InstantaneousGrowthRate,InstantaneousVelocity
1,1,1,-0.134425364362015,123.87822671156,111.175645342312,38.3439749203033,7.6490205303599,0,0,0,0.01,-1.577
1,2,2,-0.395636684343879,213.059613319012,129.252953813104,36.0802064668558,8.4183304197542,0,0,0,0.015,-1.347
2,1,1,-0.127444651293279,123.492513368984,108.044385026738,39.2707632114562,7.93274520928531,0,0,0,0.02,-4.099
2,2,2,-0.39928698348392,212.580227743271,126.124741200828,37.4558356990454,8.55811045541956,0,0,0,0.029,-2.922
3,1,1,-0.130763043365563,123.425628140704,98.5391959798995,41.0304425871692,8.02950469918173,0,0,0,0.016,-1.815
3,2,2,-0.392936332012332,213.001923076923,116.535576923077,40.0591240768107,8.55187124366178,0,0,0,0.013,-1.404
4,1,1,-0.132184703491819,122.514105058366,95.2966926070039,42.4371185193699,8.09686311207652,0,0,0,0.025,-2.735
4,2,2,-0.390807729492922,212.31479736098,113.377474081056,41.2386372147529,8.51894890131301,0,0,0,0.027,-2.471
5,1,1,-0.14344395420377,121.442410714286,89.9227678571429,44.7230490502947,8.47038760639356,0,0,0,0.022,-0.127
5,2,2,-0.395304355928326,210.894874022589,108.09687228497,43.6982884309489,8.67607005282718,0,0,0,0.014,-0.046
6,1,1,-0.143178530135334,121.148003472222,89.9991319444444,46.7149896542341,8.44325106564718,0,0,0,0.03,-1.706
6,2,2,-0.40096442587445,210.70921386306,108.306001690617,44.9747302077089,8.68194471233703,0,0,0,0.041,-1.483
7,1,1,-0.149641452562325,120.943388429752,85.9272727272727,49.4361120643185,8.571183696057,0,0,0,0.006,-0.198
7,2,2,-0.408171521956314,210.100793650794,104.581349206349,48.6880638182513,8.61957094379953,0,0,0,0.019,0.09
8,1,1,-0.149638064621525,121.282706766917,84.9308270676692,49.9812681191892,9.20971357445901,0,0,0,0.032,-0.644
8,2,2,-0.405819880539597,210.75223880597,103.567164179104,50.4000918611157,8.87693503484591,0,0,0,0.039,-0.414
9,1,1,-0.146812055441234,120.809691011236,83.9192415730337,52.8297284495664,9.5873749058299,0,0,0,0.02,-0.536
9,2,2,-0.416906300211664,210.494125777471,102.683828610919,53.9101283825332,8.96919939130319,0,0,0,0.012,-0.326
10,1,1,-0.147671105301532,120.813961485557,82.4948418156809,54.6465445086923,9.46419845563963,0,0,0,0.028,-2.358
10,2,2,-0.422273779308753,210.644399460189,101.252024291498,55.0027292123449,8.93517131111378,0,0,0,0.061,-1.18
11,1,1,-0.129103539482474,119.841735800893,77.5682833439694,57.167480270768,10.1115605263488,0,0,0,-0.008,-1.316
11,2,2,-0.436536602802526,210.943117536141,96.4443746071653,60.4842374268642,8.97898584865539,0,0,0,0.015,-1.022
12,1,1,-0.118717107669883,118.217716781036,76.4447910168434,56.4394480397946,10.8452714379875,0,0,0,0.026,-1.359
12,2,2,-0.432650317133175,209.692822384428,95.4899635036496,61.8471290793307,8.97325171428838,0,0,0,0.065,-0.954
13,1,1,-0.102822011159293,117.432386363636,73.8852272727273,58.7961743809558,12.2440119927217,0,0,0,0.013,0.681
13,2,2,-0.456427739010077,209.055494202098,93.4213141910547,67.7037305757383,9.17403521892194,0,0,0,0.016,0.064
14,1,1,-0.106240616788496,117.49863238512,75.6821663019694,59.9405743213274,12.7617136258175,0,0,0,-0.223,8.459
14,2,2,-0.463417855085439,208.12734082397,95.7009095773141,69.1622985167011,9.24094996670978,0,0,0,0.099,-0.306
15,1,1,-0.286305859685227,133.787578757876,73.0909090909091,39.9037256489477,9.04653796131012,0,0,0,,
15,2,2,-0.479964267872444,207.610077167499,95.7253744893327,78.1061571192143,9.91333347818664,0,0,0,,
15,3,3,0.200943857798863,98.8049001814882,76.2068965517241,42.264531869315,8.88808183577143,0,0,0,,
16,4,4,0.290312330237005,97.1427432216906,79.5035885167464,50.7411185025354,8.15375137825404,0,0,0,0.038,-0.533
16,5,5,-0.144486637489143,131.351305812974,75.2969671440607,41.497503397091,9.99967822166176,0,0,0,,
16,6,6,-0.482588438585853,205.707477403451,98.9971240755957,86.8307930384357,10.0543415515727,0,0,0,0.033,-0.899
17,4,4,0.296227960943525,97.0039936102236,78.4073482428115,54.1164449796956,7.73049958474701,0,0,0,,
17,6,6,-0.489453862942684,204.734000785238,97.9089124460149,89.7774487928169,10.2899279888588,0,0,0,,
17,7,7,-0.0928596298069363,129.618623481781,73.6663967611336,42.1708963120526,10.8853422406124,0,0,0,,
18,8,8,0.279920698505954,98.9806428049671,79.4371804236669,60.2938312394422,8.1708044524004,0,0,0,,
18,9,9,-0.0405217695972729,126.734891216761,73.5451248992748,46.8464034068055,10.3721424379592,0,0,0,,
18,10,10,-0.490874190144948,202.87226534933,98.8588567395907,99.5656740948867,10.1991402910002,0,14,13,,
19,11,11,0.262002333695487,99.9032258064516,80.733504398827,57.5732641612489,9.07543262563286,0,16,15,,
