CellId,label,birth_length,AverageLength,AverageVelocity,LifeHistory,GrowthRate,AverageOrientation
0,1,29.96636962890625,29.96636962890625,0.0,1,NaN,0.44441923467520333
1,2,10.733125686645508,10.733125686645508,0.0,1,NaN,0.4636475906407117
2,3,10.435514450073242,10.435514450073242,0.0,1,NaN,0.3217505727567366
3,4,30.857742309570312,30.857742309570312,0.0,1,NaN,0.4636475906407117
4,5,10.733126640319824,10.733126640319824,0.0,1,NaN,0.4636475906407117
5,6,33.09380340576172,33.09380340576172,0.0,1,NaN,0.4636475906407117
6,7,10.733126640319824,10.733126640319824,0.0,1,NaN,0.4636475906407117
7,8,33.98823165893555,33.98823165893555,0.0,1,NaN,0.4636475906407117
8,9,10.28591251373291,10.28591251373291,0.0,1,NaN,0.4636475906407117
9,10,36.224300384521484,36.224300384521484,0.0,1,NaN,0.4636475906407117
10,11,10.0,10.0,0.0,1,NaN,3.141592653589793
11,12,37.58348846435547,37.58348846435547,0.0,1,NaN,0.4808872976412307
12,13,10.6715669631958,10.6715669631958,0.0,1,NaN,0.24497867926188402
13,14,41.143653869628906,41.143653869628906,0.0,1,NaN,0.4636475906407117
14,15,10.394155502319336,10.394155502319336,0.0,1,NaN,0.19739556394651794
15,16,41.59086608886719,41.59086608886719,0.0,1,NaN,0.4636475906407117
16.0,17.0,21.10059928894043,21.10059928894043,0.116,10.0,0.028,0.24497867926188402
17.0,18.0,9.45888900756836,9.45888900756836,-0.404,4.0,0.003,0.24497867926188402
18.0,19.0,21.600000381469727,21.600000381469727,-1.018,5.0,0.039,0.6435010789344459
19,20,42.69941329956055,42.69941329956055,0.0,1,NaN,0.25367408331331764
20,21,46.55791091918945,46.55791091918945,0.0,1,NaN,0.23554499702200996
21,22,47.52030944824219,47.52030944824219,0.0,1,NaN,0.22679884310705348
22,23,51.902626037597656,51.902626037597656,0.0,1,NaN,0.24497867926188402
23,24,54.10026168823242,54.10026168823242,0.0,1,NaN,0.25367408331331764
24,25,51.15465545654297,51.15465545654297,0.0,1,NaN,0.2378359314154802
25,26,59.68960952758789,59.68960952758789,0.0,1,NaN,0.25255425736445297
26.0,27.0,53.83563232421875,53.83563232421875,-1.051,6.0,-0.009,0.238609330040796
27,28,33.77298355102539,33.77298355102539,0.0,1,NaN,0.2691674723632876
28.0,29.0,24.6657657623291,24.6657657623291,-0.276,8.0,0.029,0.32175053946722293
29,30,37.32506561279297,37.32506561279297,0.0,1,NaN,0.3310960710750154
