TimeStep,CellLifeId,Orientation,label,Center_X,Center_Y,divideFlag,Major_axis,Minor_axis,parent
1,1,-2.652277672,1,106.1646341,47.36585366,FALSE,31.66008812,6.846053254,0
2,1,-2.660834179,1,103.2787879,43.30909091,FALSE,32.29864178,6.79671084,0
3,1,-2.659173306,1,99.3368984,40.02673797,FALSE,35.45616296,7.055616489,0
4,1,-2.671980541,1,97.12376238,38.86633663,FALSE,37.57594238,7.216098755,0
5,1,-2.680711486,1,93.57142857,40.17857143,FALSE,40.95532839,7.620317585,0
6,1,-2.674336755,1,93.18303571,42.04017857,FALSE,42.67914208,7.372756655,0
7,1,-2.667086142,1,92.14166667,42.37083333,FALSE,45.2615979,7.474380669,0
8,1,-2.66602874,1,91.92692308,43.91923077,FALSE,47.52210407,7.776579355,0
9,1,-2.679669592,1,91.35738832,42.81443299,FALSE,51.81019639,8.435465325,0
10,1,-2.678840239,1,91.50331126,39.89735099,FALSE,53.81867312,8.534554039,0
11,1,-2.688060605,1,90.74213836,41.13836478,FALSE,58.4162194,8.477065953,0
12,1,-2.691127701,1,89.95962733,38.74223602,TRUE,61.37705598,8.317691577,0
13,2,-3.05335874,1,79.29411765,31.20588235,FALSE,33.04092747,6.98061215,1
13,3,-2.787243263,1,100.9558011,44.2320442,FALSE,32.76536948,7.995282009,1
14,2,-2.997931358,1,80.10465116,31.56976744,FALSE,35.06507613,6.488012244,1
14,3,-2.841756714,1,98.87564767,44.21243523,FALSE,35.38323861,7.460428004,1
15,2,-2.974329042,1,82.9558011,31.12707182,FALSE,40.32801222,6.061603215,1
15,3,-2.87809898,1,97.21105528,43.05025126,FALSE,40.40620284,6.748365251,1
16,2,-2.963257869,1,83.36125654,31.30890052,FALSE,41.94511754,6.15401351,1
16,3,-2.883042801,1,97,43.3,FALSE,42.74205204,6.796416191,1
17,2,-2.933354443,1,84.14354067,32.01435407,FALSE,47.48514021,6.092255798,1
17,3,-2.883793532,1,93.53043478,43.28695652,FALSE,49.02947318,6.505863554,1
18,2,-2.921721612,1,84.04109589,33.34703196,FALSE,49.45019577,6.127490157,1
18,3,-2.887814796,1,91.77021277,44.17446809,FALSE,50.68855843,6.340170164,1
19,2,-2.908172434,1,84.92307692,35.94017094,FALSE,55.52762147,5.952922769,1
19,3,-2.880109631,1,88.97265625,45.703125,FALSE,55.79364847,6.448579034,1
20,2,-2.900732314,1,85.82572614,39.09128631,FALSE,57.50812003,5.785746832,1
20,3,-2.877881949,1,87.64846416,48.60068259,FALSE,58.91950322,6.959989004,1
21,2,-2.884379291,1,84.94863014,39.21575342,FALSE,67.65061121,6.115742762,1
21,3,-2.875324023,1,86.46953405,48.31182796,FALSE,65.83823805,6.378688957,1
22,2,-2.877610774,1,85.72875817,41.16013072,FALSE,71.77352237,6.247107386,1
22,3,-2.876824484,1,86.375,50.54391892,TRUE,68.4470601,6.291579048,1
23,2,-2.866772006,1,86.63218391,43.35344828,TRUE,81.11438726,6.451827933,1
23,4,-2.885835707,1,70.30588235,48.20588235,FALSE,37.47935558,6.218972739,3
23,5,-2.791853793,1,104.3782051,57.34615385,FALSE,34.79414241,5.977120629,3
24,6,-2.949877591,1,72.36,40.15111111,FALSE,49.33401167,7.732234532,2
24,4,-2.937317402,1,69.88622754,48.79640719,FALSE,38.24426684,6.637066853,3
24,7,-2.907142445,1,106.1575342,50.94520548,FALSE,31.89856533,5.9778799,2
24,5,-2.894724694,1,103.65625,58.7625,FALSE,35.63068112,5.895883149,3
25,6,-2.985536537,1,75.56626506,39.41365462,FALSE,56.32424977,8.471057795,2
25,4,-2.928197437,1,67.234375,47.40104167,FALSE,42.55714828,7.933276317,3
25,7,-2.911547936,1,109.0387097,50.64516129,FALSE,36.11118276,5.964037445,2
25,5,-2.995104711,1,100.6313131,58.16666667,FALSE,41.74400493,6.55285741,3
26,6,-2.985040799,1,75.55343511,36.12977099,FALSE,59.40725944,8.472034556,2
26,4,-2.884739087,1,65.04568528,43.55837563,FALSE,42.96508827,7.487693683,3
26,7,-2.904446742,1,109.3053892,47.83233533,FALSE,39.02399581,6.416680683,2
26,5,-3.019936256,1,98.84577114,54.71144279,FALSE,43.37971539,6.684793826,3
27,6,-3.002112825,1,78.51132686,35.8802589,TRUE,68.93791481,8.936620516,2
27,4,-2.841390635,1,61.6076555,42.46411483,FALSE,45.35079258,7.914558906,3
27,7,-2.890544579,1,110.3908629,48.24365482,FALSE,47.95229884,7.472795331,2
27,5,-3.037272082,1,97.33783784,54.49099099,FALSE,49.82162558,6.656012284,3
28,8,-2.753625687,1,62.88888889,35.79738562,FALSE,33.33750234,7.37543816,6
28,4,-2.89098757,1,62.68018018,44.19369369,FALSE,53.09865487,9.059790478,3
28,9,-3.085107848,1,95.14765101,39.34228188,FALSE,34.88958492,5.60293401,6
28,7,-2.823620238,1,113.5628141,50.66834171,FALSE,45.03927105,7.965552311,2
28,5,-3.047074079,1,97.38589212,56.20746888,FALSE,51.92940836,6.914992254,3
29,8,-2.806835044,1,64.3583815,33.53179191,FALSE,38.56035698,8.38240393,6
29,4,-2.818176716,1,59.96638655,40.37815126,TRUE,55.85533142,10.99550407,3
29,9,-2.991606978,1,99.96385542,37.10240964,FALSE,39.75422834,5.591783598,6
29,7,-2.7823185,1,115.1818182,49.60909091,FALSE,54.05808643,9.95920536,2
29,5,-3.044587448,1,97.39370079,53.61417323,TRUE,58.76875853,6.555724109,3
30,8,-2.815767362,1,64.49444444,36.65555556,FALSE,39.29062843,8.796020353,6
30,10,-2.543989974,1,49.12587413,39.69230769,FALSE,31.42545608,6.450540385,4
30,9,-2.894381289,1,101.8372093,39.76162791,FALSE,41.14758829,5.603863867,6
30,11,-0.193997136,1,77.18867925,46.87735849,FALSE,31.39490106,4.526956003,4
30,12,-0.040755439,1,99.4,49.03,FALSE,25.45097588,5.098374916,5
30,7,-2.4864843,1,124.6186441,56.22033898,FALSE,27.2518975,7.092120523,2
30,13,-3.08399286,1,79.91869919,56.08943089,FALSE,27.01117132,6.103468823,5
