TimeStep,CellLifeId,Orientation,label,Center_X,Center_Y,InstantaneousGrowthRate,InstantaneousVelocity,divideFlag,Major_axis,Minor_axis,parent
1,1,-1.6767623321578713,1.0,74.52089136490251,45.86908077994429,,,True,63.85190003789794,9.584786151450352,0
2,2,-1.4202859042775482,1.0,71.86335403726709,32.12422360248447,0.039,-1.189,False,30.32037721552007,6.905205469709103,1
2,3,-1.8144980644632285,1.0,75.51123595505618,63.58426966292135,0.014,-1.709,False,31.24126854372828,7.377621267526835,1
3,2,-1.3471803912661222,1.0,71.2122905027933,29.11173184357542,0.074,1.428,False,33.84237903507279,7.228624210368144,1
3,3,-1.705522159541892,1.0,75.8,59.1578947368421,0.06,1.218,False,32.50472228793717,7.792299178740874,1
4,2,-1.3521577165295766,1.0,69.5990099009901,37.53465346534654,0.023,-0.173,False,40.4894675032377,6.692039732200459,1
4,3,-1.5959964115119125,1.0,75.04347826086956,62.99516908212561,0.019,-0.574,False,37.931327007726914,7.996692898071596,1
5,2,-1.3522327421222229,1.0,69.41743119266054,37.325688073394495,0.06,0.05,False,42.59025019366582,6.9604475009823,1
5,3,-1.5619240341876517,1.0,75.33333333333333,61.29333333333334,0.071,-0.472,False,39.62158707887775,8.425741880677132,1
6,2,-1.3485619182671307,1.0,68.71689497716895,38.75342465753425,0.041,0.538,False,47.948302948888994,6.169749529741183,1
6,3,-1.53630268957559,1.0,75.31838565022422,60.18385650224215,0.035,0.258,False,46.03259284128635,7.883908915481638,1
7,2,-1.3697135302365324,1.0,67.98672566371681,41.58849557522124,0.064,-0.207,False,51.66680447036728,6.076715178426576,1
7,3,-1.5266916001624486,1.0,74.93617021276596,61.27234042553192,0.087,-1.967,False,49.142312263691394,7.708683531152324,1
8,2,-1.410120448142108,1.0,67.23580786026201,42.209606986899566,0.032,1.178,False,57.39164389425749,6.191592830763515,1
8,3,-1.534675017623113,1.0,74.70355731225297,56.80237154150198,0.031,0.641,False,56.97072945090696,6.927396040528746,1
9,2,-1.415046299397957,1.0,66.7949790794979,46.09205020920502,0.063,1.478,False,60.2997881972212,6.500549313827512,1
9,3,-1.5326165154263063,1.0,74.47389558232932,58.670682730923694,0.065,0.095,False,59.78973972564457,6.726077568500609,1
10,2,-1.440850486268957,1.0,66.6812749003984,50.04382470119522,0.015,1.021,False,65.97241351127968,7.63043895359962,1
10,3,-1.5169208395204319,1.0,74.75179856115108,58.54676258992806,0.038,0.559,False,65.62212438787854,7.09014079911773,1
11,2,-1.4490892015776164,1.0,66.1828793774319,53.18287937743191,,,True,67.35882769683512,8.130633470546481,1
11,3,-1.5170956687453765,1.0,74.53191489361703,60.17021276595744,,,True,69.07183332394776,7.227253406686924,1
12,4,-1.3699427375412165,1.0,75.95294117647059,40.688235294117646,0.035,-0.365,False,39.10211345013342,5.696130283225911,3
12,5,-1.3109197805607449,1.0,68.44604316546763,35.431654676258994,0.022,-0.276,False,37.17201678165208,5.059828455663841,2
12,6,-1.6898678439564725,1.0,64.30597014925372,69.04477611940298,0.023,0.585,False,34.35008251696171,5.266488279586072,2
12,7,-1.6155047234457984,1.0,73.60958904109589,76.03424657534246,0.02,0.436,False,34.15574555647654,6.335063394884521,3
13,5,-1.3229367392614184,1.0,68.03333333333333,35.32666666666667,0.056,1.668,False,39.181571451826734,5.1159198921771445,2
13,4,-1.3693267722494764,1.0,75.71428571428571,39.970238095238095,0.062,1.409,False,42.207918693413,5.356782085307078,3
13,6,-1.6774164510955476,1.0,63.892857142857146,70.61428571428571,0.068,4.873,False,36.37522790229994,5.18171226473597,2
13,7,-1.5939771279675503,1.0,73.0,77.52,0.064,4.445,False,35.95218499807506,6.36401292667239,3
14,5,-1.3440203394144725,1.0,67.17045454545455,41.88636363636363,0.026,0.284,False,44.24232174425288,5.5218596161218,2
14,4,-1.3631002802783057,1.0,74.725,45.965,0.034,0.105,False,47.74610476696233,5.868550040875258,3
14,7,-1.5496319049920482,1.0,71.47752808988764,87.71348314606742,0.018,1.321,False,41.68666823104635,7.257783572430573,3
14,6,-1.6620642292907497,1.0,62.68862275449102,81.1437125748503,0.031,1.571,False,42.49270162996494,5.725031689468753,2
15,5,-1.348569681333975,1.0,66.2090395480226,44.163841807909606,0.068,-1.102,False,46.59048148969966,5.398844355028284,2
15,4,-1.3615134233832618,1.0,73.88990825688073,47.58715596330275,0.069,-1.249,False,50.79246935616688,6.292011725603659,3
15,6,-1.650222629892599,1.0,61.53333333333333,84.95,0.053,-1.444,False,45.259672797443045,6.17106297718586,2
15,7,-1.5212601396743037,1.0,70.32804232804233,91.15343915343917,0.081,-2.001,False,43.30981206315156,7.659610308475203,3
16,5,-1.3309531205874692,1.0,66.06467661691542,41.34328358208956,0.017,-0.85,False,52.682196305541446,5.900243213790495,2
16,4,-1.3342484478174035,1.0,73.6,44.51489361702128,0.057,-0.778,False,56.99165283609937,7.12387956242517,3
16,7,-1.452517940203293,1.0,70.91428571428571,86.85714285714286,0.032,-1.156,False,50.59760752780939,6.639702544296156,3
16,6,-1.738860326386547,1.0,60.21808510638298,83.22872340425532,0.031,-1.429,False,49.99542886853781,10.653515005613585,2
17,4,-1.3237270076980359,1.0,72.61538461538461,43.88663967611336,0.111,0.793,False,62.14077860748221,6.959668893098482,3
17,5,-1.338714062132867,1.0,65.50261780104712,39.82722513089005,0.064,0.69,False,54.174292533316525,5.3228960020050975,2
17,6,-1.7759529456900687,1.0,58.82741116751269,81.58883248730965,,,True,52.79464356747635,10.805193304752995,2
17,7,-1.4074537110033,1.0,70.63470319634703,84.84018264840182,,,True,53.48953100752122,6.500954714862373,3
18,5,-1.3445846673162525,1.0,65.50691244239631,41.77880184331797,0.013,-0.607,False,59.94259110589759,5.021688598705351,2
18,4,-1.3234392167123008,1.0,72.2751937984496,46.674418604651166,0.042,-0.725,False,72.1286018093178,6.003783405375517,3
18,8,-1.1837036113471906,1.0,74.00892857142857,70.35714285714286,0.014,-1.053,False,25.74290455720922,5.654649311492953,7
18,9,-1.8948947554178592,1.0,53.42718446601942,73.15533980582525,0.016,-0.253,False,26.76733854819228,5.082792798758459,6
18,10,-1.3649605339091817,1.0,60.869565217391305,97.11304347826086,0.027,-0.483,False,30.43658751122252,4.922714685795091,6
18,11,-1.3316970636819885,1.0,69.22834645669292,97.63779527559056,0.019,-0.86,False,30.198707569939,5.734478075436714,7
19,4,-1.3117524306127262,1.0,71.81132075471699,45.3811320754717,,,True,75.88289074484344,6.062154049088069,3
19,5,-1.3464848847769169,1.0,65.18691588785046,40.57943925233645,,,True,61.14548865883526,4.956737472286212,2
19,8,-1.1765452289656206,1.0,73.95833333333333,68.1,0.063,-1.179,False,27.04460848239793,5.750481799179864,7
19,9,-1.827171910731926,1.0,52.84403669724771,73.11009174311927,0.053,0.745,False,28.234435215206485,5.027864729545339,6
19,11,-1.326908436159647,1.0,69.0909090909091,96.15151515151516,0.057,-0.123,False,31.919812003903555,5.658621755005048,7
19,10,-1.3357589437639614,1.0,60.48360655737705,96.5,0.062,-0.031,False,32.89749415515908,4.896946659768635,6
20,12,-1.3226618307720241,1.0,68.856,25.888,0.012,0.069,False,33.76273445667397,5.0367928295812,5
20,13,-1.3370378867406296,1.0,74.77586206896552,35.581896551724135,-0.184,-0.765,False,63.27725707703263,5.243225361699463,4
20,14,-1.3104106911499012,1.0,61.63247863247863,56.98290598290598,0.008,0.314,False,32.847708365521065,4.752759649307999,5
20,8,-1.3056801713422546,1.0,76.06569343065694,63.0,0.008,-0.343,False,32.74526831387625,5.710749477283286,7
20,9,-1.7265268910308609,1.0,52.144,74.976,0.023,0.297,False,32.98437959377837,5.479572137816702,6
20,15,-1.1550147943774727,1.0,64.24137931034483,73.27586206896552,0.183,-1.646,False,23.821806713293917,5.103906757876899,4
20,11,-1.2446754674970966,1.0,70.16666666666667,95.14102564102564,0.011,0.113,False,37.0466430675799,5.557530510813844,7
20,10,-1.2352835831207047,1.0,61.48,95.81333333333332,0.032,0.097,False,38.474861895520704,5.3691486919403495,6
