TimeStep,CellId,Center_X,Center_Y,Major_axis,label,parent,daughter1,daughter2,checked,InstantaneousGrowthRate,InstantaneousVelocity
1,1,75.4734954833984,45.8581466674805,57.4652824401855,1,0,12,13,True,,
2,13,72.4941711425781,34.0752220153809,29.7004928588867,1,1,0,0,False,0.019,-1.44
2,12,76.477668762207,64.2114105224609,29.4805488586426,1,1,14,15,True,0.021,-1.99
3,13,72.1832656860352,29.4065570831299,31.4286441802979,1,1,0,0,False,-0.017,1.159
3,12,76.8612518310547,58.9666862487793,31.4107608795166,1,1,14,15,True,0.027,0.694
4,13,71.1068420410156,35.9598426818848,29.89231300354,1,1,0,0,False,0.06,0.016
4,12,76.0833587646484,61.6357574462891,33.8398818969727,1,1,14,15,True,0.015,-0.642
5,13,70.8109588623047,36.5926895141602,35.2727432250977,1,1,0,0,False,0.018,-0.112
5,12,76.4842147827148,59.583381652832,35.1710090637207,1,1,14,15,True,0.075,-0.245
6,13,70.3707504272461,37.0730285644531,36.9239768981934,1,1,0,0,False,-0.052,-0.224
6,12,76.6560745239258,58.7603874206543,41.8912506103516,1,1,14,15,True,0.024,0.644
7,13,70.1358184814453,36.7984771728516,32.2734985351562,1,1,0,0,False,-0.062,-1.414
7,12,76.0225677490234,61.1316452026367,44.0470924377441,1,1,14,15,True,0.062,-1.801
8,13,70.107780456543,32.0387954711914,26.7241592407227,1,1,0,0,False,0.018,0.748
8,12,75.8103866577148,57.0056686401367,49.6151123046875,1,1,14,15,True,0.032,0.375
9,13,69.5675811767578,35.7235717773438,28.311653137207,1,1,0,0,False,0.047,0.797
9,12,75.4409942626953,58.4162292480469,52.4567489624023,1,1,14,15,True,0.024,-0.277
10,13,69.1677398681641,38.9871673583984,32.4982719421387,1,1,0,0,False,-0.008,0.347
10,12,75.7657089233398,57.307788848877,54.6277465820312,1,1,14,15,True,-0.013,-0.345
11,13,69.0263290405273,40.2792015075684,31.7879810333252,1,1,0,0,False,0.021,-0.938
11,12,75.6610565185547,56.5856704711914,53.4214859008789,1,1,14,15,True,0.02,-0.446
12,13,69.4909820556641,36.5396766662598,33.6849632263184,1,1,0,0,False,0.023,-0.214
12,12,75.5184707641602,55.6555862426758,55.208065032959,1,1,14,15,True,,
13,13,68.9495620727539,36.8744926452637,35.7781105041504,1,1,0,0,False,-0.089,-3.085
13,15,73.9450607299805,72.3978729248047,22.2255172729492,1,12,16,17,True,,
13,14,75.9623184204102,44.0694313049316,32.4943504333496,1,12,18,19,True,0.012,-0.284
14,13,63.829647064209,36.5694961547852,27.7469863891602,1,1,0,0,False,,
14,17,72.2081451416016,78.0990600585938,19.1121044158936,1,15,0,0,False,0.011,1.81
14,16,71.3576202392578,63.9057121276855,8.80394554138184,1,15,0,0,False,,
14,14,76.7975997924805,41.7103958129883,33.5887451171875,1,12,18,19,True,0.021,0.237
15,17,71.5197906494141,82.3614654541016,20.105936050415,1,15,0,0,False,,
15,14,76.1969451904297,43.520580291748,35.4356994628906,1,12,18,19,True,0.104,-1.235
16,14,74.8245391845703,42.1867561340332,44.8396835327148,1,12,18,19,True,0.07,-0.603
17,14,73.5986709594727,42.5113792419434,51.0950012207031,1,12,18,19,True,-0.026,-0.19
18,14,74.0504608154297,41.1370887756348,48.7472801208496,1,12,18,19,True,-0.001,-0.741
19,14,73.9412231445312,39.0045013427734,48.6733551025391,1,12,18,19,True,,
20,19,74.9551162719727,35.3178405761719,34.4623489379883,1,14,0,0,False,0.013,-3.835
20,18,63.9651756286621,55.176570892334,24.9507999420166,1,14,20,21,True,0.062,1.091
21,19,70.6367950439453,30.9155368804932,35.6065216064453,1,14,0,0,False,-0.031,0.844
21,18,62.9027786254883,58.8085289001465,30.5018081665039,1,14,20,21,True,-0.026,1.66
22,19,71.7611618041992,31.5046844482422,32.8404769897461,1,14,0,0,False,0.007,-0.777
22,18,60.998119354248,64.2613372802734,28.199047088623,1,14,20,21,True,,
23,19,70.5873260498047,31.2795715332031,33.469554901123,1,14,0,0,False,0.051,-0.719
23,21,53.2023887634277,70.4365310668945,6.21659517288208,1,18,0,0,False,,
23,20,62.8773422241211,61.2968635559082,17.7552642822266,1,18,0,0,False,,
24,19,69.7735443115234,30.4512825012207,38.068115234375,1,14,0,0,False,-0.104,-2.738
25,19,65.252326965332,30.4855918884277,28.6673126220703,1,14,0,0,False,,
