Time Step,Gold Standard,CellProfiler,DeLTA,FAST,Oufti,SuperSegger
1,1,1,2,2,1,2
2,1,1,2,2,1,2
3,1,1,2,2,1,2
4,1,1,2,2,1,2
5,1,1,2,2,1,2
6,1,1,2,2,1,2
7,1,1,2,2,1,2
8,1,1,2,2,1,2
9,1,1,2,2,1,2
10,1,2,2,2,1,2
11,1,1,2,2,1,2
12,1,1,2,2,1,2
13,2,2,2,2,1,2
14,2,2,2,2,2,2
15,2,2,2,2,0,2
16,2,2,2,2,0,2
17,2,2,2,2,0,2
18,2,2,2,2,0,2
19,2,3,2,2,0,2
20,2,4,2,2,0,2
21,2,2,2,2,0,2
22,2,3,2,2,0,2
23,2,4,2,2,0,3
24,2,3,2,2,0,3
25,2,4,2,3,0,3
26,2,3,2,3,0,3
27,3,3,3,3,0,3
28,3,4,3,3,0,3
29,3,4,5,3,0,10
30,3,3,5,3,0,5
31,5,5,6,5,0,6
32,5,6,7,5,0,9
33,6,8,7,6,0,7
34,6,6,7,6,0,9
35,7,8,10,7,0,11
36,8,8,12,7,0,14
37,8,9,12,8,0,15
38,9,10,13,10,0,15
39,11,11,12,11,0,17
40,13,13,16,13,0,15
