ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Location_Center_X,Location_Center_Y,Location_Center_Z,Neighbors_AngleBetweenNeighbors_3,Neighbors_FirstClosestDistance_3,Neighbors_FirstClosestObjectNumber_3,Neighbors_NumberOfNeighbors_3,Neighbors_PercentTouching_3,Neighbors_SecondClosestDistance_3,Neighbors_SecondClosestObjectNumber_3,Number_Object_Number,TrackObjects_Displacement_50,TrackObjects_DistanceTraveled_50,TrackObjects_FinalAge_50,TrackObjects_IntegratedDistance_50,TrackObjects_Label_50,TrackObjects_Lifetime_50,TrackObjects_Linearity_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,TrackObjects_TrajectoryX_50,TrackObjects_TrajectoryY_50
1,1,188,504,113,36,85,18,98.14893617021276,26.590425531914892,2.099439430147452,213,0.9757124515907044,15.471555655790098,1,0.373015873015873,0.4763176234761704,33.62835732819393,30.01666203960727,3.605551275463989,1.9223984823869598,2.0,6.9459451369956735,7.36646893226229,60.055816641865846,70.42640687119285,0.8826291079812206,98.14893617021276,26.590425531914892,0,0.0,0.0,0,0.0,0.0,0.0,0,1,0.0,0.0,nan,0.0,nan,1,nan,0.0,0,0.0,0.0
2,1,168,442,110,32,84,15,95.91071428571429,22.964285714285715,2.07483616047445,187,0.9771223264897901,14.625465582862905,1,0.38009049773755654,0.4819657662855323,32.15496793828104,29.154759474226502,3.605551275463989,1.8392827749452323,2.0,6.384695075740977,6.8386563418253425,59.87635234772044,66.18376618407356,0.8983957219251337,95.91071428571429,22.964285714285715,0,0.0,0.0,0,0.0,0.0,0.0,0,1,4.261282340005606,4.261282340005606,2.0,4.261282340005606,nan,2,1.0,1.0,1,-2.238221884498472,-3.626139817629177
3,1,189,504,107,42,79,24,92.33862433862434,32.37566137566137,2.158389741091471,213,0.9787803392462371,15.512648837479231,1,0.375,0.46330835481747257,34.851994586002796,31.38470965295043,3.605551275463989,1.896619276482067,2.0,6.688444820557844,7.141602099241085,60.05089755830498,71.59797974644665,0.8873239436619719,92.33862433862434,32.37566137566137,0,0.0,0.0,0,0.0,0.0,0.0,0,1,0.0,0.0,nan,0.0,nan,1,nan,0.0,0,0.0,0.0
4,1,206,570,106,48,76,29,90.00970873786407,38.13592233009709,2.22191105622002,231,0.9796510068623676,16.195287778099022,1,0.36140350877192984,0.45006301993979414,36.75935059007772,33.12099032335839,3.605551275463989,1.9359524627734415,2.0,6.9459451369956735,7.377914372603246,60.22544802339132,75.84062043356595,0.8917748917748918,90.00970873786407,38.13592233009709,0,0.0,0.0,0,0.0,0.0,0.0,0,1,6.2132482759552765,6.2132482759552765,2.0,6.2132482759552765,nan,2,1.0,3.0,1,-2.3289156007602685,5.760260954435715
5,1,232,704,105,57,73,35,87.57758620689656,45.46551724137931,2.357944983462903,263,0.9817672917691678,17.186959427966244,1,0.32954545454545453,0.42409810534739,40.25382376178179,36.359317925395686,4.123105625617661,1.9890403624196278,2.0,7.37443916112788,7.651719834896572,59.967398055538645,82.91168824543144,0.8821292775665399,87.57758620689656,45.46551724137931,0,0.0,0.0,0,0.0,0.0,0.0,0,1,0.0,0.0,nan,0.0,3.0,1,nan,0.0,0,0.0,0.0
6,1,231,748,105,59,71,37,86.48051948051948,47.878787878787875,2.5324815099545774,265,0.9836845992775249,17.14987856615383,1,0.3088235294117647,0.39486961546184635,41.34169775235608,37.21558813185679,4.123105625617661,1.9427880512720164,2.0,7.246954437820981,7.437440268129163,59.6831066367611,85.7401153701776,0.8716981132075472,86.48051948051948,47.878787878787875,0,0.0,0.0,0,0.0,0.0,0.0,0,1,2.6509301332743695,2.6509301332743695,nan,2.6509301332743695,3.0,2,1.0,5.0,1,-1.0970667263770792,2.4132706374085657
7,1,245,805,104,62,69,39,85.20816326530613,50.351020408163265,2.547903922368804,277,0.9854123404519664,17.66192765414112,1,0.30434782608695654,0.39247947743268635,43.6354256597209,38.948684188300895,3.605551275463989,1.9526965673493903,2.0,7.031441990842862,7.426041720408423,59.58216014064382,88.5685424949238,0.8844765342960289,85.20816326530613,50.351020408163265,0,0.0,0.0,0,0.0,0.0,0.0,0,1,5.429761161302687,2.7804359402248195,nan,5.4313660734991895,3.0,3,0.9997045103985287,6.0,1,-1.2723562152133496,2.4722325293753897
8,1,248,805,104,58,69,35,85.1774193548387,46.20967741935484,2.6179603674773215,279,0.9863485455980522,17.769732893161912,1,0.30807453416149067,0.3819767527510757,44.74149425497564,39.96248240537617,3.605551275463989,1.9354210653597148,2.0,7.015872854471663,7.367627735579986,59.50039802923377,90.3259018078045,0.8888888888888888,85.1774193548387,46.20967741935484,0,0.0,0.0,0,0.0,0.0,0.0,0,1,2.512881869129917,4.141457103361513,nan,9.572823176860702,3.0,4,0.2625016489601543,7.0,1,-0.030743910467421642,-4.141342988808425
9,1,270,950,105,65,67,40,84.24814814814815,52.24444444444445,2.795871846937545,313,0.9879500436191881,18.5411616971131,1,0.28421052631578947,0.3576701847387421,48.14138847548068,43.56604182158393,3.605551275463989,1.9559206967417013,2.0,7.207985584043248,7.450991750574043,58.53752827031405,97.39696961966999,0.8626198083067093,84.24814814814815,52.24444444444445,0,0.0,0.0,0,0.0,0.0,0.0,0,1,7.552417613684964,6.105895349798668,nan,15.67871852665937,3.0,5,0.4816986541880436,8.0,1,-0.929271206690558,6.034767025089607
10,1,286,1053,105,65,66,38,83.87062937062937,50.89510489510489,2.84138187970294,330,0.9884890834095709,19.08262324195121,1,0.2716049382716049,0.3519414293247156,50.45661806035615,44.654227123532216,4.123105625617661,1.9815956469540141,2.0,7.574913223583989,7.633693117643544,58.17432920450484,101.05382386916239,0.8666666666666667,83.87062937062937,50.89510489510489,0,0.0,0.0,0,0.0,0.0,0.0,0,1,6.574340352874749,1.4011558253067855,nan,17.079874351966154,3.0,6,0.3849173721888617,9.0,1,-0.37751877751877316,-1.349339549339554
