CellId,label,birth_length,AverageLength,LifeHistory,AverageOrientation
1,1,36.85027654,52.05703401,12,-2.908506239
2,1,37.49233335,57.94803407,9,-3.009837592
3,1,37.68127439,44.02541704,4,-0.805108863
4,1,24.60099203,34.08530324,8,-1.547569428
5,1,27.83762944,38.67554981,8,-2.578248454
6,1,39.50241981,43.52445357,3,-2.810064557
7,1,42.34704155,51.63410944,5,-2.998048628
8,1,28.21143315,47.01673949,12,-2.498736313
9,1,28.38024556,46.53826539,12,-2.435388101
10,1,21.41843141,28.74124164,8,-0.167059677
11,1,20.13807069,33.34567181,10,-0.35766254
12,1,25.54100668,44.04232402,10,-0.262947153
13,1,25.40568464,32.24174892,6,-2.794834652
14,1,34.15514789,43.88152906,7,-2.926882489
15,1,30.84615291,38.26444693,6,-2.587047698
16,1,18.50149207,27.84332281,8,-0.418718363
17,1,22.10625717,30.44657312,8,-2.707186704
18,1,25.50365397,30.16498843,8,-2.178439203
19,1,23.58924894,27.27404137,6,-0.304158583
20,1,18.90678678,28.21888885,8,-0.320050101
21,1,23.44796469,31.73562043,8,-2.79025813
22,1,35.15954213,46.88024385,7,-2.540211042
23,1,28.34861137,36.34837901,5,-0.15472083
24,1,30.74138702,39.39272219,6,-0.391568777
25,1,26.19154793,33.18718909,5,-0.422757425
26,1,39.55827124,47.92798188,4,-0.532302307
27,1,26.99926842,33.90060468,6,-0.403582453
28,1,39.823441,44.87684137,4,-2.181728355
29,1,49.96010325,56.41898481,4,-2.141184716
30,1,34.40985806,37.84337921,3,-2.561706965
31,1,29.22244663,31.61964896,4,-2.120712235
32,1,20.21148118,20.76755175,2,-0.046686188
33,1,25.08978823,24.90950819,2,-0.225059552
34,1,14.79686713,16.81237049,2,-0.26167671
35,2,22.23976478,23.07861148,2,-1.812756484
36,1,16.75806901,17.75631262,2,-2.974526454
37,1,32.81197933,34.47205509,2,-0.575698755
38,1,19.67198648,20.12216315,2,-0.094415589
39,1,19.48628492,19.60442895,2,-0.578785008
40,1,23.22307481,22.9169343,2,-0.337713511
41,1,20.53617636,20.8238328,2,-3.123027811
42,1,20.65835336,20.78774058,2,-2.976535802
43,1,22.92431458,,1,-1.986065559
44,1,23.65940118,,1,-0.228669104
45,1,16.09251855,,1,-0.210628133
46,1,22.27094958,,1,-0.587922692
