TimeStep,CellLifeId,label,Orientation,Center_X,Center_Y,Major_axis,Minor_axis,parent,daughter1,daughter2,InstantaneousGrowthRate,InstantaneousVelocity
1,1,1,0.243857223647447,105.0,57.0,36,8.55298277558619,0,2,3,0.018,-2.907
2,1,1,0.236810748078754,102.313954436385,52.7526982093492,37,8.66421960767591,0,2,3,0.052,-3.104
3,1,1,0.22833620223158,98.4336427752388,50.1140443556627,40,8.89421182784286,0,2,3,0.016,-1.387
4,1,1,0.228559823730018,96.6864281071584,48.960706194788,41,8.75176992528445,0,2,3,0.047,-0.724
5,1,1,0.221812973885689,94.5800014599442,50.6555002011139,44,8.79703668741469,0,2,3,0.015,0.178
6,1,1,0.225490785413668,94.2264152500282,51.8646844923256,45,8.76154150978631,0,2,3,0.057,0.249
7,1,1,0.234214830874766,94.2815722430845,52.5366571998724,49,8.93987498106898,0,2,3,0.027,0.622
8,1,1,0.2315968970228,94.7852339614193,53.5466505485341,51,8.86589444297016,0,2,3,0.062,-0.099
9,1,1,0.239213686736606,95.0345918343671,52.7972868749157,56,9.08314581724935,0,2,3,0.023,-0.654
10,1,1,0.237161920636729,95.7050550614436,49.4720086809524,58,9.13034575251578,0,2,3,,
11,2,1,0.354639107834159,81.1963740233323,47.5888859351977,32,8.8537286383264,1,7,8,0.021,-1.42
11,3,1,0.158774964967421,111.87,54.62,32,8.88451473924054,1,4,5,0.04,-0.267
12,2,1,0.371819725714673,80.2208547069458,45.0100120552405,33,8.78032828522004,1,7,8,0.094,-0.653
12,3,1,0.148934134746008,112.55,52.26,34,8.76729326115447,1,4,5,0.074,0.074
13,2,1,0.302127241941929,80.1824482316606,43.0447056850978,38,8.98331715617576,1,7,8,0.034,1.522
13,3,1,0.0375165552568467,112.98,51.59,38,8.78458303398539,1,4,5,0.034,-1.174
14,2,1,0.192862109355763,82.4117670788693,43.7163551578239,40,8.69081839211801,1,7,8,0.064,1.672
14,3,1,-0.0158711705945171,110.69,52.34,40,8.47687418042266,1,4,5,0.079,-1.43
15,2,1,0.119137182808806,85.9011444495235,42.4029115560416,44,8.75721755656742,1,7,8,0.058,0.277
15,3,1,-0.0264526327535778,108.52,51.91,45,8.54408327289984,1,4,5,,
16,2,1,0.106775988459375,86.3234267900731,42.4843048581426,48,8.39570857484023,1,7,8,0.079,1.141
16,4,1,-0.116468895825511,95.9881028787644,52.4866125808709,25,7.83599401740001,3,12,13,0.051,-2.832
16,5,1,0.0711324875165146,119.93,51.49,24,8.38941125057218,3,10,11,0.053,-1.271
17,2,1,0.0948258386838915,88.0479743132108,42.8532610971602,54,8.11117577127704,1,7,8,0.024,0.708
17,4,1,-0.0273837473262724,91.19,52.36,27,7.78017821496071,3,12,13,0.024,-0.987
17,5,1,0.0322382317902199,117.69,51.86,26,8.22514228939147,3,10,11,0.025,-0.527
18,2,1,0.0928211151647517,88.710968172242,43.9135428185594,56,8.16062004937908,1,7,8,0.068,1.624
18,4,1,0.0009993482545956,88.85,53.42,28,7.83855614564696,3,12,13,0.129,-2.611
18,5,1,0.0112551476321585,116.35,52.92,27,7.90612282652821,3,10,11,0.048,-0.513
19,2,1,0.093321094576154,90.6802214489913,45.4234731188334,62,7.97390156683296,1,7,8,0.042,1.872
19,4,1,0.0973508442784315,83.271401425782,54.9276325738775,34,7.76452223850928,3,12,13,0.0,0.206
19,5,1,-0.0116577079345621,114.32,55.43,29,7.96034572826085,3,10,11,0.044,0.827
20,2,1,0.0907675644741367,91.948714038835,49.0817669041041,66,8.03038562273191,1,7,8,,
20,4,1,0.146076526680889,81.4844424247135,58.0793497825727,34,7.79335571410143,3,12,13,0.091,-2.857
20,5,1,-0.0096253745321952,114.13,58.59,31,7.64864067323085,3,10,11,0.081,-0.787
