CellId,GrowthRate,birthLength,LifeHistory,AverageVelocity,AverageLength,AverageOrientation
1,0.014349122767575,32,13,-0.248226544808062,41.6153846153846,0.871531579946998
2,0.00988758879896402,26,7,-1.14889294768194,28.5714285714286,0.685976334672962
3,0.0162185271472695,17,13,-0.614872953786602,23.0769230769231,0.816901252091682
4,0.018572051825516,17,19,-0.115829774104461,29.4736842105263,0.515462528594094
5,0.014589047618781,29,9,-0.1033645457151,35,1.01318389082179
6,0.0205554385955233,31,9,0.0908027338819363,42.4444444444444,0.517490626448897
7,0,5,1,NaN,NaN,NaN
8,0.0192540883488874,19,12,-0.482050609598519,27.25,1.29194720328984
9,0.024374933808187,17,11,-0.232785572190323,25.6363636363636,0.471051040235674
10,0.0193460670054624,22,8,-0.830244173739865,27.25,-1.32299019627974
11,0.0182377262979098,30,7,-0.458432366511453,36.1428571428571,0.868318378420542
12,0,5,2,-8.62011743247178,5,-0.0203336622591341
13,0.020816302746745,33,6,-0.0364193228474489,40.3333333333333,0.758293392196945
14,0.0214747590834423,28,9,-0.273798994507571,37.2222222222222,0.350301044630744
15,0,1,1,NaN,NaN,NaN
16,0,1,1,NaN,NaN,NaN
17,0,1,1,NaN,NaN,NaN
18,0,1,1,NaN,NaN,NaN
19,0.00307326291131291,15,7,-1.8834871078152,15.7142857142857,0.223885328192309
20,0,14,1,NaN,NaN,NaN
21,0.0195834845519056,30,8,-0.404293912362954,38.5,-0.111341944458457
22,0.0205554385955233,31,9,-0.682134235358514,40.7777777777778,0.326577156439075
23,0,6,5,-3.2550981133983,6,0.247579582496363
24,0.0209204976582182,23,8,0.382080681834695,30.25,0.63081848708941
25,0.0202454942532148,31,5,1.31388405240772,35.8,0.718952744024472
26,0,1,1,NaN,NaN,NaN
27,0.0236328667917377,28,9,-0.138845846364843,40.2222222222222,-0.479663940606742
28,0.0258249662297791,25,7,-0.0431959436750737,33.7142857142857,-0.138019166825155
29,0.0205061879696745,20,10,-0.750159765964404,27.7,-1.15550967460186
30,0.0197687907334321,21,10,0.126888898051754,27.8,-1.05144933206381
31,0,8,10,-1.53755060397697,11.3,-0.00578999038266823
32,0,1,1,NaN,NaN,NaN
33,0,1,1,NaN,NaN,NaN
34,0.0229273780891194,21,9,-0.456819322543046,29.3333333333333,-0.406254260440486
35,0.0229273780891194,21,9,-0.427337979014281,29.4444444444444,0.537577939564331
36,0.0406893440247448,29,9,0.413988299444604,44.5555555555556,0.107013739562544
37,0.0174462639524244,25,8,-0.138305538003383,30.625,0.555348894383358
38,0.0227726544320029,22,8,-0.822356373155755,29.375,1.33722141893275
39,0.0195834845519057,20,8,-0.569786426441344,26.125,-1.47144905732834
40,0,1,1,NaN,NaN,NaN
41,0.0233252136422369,23,6,1.19122246953193,29,0.613387262179991
42,0.0165860330603912,24,7,0.550886918608549,28.5714285714286,-0.0671264763846635
43,0,1,1,NaN,NaN,NaN
44,0,9,1,NaN,NaN,NaN
45,0,1,1,NaN,NaN,NaN
46,0,1,1,NaN,NaN,NaN
47,0.0184087297752468,28,6,0.0569073586089601,31.6666666666667,-0.336380844995093
48,0.0214389082751641,29,5,-1.22005673619554,33.2,0.228218420846724
49,0.0210054031093263,27,5,-0.28736799291021,32.2,-0.201945489222209
50,0.0181289143655761,32,5,-0.979482961512449,37.4,0.526157690789083
51,0.00758098151714389,21,4,0.166161319304528,22,-1.00328023727382
52,0.0111276160520436,21,4,1.94352323023031,23,-1.47425037171719
53,0.017303280398187,26,4,-0.94741254742924,28.5,-0.134066075628346
54,0.0128458899856048,24,4,0.920773236062492,26.25,-0.376767682528504
55,0.011115229083112,29,2,-3.15162876283723,30,1.55212375247662
56,0,31,1,NaN,NaN,NaN
57,0,1,1,NaN,NaN,NaN
58,0,1,1,NaN,NaN,NaN
59,0,21,1,NaN,NaN,NaN
60,0,13,1,NaN,NaN,NaN
61,0,1,1,NaN,NaN,NaN
62,0,1,1,NaN,NaN,NaN
63,0,21,1,NaN,NaN,NaN
64,0,21,1,NaN,NaN,NaN
65,0,20,1,NaN,NaN,NaN
66,0,19,1,NaN,NaN,NaN
