CellId,label,birth_length,AverageLength,AverageVelocity,LifeHistory,GrowthRate,AverageOrientation
1.0,1.0,17.584090339141127,23.04091316858155,-0.099,14.0,0.023,-2.7100748985357765
2.0,2.0,30.17415094607532,34.469949984979536,-0.119,17.0,0.011,-0.06103316312408424
3.0,3.0,17.829329525321125,24.072831293850765,-0.321,23.0,0.017,-2.37304333602732
4.0,4.0,29.857725346240336,36.19733949282334,0.166,22.0,0.013,-2.6152490566512254
5.0,5.0,17.00401698387842,29.529509385426046,-0.017,43.0,0.017,-2.7217059488841957
6.0,6.0,50.76430485143361,60.03297343815695,0.12,18.0,0.013,-2.962717880714944
7.0,7.0,35.399945632624544,36.6757660577552,0.498,4.0,0.011,-2.671941293050253
8.0,8.0,19.671645278182066,31.30051826207808,0.234,42.0,0.015,-2.5358994303160833
9.0,9.0,21.509504022936657,32.791482823729126,0.123,43.0,0.013,-2.462425742033586
10.0,10.0,34.77922040550333,37.480683060517144,0.302,6.0,0.016,-2.6962673939758868
11.0,11.0,15.958401875952967,16.003223262375144,0.03,47.0,0.001,-1.4964527023400667
12.0,12.0,20.91912197111424,20.916533730855285,0.28,7.0,0.002,-0.1430115890061757
13.0,13.0,18.59390907301989,29.609570744320383,0.839,12.0,0.047,-0.05698292638863194
14.0,14.0,26.563016644464067,29.95194786917,0.204,11.0,0.02,-0.12716188674340106
15.0,15.0,26.31298209194632,37.09629216836362,-0.139,28.0,0.016,-2.451417004377082
16.0,16.0,22.124295263530307,22.0925846137814,0.11,92.0,0.005,-1.1710060113167073
17,17.0,42.29773889445513,,,1,NaN,-0.14486082543449777
18.0,18.0,26.86213408871443,34.470629121717465,0.298,21.0,0.015,-1.9618850745746081
19.0,19.0,20.81836146814495,33.31165900919816,0.173,41.0,0.016,-1.1264350966439
20.0,20.0,26.12015720517373,32.592972873072085,0.229,21.0,0.015,-1.0861395860704932
21.0,21.0,29.320086305182134,36.7211163683602,0.152,21.0,0.014,-0.5250774695359071
22.0,22.0,25.386269202573978,33.305278083283945,0.083,27.0,0.014,-2.307137999298704
23.0,23.0,22.606715718905896,33.083091534147336,0.087,31.0,0.017,-1.649263101576522
24.0,24.0,33.30105395682292,47.147441029248576,0.12,43.0,0.009,-2.2465768328837186
25.0,25.0,42.84794143155703,49.890696106879815,0.44,7.0,0.028,-1.8264834202945808
26.0,26.0,45.55782991731969,49.717811490933315,0.19,8.0,0.013,-0.4395118563568916
27.0,27.0,21.814019538881396,22.643312539292133,0.927,4.0,0.006,-1.887810119792473
28.0,28.0,23.65767659592341,34.5265457389621,0.201,32.0,0.016,-1.7926906431097975
29.0,29.0,38.95120244369497,45.38531417354091,0.288,13.0,0.016,-1.1939293838624807
30.0,30.0,21.77605761512195,22.043430349876058,0.117,43.0,0.0,-2.9257772603709316
31.0,31.0,21.11251922256051,35.433236203942116,0.106,56.0,0.011,-1.8289863303730063
32.0,32.0,22.60036610218611,34.82385707088701,-0.032,34.0,0.017,-0.15171133375877027
33.0,33.0,23.79088792613667,33.44043369142454,0.104,35.0,0.014,-1.5820135029651492
34.0,34.0,19.87747319038857,31.570441655791154,0.083,33.0,0.019,-0.5846999406074682
35.0,35.0,18.76846960112152,28.65723720507829,0.142,33.0,0.018,-0.577289188880566
36.0,36.0,25.950260549213613,26.784308488211106,0.012,112.0,-0.0,-1.7996631584488465
37.0,37.0,26.29626049244033,34.301593478412144,0.172,21.0,0.017,-1.044617918406207
38.0,38.0,25.972817901382168,36.50619766412917,0.283,30.0,0.014,-2.448021710592616
39.0,39.0,30.28941305404793,30.41180489497813,0.126,43.0,0.0,-3.0806078289519974
40.0,40.0,22.289564860979823,32.00316737289,0.1,39.0,0.012,-2.8329810172255665
