StepNumber,NumberOfCells
1,72
2,77
3,76
4,75
5,77
6,79
7,81
8,82
9,81
10,83
11,87
12,87
13,88
14,89
15,88
16,89
17,89
18,92
19,95
20,95
21,96
22,95
23,96
24,98
25,101
26,106
27,108
28,106
29,109
30,112
31,113
32,120
33,125
34,128
35,130
36,135
37,138
38,143
39,145
40,147
41,147
42,150
43,152
44,157
45,159
46,163
47,162
48,171
49,173
50,183
51,192
52,193
53,203
54,206
55,227
56,232
57,235
58,240
59,248
60,245
61,254
62,257
63,268
64,276
65,282
66,291
67,302
68,304
69,317
70,321
71,332
72,339
73,349
74,367
75,382
76,380
77,400
78,416
79,422
80,418
81,430
82,450
83,469
84,479
85,486
86,484
87,464
88,480
89,505
90,502
91,507
92,518
93,526
94,543
95,547
96,567
97,570
98,531
99,526
100,595
101,599
102,627
103,626
104,629
105,640
106,639
107,642
108,631
109,565
110,470
111,449
112,323
