CellNumber,GrowthRate,BirthLength,LifeHistory,AverageVelocity
1,-0.00163076787668163,45.2052064222593,97,0.135639838340777
2,0.00678402962073122,22.1712307884,101,0.214633457741904
3,0.0078935589030904,19.6706913324715,81,-0.0327409639159375
4,0.00507566685223823,22.6766341233092,93,0.633040648123618
5,0.00381822625411736,20.0991585236737,87,0.0796844398601656
6,0.0022639387923711,27.1949839170354,101,-0.0548253624574012
7,0.0154158709734484,27.9458370706333,51,-0.0894708689835197
8,0.00297076873280497,37.7488575000971,80,0.00249327051570276
9,0.00580313772507547,24.9722459213058,105,0.0217778100919948
10,0.00287308473002558,24.0278737537985,95,-0.18408259066844
11,0.0107264914113643,20.7798992355711,73,-0.127617067350125
12,0.00221099332875312,31.1888882961416,107,-0.0323070085238771
13,0.00186379941996133,31.0814405334047,101,0.348637745305391
14,0.00380784543446908,24.7450220548032,104,-0.0461713692160205
15,0.00350186292006683,23.3420847238104,98,0.115456922177048
16,-1.65870898802853e-05,41.6965102738556,97,0.0653122142616471
17,0.000830856894808809,37.3289591968745,97,0.365477909109593
18,0.00645696377852801,26.8393576631462,85,0.20755201439953
19,0.00521601098769225,22.2323491050528,85,0.0372556232509592
20,0.00443973671399925,43.95777412272,77,0.0772511355542045
21,0.00336300510851607,18.7173238176741,98,0.105001959447856
22,0.00309849710544718,28.1698649745604,92,0.000570289661238243
23,0.00851534630363251,17.8974719784419,90,0.0715705993673021
24,0.00331151228439453,23.9568069801722,110,0.127155829478349
25,0.00651976491252096,20.0972034113489,87,0.466467253853456
26,0.00347994539534769,25.7983472868396,95,-0.024563988366385
27,0.00680640525034471,19.2718997764735,88,0.315472265651149
28,0.00117113171500129,50.0274273247713,61,0.214390893800425
29,0.00836343612459759,24.2459052713185,70,0.150394579420046
30,0.00485464035103623,22.621327483307,97,0.0265595543123889
31,0.00489037378791836,21.2220070236959,92,0.269445407285255
32,-0.000818064511149029,19.2287804336705,97,-0.0711268870789806
33,0.00673511608873722,20.843051220083,84,-0.299969061142774
34,0.00651691641145742,20.4827980659276,81,-0.113946094112962
35,0.00271188187313361,24.9737520526993,91,0.167869142360806
36,0.00391479166032802,23.1293647786506,86,0.061308776006437
37,0.00466898760237526,31.1001642451877,65,-0.260899997708409
38,0.00772685711097775,25.9625281360443,47,0.229890001605502
39,0.00895315806572658,22.4163974356602,67,-0.25653339615019
40,0.0080455957584062,24.0785756981405,75,-0.0971116255505523
41,0.00699739598459119,25.2703207143173,66,-0.113250855544481
42,0.0246609158695656,13.8558153844978,36,0.332170094399685
43,0.0115664147176629,23.5009604570602,52,-0.35258903162923
44,0.00893837307585645,21.3570962873601,65,-0.0396873780290627
45,0.0122045442722884,21.5681063861438,50,0.730245675728645
46,0.010513978433896,18.0967328602273,52,0.201234823990102
47,0.00458049255156956,25.8619835104305,66,0.524953208850769
48,0.00614610910047779,25.6743443075939,64,0.015464079970022
49,0.00420082494014856,26.2662939288986,76,-0.231507100897537
50,0.00547828913661231,28.4683810748494,63,0.285648294448076
51,0.00718707874804839,28.4846705909226,54,0.0798535618088293
52,0.00453284280647499,24.5375165549153,64,-0.0257055193370329
53,0.0113834283844081,20.3546015499999,53,-0.162572227459493
54,0.00557296046861326,19.5616827133583,65,0.413314384070517
55,0.00889833454589596,25.8973597910537,56,0.11754848695118
56,0.0134233343135342,26.3811609692776,28,-0.153503997509054
57,0.00792656078956561,15.2362303006693,62,0.682021934566802
58,0.00719640285388873,28.1178945500903,61,0.105840666559818
59,0.00848165491408532,22.8869978082077,62,0.212083609630031
60,0.00875522343134397,19.6577122350814,66,-0.295677446716359
61,0.00591227628864108,33.9474074354079,59,-0.389937906273767
62,0.0110825662663907,18.7359895564083,46,0.856726271497424
63,0.00970983559310364,24.325357356669,46,0.130258262550437
64,0.00821577125838239,26.9764753068418,59,-0.288154562534533
65,0.0102788798022427,27.6680559140225,45,0.169414439178013
66,0.0129206138934679,25.167171895082,57,-0.227383542952887
67,0.00957195526934026,19.7107964365281,63,0.481169207153713
68,0.0101689724186687,32.8442011342626,37,-0.325969879325733
69,0.00125199369995402,30.2620705751917,33,-0.153381211133764
70,0.0100803700558877,24.5690547488271,46,0.559947404037924
71,0.0155058911395018,17.5898460232922,52,0.579960090501959
72,0.00863716191708023,25.5687614026878,50,0.195598267261679
73,0.0147135943220324,9.8334615691449,62,0.465531099855949
74,0.00647990261371342,27.8463014123213,45,0.426248591181716
75,0.0134625918354612,36.9669260198204,21,0.177436045874092
76,0.0200896880092494,15.377202164269,36,-0.173129873588691
77,0.0702993272067922,13.4695703271697,14,0.278127874558563
78,0.00910192155278972,23.287319376921,38,0.44397032697479
79,-0.02776361816694,42.4340361755837,4,-0.319596854599051
80,0.00842309532794998,34.0806170549393,21,-0.0456711914648947
81,0.0210457531896064,28.2327246600772,23,-0.0691449202981792
82,0.0180861617761733,24.1938929271248,23,-0.452308074182037
83,0.0283423752070335,6.62869805500812,46,-0.0347912638833358
84,0.0235434899002968,18.1898891471709,33,-0.0598467859240694
85,0.00824790977944261,24.0929119665407,41,-0.0038674383988832
86,0.00669556662582227,24.1830165835525,53,-0.0679918380783906
87,0.0179759975998311,24.7886050643583,27,-0.10106208316354
88,0.0176577719080567,18.8222339071451,37,0.374092764944756
89,0.0100113714495808,30.0988442994445,41,-0.050967562846784
90,0.00745954775850392,25.7877099784376,46,0.660171188923445
91,0.0363515290604397,13.4807502535191,26,0.163411730117087
92,0.00598515340851864,43.1643823188689,38,0.0305029019991323
93,0.00868502496557961,28.1376827396595,36,0.116129868774936
94,0.0153567265038171,26.8550859621199,22,-0.0235298676521972
95,0.0232588264764809,21.1147979332487,26,-0.322963520263381
96,0.0160687739064957,25.9593783056463,33,-0.210025853578965
97,0.0221428444157961,26.3080209773937,21,-0.012871239952462
98,0.00602990359497504,22.5371537402912,44,-0.110964979099015
99,0.0143110329321016,16.335145777001,45,-0.0820200157936715
100,0.0154136247489042,22.3203229786773,25,-0.175689351708674
101,0.014149737198809,20.6697243095106,46,-0.711770475451258
102,0.0263907467916758,27.3300201457212,20,-0.54572028380749
103,0.0284544029845872,15.7686880462248,30,-0.147632182816447
104,0.0121235268444548,22.8166609461999,44,-0.133652938793908
105,0.0116138600169007,21.1582269243808,43,0.00475896486436831
106,0.00592345917839476,20.2097334476751,51,-0.28701357621386
107,0.0396956690072532,33.0573679567059,11,0.139161833385391
108,0.0116438958793597,24.9127122363852,27,0.260497185216782
109,0.0117806963178383,23.5557007643262,37,0.258445718973671
110,0.01787676106775,25.9828244974801,22,-0.165741012638054
111,0.00655299898619153,21.4215154088926,51,-0.33868240149827
112,0.0239620881153326,30.0137412128442,24,-0.538829278404598
113,0.00851338964093685,19.9786962112504,38,0.194198890096712
114,0.0103453741743532,18.6627163394372,44,-0.0402863463408563
115,0.00587940128304054,24.6015985575931,38,-0.428099384388724
116,0.00778749938969213,21.2126023531753,46,-0.00778422159993974
117,0.0170229089912316,23.2601891370836,26,0.291074321980024
118,0.0235725192686743,29.8149015623603,18,-0.550326767648675
119,-0.0422139046436379,28.5508162757752,18,-0.673050772351684
120,0.0115478586718261,22.1459514300792,39,-0.144319507517728
121,0.00784579951432812,28.0256851325252,46,-0.305078593709156
122,0.025997588110881,33.3456613173382,16,0.391932697890911
123,0.0129447933892307,25.2329925501542,25,-0.28736144824622
124,0.0202579190978413,28.8485125813367,22,-1.13477639326255
125,0.000386000039807542,22.2352914268774,47,0.140658687506359
126,0.0119214424766679,18.5752625029442,47,-0.0336893791994637
127,0.0201708784790077,25.1574197586034,20,0.277405941931897
128,0.0178785792999308,27.4673081604432,26,-0.160549091077993
129,0.019579275937793,31.948922742544,18,-0.118496524420255
130,0.0210882756962419,16.2818668434524,40,-0.26661055457631
131,0.00422392855228547,38.3468343483565,34,-0.195064148340895
132,0.0543150265012919,12.1370541713959,19,0.254660325523849
133,0.0185307391892842,30.0569565959058,20,0.45304946194189
134,0.0112678820748685,25.4472517438312,39,-0.455720439624718
135,0.0142519966511428,20.2372234894333,43,-0.0175052917400362
136,0.027830375266901,18.4444253988052,25,-0.386900505688156
137,0.011456536533587,18.3209942701398,45,0.824280908471645
138,0.00929900494178518,31.2584848929215,35,-0.194749017397104
139,0.0106123440423598,19.0546383174207,39,-0.249938793959943
140,0.0220859250749109,23.9931317838124,22,-0.172881808048039
141,0.0077579043729667,24.366647726771,39,-0.00473042273147568
142,0.023159990430078,24.9878431928411,24,0.00913449396497552
143,0.0104719151053703,15.586409567171,41,0.046514878353179
144,0.00808683020463428,21.4492801337055,43,-0.0380549065473729
145,0.0167060039890915,34.2790944402482,14,0.595822291330613
146,0.0663648532804813,6.52597490384143,22,0.361006069673956
147,0.0257575054803888,26.4712305638644,21,0.340348205801524
148,2.00197484673586e-05,33.0374329893395,34,-0.539675642498524
149,0.0222952712563529,28.2849253643863,16,-0.188916303709817
150,0.144269398138343,15.0687065038081,5,-0.383329949591806
151,0.016013248484406,16.4109611230297,32,-0.708645496845214
152,0.0132628154088753,17.2526604785607,26,0.823423089838259
153,0.0103497710328932,22.9289204482252,38,0.144492239093809
154,0.0179469247021303,21.2192024310833,25,0.921949526179875
155,0.0166514539534612,28.418419043623,19,0.296681272042314
156,0.0166974804158005,22.3579406573381,22,-0.16342468374698
157,0.0175143298027911,16.2455370407143,41,0.0101546249139736
158,0.020138460238901,20.5326149581531,31,0.178630915450158
159,0.0270231181758064,17.7442328263118,30,0.170417440199091
160,0.0188890772623804,25.9352613245035,26,0.0860323968370034
161,0.0178685957945554,14.6388335401506,38,-0.164271387970199
162,0.0232395542806639,29.2989203550453,26,0.287947709094595
163,0.0133391396640403,16.5670993643031,40,-0.18338682801784
164,0.0229195219366248,15.05130283726,29,-0.296190276365161
165,0.00799975474947616,29.3482065304319,39,-0.118727052599882
166,-0.00788715450349721,30.1302367276058,16,-0.16027262147207
167,-0.0226966755776239,44.0848211749914,17,0.317524324638071
168,0.0185044635912109,18.7652507047566,22,0.526693713878396
169,0.00789514997154657,18.6383785325266,42,0.271350983109237
170,-0.00744805088570261,22.6699239739992,42,0.159120497889143
171,0.0237247085226169,17.3549301192828,24,0.210273463823247
172,0.0161502003600237,23.3040613036862,17,0.100147142372532
173,0.007015984726151,25.310769401696,34,-0.193914988740666
174,0.0388981049074297,16.4682533332005,21,-0.23352300626644
175,0.0250083565462481,21.838479566504,24,-0.21340159147776
176,0.0277957697155398,21.2861365502631,21,0.367003765710455
177,0.0278815563814818,19.5538856346904,21,-0.0164287343968735
178,0.0597373924674027,11.0852250367127,16,0.711667646553041
179,0.0235369903778921,25.3535836755617,15,0.0526818904417824
180,0.0315809986543823,27.4628862505422,12,0.620990538346676
181,-0.0526093693123324,20.8255814339891,11,0.113866459595761
182,0.0238453030248399,14.9863949468802,23,0.649291142827375
183,0.0137748030734719,31.0090616696494,19,-0.0221965212043064
184,0.152106988889956,5.64207983782328,10,-0.105816709150982
185,0.0249558254920641,18.055213546911,25,1.09145953510387
186,0.0230913658055855,22.9193375600231,21,-0.310231201469766
187,0.022722615260136,29.9730858299577,20,0.404541965088201
188,0.000117281281542053,33.2807018023088,31,-0.27819670754949
189,0.0191633282814823,19.5021508460464,30,-0.0333484406747428
190,0.0177671678567217,28.5669092564403,20,-0.246821185907462
191,0.00185031464253067,34.8108431293851,27,-0.209933726487529
192,0.0217254872464901,27.6156895288078,16,0.488727458712357
193,0.00554578112663831,25.3605652703777,36,-0.321885471241974
194,0.00499700206671439,27.4556889730117,31,-0.134223896018854
195,0.0310751255541543,8.0151241539826,34,-0.122683120808776
196,0.0123351655900668,19.1146717003404,32,-0.129401178995735
197,-0.00186449959292049,29.6133443437478,17,-0.312869596393538
198,0.0106773812265131,24.5632775317498,35,-0.668184334278658
199,0.0295916675534976,12.0752972219601,31,-0.0875343470493893
200,0.0299873560702914,21.07562698851,19,-1.00726166601659
201,0.0381086925159148,30.037702575188,11,1.15684155123585
202,0.0129545326527244,30.3111601783072,19,0.299613322521541
203,0.0849534341021986,27.7117863585044,3,0.669923111021666
204,-0.0187584958840232,55.6902682084963,25,-0.0183156829539287
205,0.0397425772623763,33.5695762111701,12,0.514806955430351
206,0.0201293584957635,24.3599777247262,29,0.537942073427161
207,0.0309602300603314,8.3090988360617,31,0.0239533031409626
208,0.0207747790634293,23.1808771267748,21,0.212649904398545
209,0.00194681462642051,38.9441613594859,32,-0.496511256186366
210,0.0331172038389249,16.5664311749217,21,0.403233058133111
211,0.0275090293871526,28.5807151650877,15,0.953031622767897
212,-0.00408408531709184,30.7826879247503,37,0.171682511472882
213,0.0183847284799616,25.9119391556999,23,0.370570399351805
214,0.0154822801058879,23.9971273397235,16,-0.194179072120831
215,0.0275638623923916,27.2435540160468,17,0.432456603907857
216,0.0140286675674449,18.8831639605073,35,-0.145138502224099
217,0.0267945730165697,15.6297424932485,21,-0.28325716179825
218,0.024163567817841,19.1180972883658,29,0.104715477873826
219,0.0194601538804817,20.3821762249376,26,-0.159484987899412
220,0.0167145466629613,24.043941165173,18,0.042557503835029
221,0.0289458108635931,15.0474657768016,22,0.29412663842584
222,0.015903199147744,27.3580178833262,25,-0.163373544420927
223,0.0244251547454035,26.4433446677315,18,0.0715172522807574
224,0.023358576852702,23.4587859871898,17,0.771474423471064
225,0.0289266171612075,24.0021667763026,19,0.567734977961815
226,0.019556521695717,20.4692846168699,24,0.534217739611882
227,-0.0111812026737334,38.8444205186584,11,1.35506737831168
228,0.0422956574735771,60.1166943334227,4,-0.307907455830768
229,-0.0301411817489584,21.8567456167107,15,0.419080213038559
230,0.00210940723135365,42.3877945222786,25,0.763626601465057
231,0.0328993084287845,14.9826798057515,23,0.277023641565762
232,-0.0442331656896974,21.7881801832031,13,0.43018087167934
