Cell_lable,NumberOfDivision
1,3
2,8
3,1
4,0
5,4
6,8
7,1
8,0
9,0
10,0
11,0
12,0
13,8
14,0
15,0
16,0
17,0
18,7
19,0
20,10
21,0
22,4
23,5
24,6
25,0
26,4
27,7
28,2
29,0
30,0
31,3
32,4
33,3
34,8
35,5
36,1
37,9
38,0
39,8
40,4
41,4
42,3
43,4
44,5
45,4
46,0
47,1
48,0
49,4
50,3
51,0
52,11
53,0
54,0
55,4
56,4
57,3
58,0
59,6
60,4
61,14
62,1
63,7
64,11
65,6
66,5
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,7
75,2
76,1
77,6
78,6
79,0
80,0
81,1
82,8
83,1
84,5
85,5
86,7
87,0
88,0
89,1
90,1
91,0
92,0
93,0
94,0
95,0
96,0
97,1
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,4
109,3
110,0
111,1
112,3
113,2
114,8
115,3
116,5
117,0
118,0
119,1
120,5
121,0
122,0
123,0
124,0
125,0
126,3
127,0
128,1
129,0
130,0
131,0
132,0
133,0
134,0
135,2
136,3
137,4
138,3
139,2
140,4
141,4
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,3
152,0
153,4
154,0
155,0
156,2
157,3
158,0
159,0
160,0
161,3
162,0
163,0
164,0
165,0
166,3
167,0
168,0
169,0
170,0
171,0
172,3
173,1
174,0
175,0
176,3
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,2
186,0
187,0
188,4
189,0
190,0
191,0
192,0
193,0
194,4
195,0
196,0
197,2
198,2
199,0
200,0
201,0
202,0
203,1
204,0
205,0
206,0
207,0
208,6
209,0
210,4
211,3
212,0
213,2
214,7
215,0
216,0
217,0
218,0
219,4
220,0
221,4
222,0
223,0
224,0
225,0
226,0
227,1
228,1
229,2
230,1
231,2
232,3
233,5
234,0
235,0
236,2
237,1
238,0
239,1
240,1
241,3
242,0
243,0
244,0
245,0
246,1
247,2
248,3
249,0
250,0
251,3
252,0
253,0
254,0
255,0
256,0
257,0
258,3
259,3
260,0
261,0
262,3
263,1
264,0
265,1
266,0
267,0
268,1
269,2
270,0
271,0
272,0
273,2
274,0
275,0
276,2
277,2
278,0
279,0
280,1
281,0
282,0
283,1
284,0
285,0
286,0
287,0
288,3
289,0
290,0
291,3
292,1
293,0
294,2
295,1
296,1
297,1
298,1
299,1
300,0
301,0
302,1
303,1
304,6
305,1
306,2
307,2
308,3
309,2
310,1
311,3
312,0
313,0
314,0
315,1
316,0
317,1
318,0
319,1
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,1
328,0
329,0
330,0
331,0
332,2
333,1
334,5
335,4
336,0
337,0
338,2
339,0
340,1
341,0
342,3
343,3
344,2
345,2
346,0
347,1
348,2
349,1
350,0
351,0
352,2
353,0
354,0
355,0
356,0
357,1
358,0
359,0
360,1
361,1
362,0
363,1
364,3
365,0
366,0
367,3
368,2
369,3
370,0
371,0
372,0
373,0
374,2
375,1
376,3
377,0
378,0
379,0
380,1
381,0
382,0
383,1
384,2
385,0
386,0
387,0
388,1
389,1
390,1
391,0
392,2
393,2
394,0
395,3
396,2
397,0
398,0
399,4
400,1
401,1
402,1
403,0
404,0
405,0
406,1
407,1
408,2
409,1
410,0
411,2
412,0
413,0
414,2
415,0
416,0
417,0
418,0
419,1
420,1
421,0
422,1
423,1
424,0
425,1
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,5
438,0
439,0
440,0
441,0
442,1
443,1
444,0
445,1
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,1
454,1
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,1
464,1
465,2
466,0
467,0
468,2
469,5
470,1
471,1
