TimeStep,CellLifeId,label,Orientation,Center_X,Center_Y,Major_axis,Minor_axis,parent,daughter1,daughter2,InstantaneousGrowthRate,InstantaneousVelocity
1,1,1,0.41387051737039,146.637426900585,85.4886695906433,49.9055380588104,9.2086266227382,0,3,2,0.015,-0.542
2,1,1,0.412828570045842,146.213569518717,80.7466577540107,54.4057901002982,9.42929109731422,0,3,2,0.008,-0.041
3,1,1,0.415282264506699,145.527272727273,81.5616883116883,56.7893819342578,9.38190601947199,0,3,2,0.023,-0.54
4,1,1,0.405701314342588,146.102862254025,74.7772808586762,63.6831179753223,9.18725477060653,0,3,2,0.006,-0.111
5,1,1,0.403694765291361,145.902305475504,73.9446685878963,65.4702674991428,9.19305416324574,0,3,2,0.019,-0.189
6,1,1,0.404208229634573,146.055730809674,71.5136698212408,71.127524523678,9.41293895578679,0,3,2,0.008,0.135
7,1,1,0.404023639195141,146.366915422886,72.4129353233831,73.4991849744746,9.64656631561665,0,3,2,0.034,-0.372
8,1,1,0.399555921998603,145.81820234869,69.2793586269196,83.6935543172271,9.56031083454975,0,3,2,0.009,-0.132
9,1,1,0.39683184858464,144.907124125874,69.6534090909091,86.5302715332177,9.60529615116889,0,3,2,,
10,2,1,0.130327896317629,128.260814249364,62.0687022900763,43.1431724243311,9.29452294562358,1,0,0,0.008,0.182
10,3,1,0.342846951024904,159.460204885737,77.2407407407407,46.1461569935687,9.74111246140501,1,0,0,-0.0,-0.113
11,2,1,0.111697837610243,128.898018166804,62.8344343517754,45.5045686115241,9.26560746076275,1,0,0,0.027,-0.118
11,3,1,0.302632863830627,158.46901626646,77.987606506584,46.0022929570324,10.4779419001823,1,0,0,0.014,-0.846
12,2,1,0.11113768142499,129.194749216301,60.8514890282132,53.6683845603128,8.90860176189425,1,0,0,0.02,0.122
12,3,1,0.246461806263692,154.831201137171,75.8027718550107,50.0714073121973,11.2285642645048,1,0,0,0.012,-0.201
13,2,1,0.118344325515123,129.608984375,61.4046875,59.5523487389492,8.39452867387002,1,0,0,-0.111,-2.08
13,3,1,0.239243351841568,153.500340831629,76.227675528289,53.7003010158053,10.9956487044278,1,0,0,0.039,-0.643
14,2,1,0.0952938948991176,118.833819241983,59.7747813411079,26.3582671098621,8.30188170392998,1,0,0,0.012,-0.212
14,3,1,0.24508234169825,150.1961414791,75.6491961414791,65.2952408618337,9.43670817922993,1,0,0,-0.101,2.395
14,4,2,0.233575338882408,147.225442834138,63.9009661835749,33.2765344606296,6.07396689917197,0,0,0,0.001,-0.022
15,2,1,0.10784068496057,118.123021582734,58.8251798561151,29.9590024417332,7.68648418828239,1,0,0,0.023,0.142
15,3,1,0.372312372383154,162.261538461538,78.2615384615385,34.8834083933858,7.92652243981118,1,0,0,0.024,-0.215
15,4,2,0.24910281855613,147.279210925645,63.4984825493171,33.6933650544558,6.13459096066789,0,0,0,0.019,0.857
15,5,3,0.138220122267609,130.206845238095,70.4739583333333,34.9509151349083,6.05177304568729,0,21,0,0.017,-0.88
16,2,1,0.138470248191514,118.916197183099,58.819014084507,36.8303796083348,6.8058829886547,1,0,0,0.003,-0.175
