TimeStep,CellLifeId,label,Orientation,Center_X,Center_Y,Major_axis,Minor_axis,parent,daughter1,daughter2,InstantaneousGrowthRate,InstantaneousVelocity
1,1,1,-0.415738338165918,84.5649794801642,79.9945280437756,43.525351959356,5.84802580796305,0,0,3,-0.003,0.13
1,2,2,-0.452023489923509,90.936170212766,88.0304964539007,38.5622657409145,6.22986315897019,0,3,4,0.006,0.094
2,1,1,-0.417818910594476,85.6841755319149,79.7546542553192,42.5857738333764,5.8845014054239,0,0,3,0.014,0.36
2,2,2,-0.461375479217842,91.7230559345157,87.8915416098227,40.2475903322591,6.20703687308524,0,3,4,0.004,0.406
3,1,1,-0.431457291154055,88.0140485312899,79.8773946360153,46.6740464862581,6.02403475553771,0,0,3,,
3,2,2,-0.455744455663866,94.5053120849934,87.8997343957503,41.5383951468118,6.1481119959392,0,3,4,,
4,3,1,-0.416605505886494,64.0471014492754,82.2306763285024,47.2569840956187,6.0487592139339,1,0,0,0.014,0.754
4,4,2,-0.451007652976998,69.9548267326733,90.5581683168317,44.6607307361536,6.23858722465434,2,20,0,0.006,0.735
5,3,1,-0.418389953911038,69.2794959908362,82.8528064146621,51.4445873825891,5.95967304533481,1,0,0,0.02,0.444
5,4,2,-0.450586583390076,74.8201650943396,91.3862028301887,46.5050957612413,6.28663639692636,2,20,0,0.048,0.399
6,3,1,-0.40152145983143,74.7111334002006,81.0391173520562,57.4989917041436,6.0809423348886,1,0,0,-0.102,-0.791
6,4,2,-0.427752711023807,79.6597633136095,89.8831360946746,60.8887906130153,6.04299715283028,2,20,0,0.016,-0.052
7,3,1,-0.412217309178814,64.9970873786408,84.0757281553398,26.8594574072154,5.96348240910224,1,0,0,0.003,-0.098
7,4,2,-0.414243826088674,81.1256957328386,88.208719851577,65.5826309578104,6.01276624555286,2,20,0,0.016,-0.131
7,5,3,-0.336976600181457,87.6240079365079,74.5654761904762,25.2858223159116,6.04617489350329,0,0,0,0.006,-0.053
8,3,1,-0.40466358671505,63.7749510763209,84.3904109589041,27.7136253439175,5.74738222812475,1,0,0,-0.002,0.992
8,4,2,-0.41275551638648,79.9832474226804,88.3676975945017,70.4572513349555,6.10407068966524,2,20,0,0.019,1.106
8,5,3,-0.359603249449714,87.3700934579439,74.4542056074766,27.0603523001853,6.07542113802859,0,0,0,0.009,1.218
9,3,1,-0.402370244238598,70.9903474903475,84.9874517374517,27.24780759207,5.8641672211909,1,0,0,0.009,0.16
9,4,2,-0.418697485762575,88.2267156862745,88.1540032679739,76.1303116673051,5.96578800981531,2,20,0,-0.139,-0.699
9,5,3,-0.357608629629815,95.4527972027972,74.1704545454545,29.8339667356598,5.99779997770942,0,0,0,0.004,0.33
10,3,1,-0.414191843153561,71.7197106690778,85.4213381555154,30.0309083065752,5.67022016991085,1,0,0,0.016,-0.345
10,4,2,-0.368920604832304,76.4681818181818,94.0628787878788,34.4437325333473,6.38837357460023,2,20,0,0.068,-0.187
10,5,3,-0.340171064750208,97.7915951972556,73.8301886792453,31.1523979719892,5.82477544482234,0,0,0,0.023,-0.367
10,6,4,-0.394314111409511,104.869499241275,81.3823975720789,37.9569637892809,5.87490275509318,0,0,0,0.025,0.272
11,3,1,-0.268553145367549,71.9952830188679,82.9198113207547,34.7912225193392,5.86283783387528,1,0,0,0.011,0.133
11,4,2,-0.228436743726117,77.9687854710556,91.6004540295119,54.8368671346831,5.7809450340539,2,20,0,0.006,0.242
11,5,3,-0.243119687060057,98.7236842105263,69.438080495356,38.1494979516147,5.52597555680446,0,0,0,0.007,0.049
11,6,4,-0.266881946549811,110.49940688019,75.9839857651246,45.3250726572223,6.43294010217988,0,0,0,0.011,0.57
12,3,1,-0.261438539789406,72.5114942528736,83.3527298850575,37.9660199786234,6.04298080380456,1,0,0,0.006,0.226
12,4,2,-0.223704654355275,79.7065331928346,91.6986301369863,56.6716532628211,5.8043450019089,2,20,0,0.013,0.37
12,5,3,-0.219657329829832,98.7860169491525,69.7768361581921,40.3627629566371,5.64344503578099,0,0,0,0.021,0.295
12,6,4,-0.285930140100822,114.445474372955,75.2208287895311,48.7324909248988,6.61846955455275,0,0,0,0.011,0.87
