lable,NumberOfDivision
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,1
18,0
19,0
20,0
21,1
22,0
23,0
24,0
25,1
26,2
27,2
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,1
59,1
60,0
61,0
62,0
63,0
64,0
65,0
66,1
67,0
68,0
69,0
70,0
71,1
72,1
73,0
74,1
75,0
76,0
77,0
78,1
79,1
80,0
81,0
82,1
83,0
84,1
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,1
99,0
100,0
101,0
102,0
103,0
104,0
105,1
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,1
114,1
115,0
116,3
117,0
118,0
119,0
120,1
121,0
122,0
123,0
124,0
125,0
126,1
127,0
128,0
129,0
130,0
131,0
132,0
133,2
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,1
142,2
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,2
153,0
154,0
155,0
156,0
157,1
158,0
159,0
160,0
