CellId,birthLength,AverageLength,AverageVelocity,LifeHistory,GrowthRate
1.0,39.0924186706543,32.299519856770836,-0.365,3.0,-0.111
2.0,42.5807113647461,37.249121665954576,-4.283,4.0,-0.06
3.0,43.7071800231934,39.341456222534205,-0.283,5.0,-0.072
4.0,23.8867835998535,25.49631309509277,-0.613,3.0,0.041
5.0,41.1749801635742,43.55803451538086,-0.072,15.0,-0.001
6.0,46.08447265625,33.86212476094563,-0.637,3.0,-0.169
7.0,24.8463172912598,24.834104537963903,0.159,2.0,-0.0
8.0,26.7473583221436,26.7473583221436,0.0,1.0,0.0
9.0,21.6530017852783,21.9574108123779,0.376,3.0,0.008
10.0,34.4233741760254,43.64435017903647,-0.081,15.0,0.02
11.0,36.0711898803711,42.29237438383557,0.175,21.0,0.009
12.0,26.306095123291,27.575658480326336,0.788,6.0,-0.027
13.0,22.767261505127,22.63861783345543,0.143,3.0,-0.003
14.0,23.8769702911377,31.701170179579005,-0.049,18.0,0.019
15.0,26.9420528411865,26.9420528411865,0.0,1.0,0.0
16.0,29.2806148529053,22.76963686943055,-0.472,8.0,-0.026
17.0,51.8848876953125,52.03052520751953,0.033,3.0,0.005
18.0,31.837121963501,27.04541873931885,-1.924,2.0,-0.119
19.0,39.7051773071289,40.06002235412598,-0.929,4.0,-0.027
20.0,43.5794372558594,43.5794372558594,0.0,1.0,0.0
21.0,43.0654678344727,40.70540618896483,-1.082,3.0,-0.044
22.0,40.3825302124023,35.74839210510252,-0.26,5.0,-0.1
23.0,35.9068336486816,35.040077209472635,-0.084,3.0,-0.022
24.0,26.6188735961914,27.67260294694167,0.027,104.0,-0.0
25.0,21.0957927703857,34.43714118003845,-0.06,40.0,0.012
26.0,22.5435905456543,23.0289249420166,0.18,2.0,0.014
27.0,30.1598224639893,28.018588066101074,-0.812,4.0,-0.067
28.0,31.3693943023682,31.577981313069667,0.244,3.0,-0.004
29.0,22.1282520294189,28.170182514190675,-0.066,20.0,-0.003
30.0,26.4141807556152,26.4141807556152,0.0,1.0,0.0
31.0,36.0930061340332,36.0930061340332,0.0,1.0,0.0
32.0,39.8844261169434,36.0581881205241,-1.086,3.0,-0.067
33.0,36.340446472168,32.71686935424807,-0.888,3.0,-0.075
34.0,29.895565032959,27.793574651082366,-2.233,3.0,-0.056
35.0,35.2827224731445,43.67024252149794,0.01,18.0,0.015
36.0,25.4257431030273,25.3016729354858,0.147,2.0,-0.003
37.0,29.9412212371826,26.699739456176733,-0.583,3.0,-0.09
38.0,26.6922664642334,36.87718725204467,-0.117,24.0,0.018
39.0,35.3642158508301,43.69770431518555,-0.148,22.0,0.015
40.0,26.0902881622314,27.943443775177,-0.815,4.0,-0.022
41.0,33.774486541748,43.274071103050595,0.041,63.0,0.002
42.0,20.7665634155273,20.18521308898927,0.278,3.0,-0.022
43.0,33.9934883117676,37.47108750116257,0.182,21.0,0.003
44.0,42.9509620666504,39.57455190022787,-1.204,3.0,-0.067
45.0,37.7549858093262,33.3222408294678,-1.033,3.0,-0.093
