CellLifeId,birthLength,AverageLength,AverageVelocity,LifeHistory,GrowthRate
1.0,68.873664855957,70.06973593575614,0.072,7.0,0.002
2.0,30.8911151885986,44.499150943756106,-0.079,60.0,0.01
3.0,55.2914276123047,66.60869571140834,0.098,14.0,0.024
4.0,44.4615249633789,59.95026810963949,0.402,48.0,0.009
5.0,42.3567581176758,45.72419738769531,-0.011,16.0,0.009
6.0,37.9403114318848,52.17576796213786,0.007,60.0,0.006
7.0,29.3555374145508,40.17333011627197,0.158,60.0,0.008
8.0,50.9316291809082,66.95904382069907,0.035,60.0,0.005
9.0,49.9623107910156,48.64263186538429,-0.06,57.0,0.002
10.0,30.4630432128906,40.823587799072264,-0.021,60.0,0.004
11.0,34.0668983459473,45.4084831237793,-0.059,60.0,0.004
16.0,35.0353393554688,53.0426139831543,0.036,42.0,0.019
17.0,35.6277275085449,52.974605233328674,0.202,35.0,0.022
18.0,33.3625221252441,50.12443724922512,0.078,46.0,0.011
19.0,29.466739654541,38.40988519917363,0.032,46.0,0.007
20.0,23.0279388427734,28.98422943462025,0.276,44.0,0.012
21.0,28.8560123443604,37.09881552782926,0.134,44.0,0.011
22.0,34.3746528625488,40.22737100389269,0.587,18.0,0.019
23.0,34.4457664489746,40.12282032436794,-0.006,18.0,0.018
24.0,45.2994384765625,40.813871383666985,-0.433,12.0,-0.003
25.0,53.5107192993164,58.943421045939125,0.349,12.0,0.017
26.0,32.3932495117188,36.34237462824043,-0.499,11.0,0.019
27.0,37.5824890136719,40.51776261763141,-0.082,11.0,0.016
28.0,39.7739868164063,43.50713602701823,0.116,3.0,0.06
29.0,22.0448589324951,23.7912508646647,-0.035,3.0,0.045
