CellLifeId,birthLength,AverageLength,AverageVelocity,LifeHistory,GrowthRate
1.0,35.9266815185547,33.56978849869048,-0.032,279.0,-0.001
2.0,32.9131240844727,33.620569000244146,-0.482,25.0,0.001
3.0,29.0184001922607,29.33247688293457,-0.473,25.0,0.001
4.0,34.4049873352051,34.132262510411884,-0.729,17.0,0.001
5.0,26.0276737213135,25.148817203971493,-0.103,229.0,-0.001
6.0,33.4348793029785,36.65740094866072,-0.39,42.0,0.006
7.0,24.9531726837158,25.135362548828127,-0.458,25.0,0.0
8.0,41.3658218383789,41.59110336303712,-0.452,25.0,0.001
9.0,42.9505157470703,41.86380683051214,-1.137,9.0,-0.004
10.0,18.9676036834717,26.032711505889893,-0.123,96.0,0.006
11.0,21.7224102020264,27.068878195751672,-0.153,87.0,0.005
12.0,30.9849243164063,29.377865074776313,-0.076,185.0,-0.002
13.0,29.70192527771,30.831709788395816,-0.367,26.0,0.003
14.0,23.6825885772705,24.155766372680674,-0.397,25.0,0.001
15.0,20.9645671844482,20.938840103149406,-0.411,25.0,-0.0
16.0,19.9093170166016,20.03301368713379,-0.416,25.0,0.0
17.0,25.995735168457,26.89448708754319,-0.359,26.0,0.002
18.0,30.6780948638916,29.128110607850903,-0.07,103.0,-0.001
19.0,39.6591186523438,40.215509490966795,-0.283,25.0,0.0
20.0,20.2342586517334,20.616301116943358,-0.339,25.0,0.001
21.0,30.3546981811523,34.86870833574716,-0.182,59.0,0.005
22.0,30.0409317016602,29.875123977661126,0.015,26.0,-0.001
23.0,27.5804634094238,28.304551711449246,0.187,26.0,0.004
24.0,26.6840972900391,26.4439020532861,-0.042,279.0,-0.0
25.0,37.779541015625,40.84612112985532,0.043,71.0,0.002
26.0,26.6173095703125,27.41998405183088,-0.025,279.0,0.0
27.0,25.8674564361572,27.83133338047908,0.075,26.0,0.002
28.0,25.9343032836914,23.42076861858368,-0.007,272.0,-0.0
29.0,30.6520900726318,33.56497111687294,-0.502,26.0,0.0
30.0,19.1601581573486,18.828451461791985,-0.336,25.0,-0.001
31.0,19.2521114349365,19.617940216064454,-0.344,25.0,0.001
32.0,20.0223655700684,20.13255912780762,-0.362,25.0,0.001
33.0,19.4605102539063,26.169320509983947,-0.057,52.0,0.009
34.0,20.6478843688965,26.08655203305759,-0.132,52.0,0.009
35.0,16.4571933746338,16.476454615592964,0.099,8.0,-0.001
36.0,16.2365455627441,28.06360034942627,-0.064,95.0,0.007
37.0,13.4398069381714,13.4398069381714,0.0,1.0,0.0
38.0,11.0708513259888,11.0708513259888,0.0,1.0,0.0
40.0,28.7563667297363,20.435536595048575,0.008,145.0,-0.003
