CellId,GrowthRate,birthLength,LifeHistory,AverageVelocity,AverageLength,AverageOrientation
1,0.35,32,12,-0.589719672206749,41,-0.135389485598138
2,0.506666666666667,30,15,-0.969062177305271,44.4,-0.420717819139613
3,1.00769230769231,28,26,-0.298491032495566,86.7692307692308,0.0527959144638336
4,0.657142857142857,32,7,0.159443753971569,42.8571428571429,0.216101464802772
5,0.4,37,4,-2.87911092324349,40.75,-0.441799599098329
6,0.4,42,4,-1.78147813602404,46,-0.581427245133686
7,0.773333333333333,30,15,-0.194229770635832,52.5333333333333,0.493564658242303
8,0.48,32,5,0.123476572941577,37.4,-0.102990186307734
9,0.533333333333333,28,9,-1.53191309919189,37.8888888888889,-0.468838461674548
10,0.66,26,10,-1.3181443589783,39.9,-0.308364682768871
11,0.525,27,8,-0.523308107713732,36.875,-0.225117121543205
12,0.5,33,8,-0.447675878985663,42.25,-0.529230617521259
13,0,1,1,NaN,NaN,NaN
14,0.586666666666667,24,15,0.134963707102161,42.4,-0.418723619881027
15,0.488888888888889,22,9,0.0878171451433022,32.1111111111111,-0.00653062863196023
16,0,1,1,NaN,NaN,NaN
17,0,1,1,NaN,NaN,NaN
18,0,1,1,NaN,NaN,NaN
19,0,1,1,NaN,NaN,NaN
20,0.514285714285714,29,7,-1.74881351827523,37,-0.396011233317171
21,0.62,30,10,-0.736773227380051,43.8,-0.283061655048086
22,0.5,27,8,-1.02182606010627,37,-0.516053641410041
23,0.35,33,4,-0.352653141035498,36.25,-0.207507306178261
24,0.5,27,6,-2.16705693284469,34.5,-0.353111535157879
25,0.6,27,7,-1.43067255865689,36.8571428571429,-0.561560783880339
26,0.4,31,5,-1.77726820650687,34.6,-0.509748985968539
27,0.56,36,5,-1.09308129514976,42.6,-0.522505798362151
28,0.45,27,8,-0.775708916167885,35.625,-0.208802868522208
29,0,1,1,NaN,NaN,NaN
30,0.375,22,8,-0.467878893220186,29.25,-0.300701881231044
31,0.3,26,8,-0.163607046446058,30.875,0.306073792896013
32,0,1,1,NaN,NaN,NaN
33,0,1,1,NaN,NaN,NaN
34,0,1,1,NaN,NaN,NaN
35,0,1,1,NaN,NaN,NaN
36,0.366666666666667,24,6,-0.930590659852983,29.8333333333333,-0.204631415883418
37,0.333333333333333,25,6,-0.237408619193413,30.6666666666667,0.226469227008477
38,0,41,1,NaN,NaN,NaN
39,0.666666666666667,52,3,1.1663916442406,57.6666666666667,0.592223705090849
40,0,1,1,NaN,NaN,NaN
41,0.28,24,5,-2.16950781732605,27.6,-0.512175789395952
42,0.24,21,5,-1.98050715174586,23.8,-0.44144039670766
43,0.2,24,5,-3.06926585096803,27,-0.220193144436964
44,0.36,22,5,-2.7521071947981,26.6,-0.478843150570608
45,0.36,26,5,-2.84364507908174,30.6,-0.357142512579503
46,0.32,25,5,-2.43672917969012,29.2,-0.272777166091325
47,0.36,27,5,-1.33252879297061,32.2,-0.697129729162528
48,0.32,26,5,-0.706848033873182,29.6,-0.184614309336045
49,0.4,31,4,0.589519592374069,35,0.657046129658835
50,0.2,22,4,0.693762225637511,24,0.67778545158467
51,0.25,24,4,0.882971263518568,26.5,0.74511054168195
52,0.35,29,4,-3.31998342952732,32.5,-0.486231213610867
53,0.35,26,4,-2.66988915769328,29.25,-0.788345210091731
54,0.4,27,4,-1.75741705267827,30.5,-0.797850877223265
55,0,27,1,NaN,NaN,NaN
56,0,1,1,NaN,NaN,NaN
57,0,1,1,NaN,NaN,NaN
58,0,1,1,NaN,NaN,NaN
59,0,1,1,NaN,NaN,NaN
60,0.2,37,2,1.85649589050735,38,0.757223927172394
61,0.2,36,2,0.170051830607233,37,0.433695730677803
62,0.2,35,2,-5.97250086858994,36,-0.537174425335838
63,0.2,34,2,-3.94769648382315,35,-0.079054166967313
64,0.2,32,2,-1.31233230046467,33,-0.145223629705763
65,0,92,1,NaN,NaN,NaN
66,0,100,1,NaN,NaN,NaN
67,0,1,1,NaN,NaN,NaN
