TimeStep,CellLifeId,label,Orientation,Center_X,Center_Y,Major_axis,Minor_axis,parent,daughter1,daughter2
1,1,1,-0.121096231441305,123.560400241591,110.996338403527,32,8.07817062156185,0,3,4
1,2,2,-0.398829092531343,212.5,129,30,8.45924307714731,0,5,6
2,1,1,-0.128138934630686,123.003894278842,107.89590071701,32,8.30847408344704,0,3,4
2,2,2,-0.396221208702486,212.401262972558,125.707032463489,32,8.15129017619402,0,5,6
3,1,1,-0.128686926075128,123.294166018586,98.3258656290356,34,8.4201271501828,0,3,4
3,2,2,-0.393716803440268,212.80812130813,115.714698667975,33,8.48330346725816,0,5,6
4,1,1,-0.13573960661166,122.067661575652,95.0954007581547,36,8.05555114622337,0,3,4
4,2,2,-0.383694931208699,211.625650718446,112.672712226221,35,8.46484028710954,0,5,6
5,1,1,-0.139574323518701,120.659560795177,89.7751376533595,38,8.18473492112433,0,3,4
5,2,2,-0.406848865395757,210.09,108.28,37,8.44948014159004,0,5,6
6,1,1,-0.139035557617374,120.31858804362,89.9003501169615,38,8.65438947043073,0,3,4
6,2,2,-0.403915095279392,210.18,108.41,38,8.64531307767105,0,5,6
7,1,1,-0.13947006348105,120.039509171728,85.9751449030795,42,8.79405696411742,0,3,4
7,2,2,-0.408906630967966,209.928778050818,104.281196830791,42,8.59447028462243,0,5,6
8,1,1,-0.147566637623142,120.528081720702,84.4510500666244,43,8.3377805195376,0,3,4
8,2,2,-0.412712015478483,210.418018208376,103.329452447544,42,8.75079842381837,0,5,6
9,1,1,-0.147070444923208,120.327872728808,83.5313318927828,46,8.65078777743877,0,3,4
9,2,2,-0.419359467267615,210.013087215401,102.449737278502,45,8.66035411379419,0,5,6
10,1,1,-0.148586329831316,119.43402009372,82.2044906730422,47,8.41773425649809,0,3,4
10,2,2,-0.426065627490621,210.153354312315,100.754700582297,46,8.73210251423602,0,5,6
11,1,1,-0.130269371483087,118.705664705411,77.286576319794,51,8.88188370953164,0,3,4
11,2,2,-0.432911868028692,210.533874012541,96.1502420901614,50,8.6548941051279,0,5,6
12,1,1,-0.119439399940997,116.599155619927,76.3228755905146,53,8.59964664467422,0,3,4
12,2,2,-0.437173650399532,208.768309688643,95.3770240491178,52,8.61160072792286,0,5,6
13,2,2,-0.452908408801892,208.031208720477,93.1204108809094,57,8.77687282455054,0,5,6
13,3,1,-0.291928672508319,131.516645123455,72.3837906700634,28,8.6452595468073,1,65,66
13,4,1,0.125148897323897,102.68758876621,75.5660895462483,32,8.28181024722168,1,7,8
14,2,2,-0.461663654979638,207.614937233627,95.3696245522634,59,8.75324930332065,0,5,6
14,3,1,-0.291065684100096,131.86896929835,73.3965133761009,29,8.72737382893218,1,65,66
14,4,1,0.132883237090579,101.82375374607,77.5355920034062,32,8.30806656056999,1,7,8
15,2,2,-0.475839967121813,206.951914737597,95.3010917413087,68,8.80737020209681,0,5,6
15,3,1,-0.287000038510575,133.531086827924,73.0280105799819,35,8.5110755523578,1,65,66
15,4,1,0.212191295411494,98.699397447702,76.6675717697262,39,8.05996603001796,1,7,8
16,3,1,-0.151749295677372,130.041167555921,75.5685081537533,40,8.32568839076684,1,65,66
16,4,1,0.272929744661912,97.2552230547213,79.5614926531333,44,7.9946624570169,1,7,8
16,5,2,-0.450264188981611,223.275369486046,90.2627304542628,37,8.59445722962004,2,9,10
16,6,2,-0.588015646489016,188.973978470328,106.857355524281,42,8.20811404683304,2,11,12
17,3,1,-0.116976136157554,128.338354773209,73.6865830448613,42,8.30948461936555,1,65,66
17,4,1,0.269790652496498,98.0134703321857,78.6538267148066,46,7.9407557492654,1,7,8
17,5,2,-0.446759704195756,222.662971435665,88.3758290193622,38,8.70170545799524,2,9,10
17,6,2,-0.590912271883472,187.638097555328,105.581007801562,44,8.13072070355794,2,11,12
18,3,1,-0.0692209833061884,124.629165717311,74.4576051842031,47,8.1141029110515,1,65,66
18,4,1,0.258174095751609,99.321255525533,79.2991999770284,52,7.9407974219976,1,7,8
18,5,2,-0.436444414687177,222.435850060279,88.1549004762621,43,8.63240409014376,2,9,10
18,6,2,-0.575119929462379,183.56,108.46,48,8.46884826264754,2,11,12
19,3,1,-0.0509687588820307,123.095473346926,74.459350686989,50,8.13417624545946,1,65,66
19,4,1,0.241592330883416,101.211126476181,80.9164373635352,55,7.89177054044849,1,7,8
19,5,2,-0.433730088528772,222.654089858219,89.1109774886187,45,8.77489863750332,2,9,10
19,6,2,-0.571661132699876,182.57,110.46,50,8.43968657295244,2,11,12
20,3,1,-0.022017774826831,119.4,72.69,55,7.84906232414115,1,65,66
20,7,1,0.387012621346187,87.7112881654153,76.6530203488916,30,7.49422949308868,4,38,39
20,8,1,-0.024785587056326,116.9,82.69,32,7.16825774424135,4,14,15
20,9,2,-0.526916347465001,230.583616099857,83.8707457551805,28,8.46566469505436,5,24,25
20,10,2,-0.0110697639649124,206.905534768943,92.6899693653943,26,7.46149203236552,5,26,27
20,11,2,-0.177184644559321,197.223741002122,101.205656175075,27,7.63961860163573,6,20,21
20,12,2,-0.540061049664088,172.228255530793,114.375932822729,33,7.9096664627442,6,22,23
21,3,1,-0.00126794128289944,116.65,75.31,59,7.95882106843665,1,65,66
21,7,1,0.364884922510777,87.4715791022517,79.777082415904,31,7.49249271784644,4,38,39
21,8,1,-0.0461742584982778,117.673078926258,85.3094670791582,33,7.46885348516659,4,14,15
21,9,2,-0.520419096022133,229.766232759863,86.2465616377281,29,8.58108354825363,5,24,25
21,10,2,-0.0177323297373661,204.658865700236,95.3099213931803,26,7.63569895840945,5,26,27
21,11,2,-0.122268328727744,198.528036086271,103.317465464708,29,7.66231938012911,6,20,21
21,12,2,-0.555150083304514,172.252160177482,116.923356770374,34,7.9212734921226,6,22,23
22,3,1,0.0368119604931489,113.031936918378,76.9212594346719,65,8.10386895495685,1,65,66
22,7,1,0.363546189882054,87.8722045604188,81.9073208551564,34,7.49318469090073,4,38,39
22,8,1,-0.112626027562213,122.106194037715,86.9368321951377,38,7.26278519441126,4,14,15
22,9,2,-0.521680849566839,228.483491386701,88.6908309456286,32,8.54514835192737,5,24,25
22,10,2,-0.0922911063152646,200.003919927548,97.44212790104,30,7.7485618114902,5,26,27
22,11,2,-0.0891436656405487,203.048014666961,105.395487176099,32,7.64087165916173,6,20,21
22,12,2,-0.571435365424521,172.590839927975,118.28112553897,38,8.10005587065143,6,22,23
23,3,1,0.0519337874429802,111.22808955467,75.4686517439356,68,7.79222332298846,1,65,66
23,7,1,0.361987372065341,86.6677383682751,80.5834639263939,37,7.62184122732254,4,38,39
23,8,1,-0.13893209597675,123.349242789815,84.9651822251037,40,7.52505289185266,4,14,15
23,9,2,-0.498001150431541,227.219269553819,87.2311647867504,33,8.40254977422195,5,24,25
23,10,2,-0.219186635034908,196.671282104906,96.4819626865839,33,7.30286925940451,5,26,27
23,11,2,-0.170511991927573,204.78,103.47,34,7.73873921115651,6,20,21
23,12,2,-0.551428819999417,172.229793212124,116.55982442659,39,8.23743152016168,6,22,23
24,3,1,0.0634322817867233,108.82761582427,73.9562939712575,74,8.07807990216595,1,65,66
24,7,1,0.391549822823702,85.5083785968767,80.4143187246173,40,7.56606539132523,4,38,39
24,8,1,-0.192432962445103,125.581247513088,84.4715418425812,44,7.613748403022,4,14,15
24,9,2,-0.448487930081083,225.89,87.49,37,8.09928481809444,5,24,25
24,10,2,-0.327318503454344,191.041948873608,98.3823396098942,39,7.36873202966315,5,26,27
24,11,2,-0.236416937499449,209.772889628325,101.503908279389,38,7.8789760460926,6,20,21
24,12,2,-0.517800695529662,173.006395040257,115.929484596264,44,7.86045494456171,6,22,23
25,3,1,0.069182422770082,106.812068825667,73.5130442259941,77,8.06524188208711,1,65,66
25,7,1,0.413600897199636,82.4780908056231,79.4656795288065,42,7.49070561852254,4,38,39
25,9,2,-0.4268199629,223.335143408021,87.8430109226675,40,7.87672730012283,5,24,25
25,10,2,-0.371810522993818,186.482532713961,99.9366774759452,39,7.63315958746631,5,26,27
25,11,2,-0.273365988147064,210.996420792235,100.896446831274,41,7.61005913374429,6,20,21
25,12,2,-0.506232314388625,171.622442781397,115.987288803594,46,7.79344616863805,6,22,23
25,14,1,-0.378438638195533,135.309242644422,82.1805299636133,24,7.37305129951389,8,0,0
25,15,1,0.0112584951701005,112.88,86.55,22,7.5241449916096,8,36,37
26,3,1,0.0981113161538129,105.395473540746,73.8838094207067,87,8.11470366501674,1,65,66
26,7,1,0.46201153950143,78.8713755211409,79.282736499195,46,7.7977665116473,4,38,39
26,9,2,-0.422844141823006,221.54,90.44,44,7.76854334089589,5,24,25
26,10,2,-0.472280704515499,180.585081490432,104.549466929501,45,7.50372785742726,5,26,27
26,11,2,-0.351054337548753,217.055832048912,100.848515991146,46,7.75791670809506,6,20,21
26,12,2,-0.496776200361485,172.717858736321,117.141264834467,51,7.68087430717638,6,22,23
26,14,1,-0.402644133618768,137.195940243907,83.7040878573943,27,7.52390067737615,8,0,0
26,15,1,0.0229066668887678,112.54,88.44,25,7.29940746746651,8,36,37
27,3,1,0.0995200866389618,105.763762240208,71.6404259794796,91,8.08807757164373,1,65,66
27,7,1,0.47961025785832,78.537133117645,77.9743496604256,48,7.66044451518885,4,38,39
27,9,2,-0.419523598166527,221.663662704779,89.1566415472578,46,7.72987600356334,5,24,25
27,10,2,-0.496043285558481,178.923786867454,103.58255263702,47,7.6146492883674,5,26,27
27,11,2,-0.380991078295187,219.517760999691,98.0924448524894,48,7.73984083718388,6,20,21
27,12,2,-0.494960411497759,173.637492164597,114.902495350341,53,7.6259786202274,6,22,23
27,14,1,-0.428822981007863,139.122628214375,80.94682757041,27,7.74359647976828,8,0,0
27,15,1,0.0128297843263455,113.96,86.7,26,7.47277038586115,8,36,37
28,3,1,0.120261496730869,105.727293153927,69.2819714244918,100,8.46374392627225,1,65,66
28,7,1,0.518233529909499,76.2816340330505,75.5917388728623,54,7.4846146994539,4,38,39
28,9,2,-0.434853078614806,222.262827394248,89.2558954475364,52,7.65194569473643,5,24,25
28,10,2,-0.545183005077938,181.02,101.92,55,7.50757595750516,5,26,27
28,14,1,-0.488282609360202,143.196124845102,79.6270149604171,31,7.33584096778298,8,0,0
28,15,1,0.0119712216202928,115.513978705046,86.9259496407358,30,7.56628142985948,8,36,37
28,20,2,-0.443111527311558,231.305623720926,92.9682890183197,29,7.03024263315033,11,45,46
28,21,2,-0.36864978573924,207.486407376959,104.739821869478,30,6.82720413825018,11,62,63
28,22,2,-0.563451572480874,187.942708320086,106.152946304781,27,7.13881481636108,12,54,55
28,23,2,-0.342516153624764,164.02,120.42,33,7.49178617924027,12,30,31
29,3,1,0.123623110438093,106.503890397927,70.0054509354809,106,8.28260642295935,1,65,66
29,7,1,0.540056461444108,75.3274467450869,75.6630389534084,56,7.62436956759684,4,38,39
