"Cell ID","Region num birth","Region num death","Cell birth time","Cell death time","Cell age","Old pole age","Error frame","stat0","Long axis (L) birth","Long axis (L) death","Short axis birth","Short axis death","Area birth","Area death","Region score birth","Region score death","X position birth","Y position birth","Fluor1 sum","Fluor1 mean","Fluor2 sum","Fluor2 mean","Num of neighbors","Region gray val","Focus1(1) long axis birth","Focus1(1) short axis birth","Focus1(1) score birth","Focus1(1) intensity birth","Focus1(2) long axis birth","Focus1(2) short axis birth","Focus1(2) score birth","Focus1(2) intensity birth","Focus1(3) long axis birth","Focus1(3) short axis birth","Focus1(3) score birth","Focus1(3) intensity birth","Focus1(4) long axis birth","Focus1(4) short axis birth","Focus1(4) score birth","Focus1(4) intensity birth","Focus1(5) long axis birth","Focus1(5) short axis birth","Focus1(5) score birth","Focus1(5) intensity birth","Focus1(1) long axis pole align","Focus1(1) long axis norm pole align","Focus1(1) long axis normalized","Focus1(2) long axis normalized","Focus1(3) long axis normalized","Focus1(4) long axis normalized","Focus1(5) long axis normalized","Focus1(1) short axis normalized","Focus1(2) short axis normalized","Focus1(3) short axis normalized","Focus1(4) short axis normalized","Focus1(5) short axis normalized","Focus1(1) gaussianFitWidth","Focus1(2) gaussianFitWidth","Focus1(3) gaussianFitWidth","Mother ID","Daughter1 ID","Daughter2 ID","dL max","dL min","L death / L birth","Fluor1 sum death","Fluor1 mean death","Fluor2 sum death","Fluor2 mean death","Focus1(1) long axis death","Focus1(1) short axis death","Focus1(1) score death","Focus1(1) intensity death","Focus1(2) long axis death","Focus1(2) short axis death","Focus1(2) score death","Focus1(2) intensity death","Focus1(2) long axis death","Focus1(3) short axis death","Focus1(3) score death","Focus1(3) intensity death","Focus1(4) long axis death","Focus1(4) short axis death","Focus1(4) score death","Focus1(4) intensity death","Focus1(5) long axis death","Focus1(5) short axis death","Focus1(5) score death","Focus1(5) intensity death","Focus1(1) gaussian fit width death","Focus1(2) gaussian fit width death","Focus1(3) gaussian fit width death","Long axis/Short axis birth","Long axis/Short axis death","Neck width","Maximum width","Cell dist to edge","Generation","Generation0","Progenitor","Growth Rate"
1,1,1,1,2,1,NaN,NaN,0,22,26,4.25682789681185,4.5492143174356,94,118,44.5445309632128,37.7941227684928,26.6276595744681,337.287234042553,NaN,NaN,NaN,NaN,NaN,254,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,125,126,4,4,1.18181818181818,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.16816759645765,5.71527261319626,4.25682789681185,4.98190181260967,1,0,0,1,0.167054084663166
2,2,4,1,8,7,NaN,2,0,7,27,3.67132277499259,3.9870014318948,26,108,-14.151825737058,37.1330902667097,35.3846153846154,325.576923076923,NaN,NaN,NaN,NaN,NaN,254,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,932,933,9,-2,3.85714285714286,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.90666972887289,6.77200659724077,3.67132277499259,4.80334111176559,1,0,0,2,0.192846673849859
3,3,3,1,1,0,NaN,NaN,0,6,6,2.47936568604458,2.47936568604458,15,15,24.3598111547273,24.3598111547273,37,320.4,NaN,NaN,NaN,NaN,NaN,254,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.41997379965842,2.41997379965842,2.47936568604458,2.851210416355,1,0,0,3,NaN
4,4,4,1,9,8,NaN,2,0,10,37,3.89757003212821,4.40974712506274,39,163,-12.6089227001279,17.6161173138991,38.3333333333333,313.794871794872,NaN,NaN,NaN,NaN,NaN,254,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1333,1334,10,-2,3.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5657011721582,8.39050379775996,3.89757003212821,5.01405350367228,1,0,0,4,0.163541602456272
5,5,5,1,2,1,NaN,NaN,0,36,44,4.69628383619639,5.1549241562827,169,228,37.2909550636061,18.2329044623043,85.4023668639053,107.331360946746,NaN,NaN,NaN,NaN,NaN,254,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,129,130,8,8,1.22222222222222,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.66563548023474,8.53552810207185,4.46193890138602,5.47178305799783,1,0,0,5,0.200670695462151
6,6,6,1,2,1,NaN,NaN,0,19,24,4.5199985810009,5.04118861396917,86,122,35.3538419858763,33.1852897144631,87.0930232558139,29.1046511627907,NaN,NaN,NaN,NaN,NaN,254,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,127,128,5,5,1.26315789473684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.20354114265954,4.76078199762172,4.5199985810009,5.69238834721519,1,0,0,6,0.233614851181505
7,7,20,1,5,4,NaN,NaN,0,20,37,4.77411405376483,5.05448416200217,97,187,16.1256428763527,44.2991418947226,88.3711340206186,404.80412371134,NaN,NaN,NaN,NaN,NaN,254,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,6,2,1.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.18925894412349,7.32023265166265,4.77411405376483,5.41837569418021,1,0,0,7,0.153796409772558
8,8,23,1,5,4,NaN,5,0,17,25,5.26186924980741,5.12490594143268,90,128,5.08158328234214,37.9844407370972,97.2333333333333,31.6222222222222,NaN,NaN,NaN,NaN,NaN,254,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,325,326,6,-8,1.47058823529412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.23079103507223,4.87813830842936,5.26186924980741,6.55718669441414,1,0,0,8,0.0964156202029961
9,9,9,1,1,0,NaN,NaN,0,18,18,4.86928121901955,4.86928121901955,88,88,24.6103762279634,24.6103762279634,94.3522727272727,386.125,NaN,NaN,NaN,NaN,NaN,254,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.69664416376107,3.69664416376107,4.86928121901955,6.06534223548018,1,0,0,9,NaN
10,10,12,1,3,2,NaN,NaN,0,24,34,4.83568675765908,5.9727041824559,116,203,35.97171716027,42.4071626166983,105.818965517241,354.405172413793,NaN,NaN,NaN,NaN,NaN,254,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,175,176,7,3,1.41666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.96310063136063,5.69256386409876,4.83568675765908,6.07360389251062,1,0,0,10,0.174153347134108
11,11,11,1,1,0,NaN,NaN,0,25,25,4.76412124145661,4.76412124145661,120,120,38.7741673104081,38.7741673104081,106.95,80.3083333333333,NaN,NaN,NaN,NaN,NaN,254,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,96,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.24755746819666,5.24755746819666,4.45937984158278,5.69633237913331,1,0,0,11,NaN
12,12,9,1,2,1,NaN,2,0,32,46,4.62523490203302,6.83181146967891,148,315,39.5446277580573,-49.999997582385,122.175675675676,390.304054054054,NaN,NaN,NaN,NaN,NaN,254,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,131,132,14,14,1.4375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.91856752744264,6.73320688138983,3.6512739399029,5.67587582868888,1,0,0,12,0.362905493689369
13,13,13,1,1,0,NaN,NaN,0,6,6,2.66771092557858,2.66771092557858,16,16,7.94205467535258,7.94205467535258,117.3125,107.6875,NaN,NaN,NaN,NaN,NaN,254,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.24911925144165,2.24911925144165,2.66771092557858,3.50184743869073,1,0,0,13,NaN
14,14,49,1,7,6,NaN,3,0,25,33,5.43826032707947,4.53622811557239,136,150,34.8661117838979,41.2135671442713,125,67.4411764705882,NaN,NaN,NaN,NaN,NaN,254,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,661,662,11,-5,1.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.59705834152773,7.27476642691634,5.43826032707947,6.47384704613584,1,0,0,14,0.0462719560997133
15,15,14,1,2,1,NaN,2,0,28,40,4.99808702436643,5.22809208286402,140,210,18.9460309701219,42.0626312300442,131.021428571429,114.885714285714,NaN,NaN,NaN,NaN,NaN,254,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,133,134,12,12,1.42857142857143,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.60214335274591,7.65097465117475,3.89897100308978,6.20894195985359,1,0,0,15,0.356674943938732
16,16,43,1,5,4,NaN,NaN,0,22,34,4.87591177366641,5.33363857035095,108,182,30.9628891632737,35.7970274676298,144.12037037037,497.62037037037,NaN,NaN,NaN,NaN,NaN,254,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,335,336,8,-1,1.54545454545455,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.51197663559389,6.37463516725747,4.46992374395866,5.81093948655204,1,0,0,16,0.108829517814461
17,17,24,1,3,2,NaN,3,0,21,34,4.4548076835657,5.12465375993705,94,175,40.0313803064449,41.1179059359659,148.81914893617,476.5,NaN,NaN,NaN,NaN,NaN,254,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,185,186,11,2,1.61904761904762,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.71400821127957,6.63459456828116,4.4548076835657,5.36022496142217,1,0,0,17,0.240919043446369
18,18,127,1,8,7,NaN,2,0,8,4,3.58790098431944,2.5,29,10,4.77802240752786,-17.9732070183603,150.620689655172,488.034482758621,NaN,NaN,NaN,NaN,NaN,254,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,7,-23,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.22971593557437,1.6,3.58790098431944,4.65611159770315,17.7200450897217,0,0,18,-0.0990210257942779
