StepNumber,NumberOfCells
1,6
2,8
3,8
4,7
5,12
6,13
7,15
8,16
9,15
10,16
11,19
12,19
13,20
14,19
15,19
16,20
17,23
18,24
19,28
20,24
21,37
22,41
23,43
24,43
25,45
26,46
27,42
28,45
29,50
30,55
31,71
32,76
33,83
34,86
35,87
36,89
37,92
38,87
39,94
40,92
41,99
42,114
43,127
44,156
45,161
46,177
47,182
48,181
49,185
50,184
51,191
52,189
53,210
54,229
55,244
56,262
57,276
58,304
59,301
60,310
61,332
62,334
63,333
64,348
65,352
66,376
67,392
68,398
69,417
70,435
71,487
72,486
73,510
74,534
75,585
76,599
77,614
78,619
79,640
80,667
81,677
82,687
83,718
84,720
85,752
86,768
87,782
88,771
89,773
90,811
91,820
92,827
93,821
94,822
95,790
96,770
97,777
98,811
99,808
100,797
101,0
102,952
103,880
104,0
105,971
106,886
107,0
108,0
109,0
110,0
111,0
112,0
113,938
114,887
115,885
116,882
117,897
118,894
119,891
120,906
121,876
122,0
123,0
124,987
125,888
126,946
127,953
128,947
129,972
130,969
131,977
132,999
133,975
134,947
135,951
136,0
137,1063
138,936
139,931
140,957
141,992
142,1023
143,921
144,0
145,1129
146,1043
147,1042
148,1044
149,1033
150,1068
151,1027
152,1035
153,1053
154,994
155,978
156,1056
